pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.984604061822449	1	-0.157904929715493	-0.624845043431183	49498	53	RNF5 PSMB2 PSMD1 PSMC6
"reactome_ABC-family proteins mediated transport"	0.99236112485405	1	-0.148321909730969	-0.612424933784221	50144	65	RNF5 ABCC3 PSMB2 PSMD1 PSMC6
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.257076455515166	0.764117620337599	-0.389164914223271	-1.16634400019687	12941	17	CDC16 CDC27 BUB3 ANAPC16 ANAPC5 ANAPC4 ANAPC11 ANAPC10
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.409616337860613	0.8538984432081	-0.249138532023674	-1.02211792861443	20658	63	PSMB2 CDC16 CDC27 PSMD1 PSMC6 BUB3 ANAPC16 ANAPC5 PSMD12 SKP1 CUL1 ANAPC4 PSMD4 ANAPC11 PSMD10 PSMD8 ANAPC10 PSMD11 PSMD14
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.401019778118589	0.847843759562683	-0.353229464538836	-1.03927038645493	20133	16	CDC16 CDC27 ANAPC16 ANAPC5 ANAPC4 ANAPC11 ANAPC10
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.725436692094728	0.94974080010859	-0.213499317223962	-0.860197098186844	36421	58	PSMB2 CDC16 CDC27 PSMD1 PSMC6 ANAPC16 ANAPC5 PSMD12 ANAPC4 PSMD4 ANAPC11 PSMD10 PSMD8 ANAPC10 PSMD11 PSMD14
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.5713746748476	0.91536348588685	-0.231804376176406	-0.937736556095962	28774	59	PSMB2 CDC16 CDC27 PSMD1 PSMC6 BUB3 ANAPC16 ANAPC5 PSMD12 ANAPC4 PSMD4 ANAPC11 PSMD10 PSMD8 ANAPC10 PSMD11 PSMD14
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.73545005063442	0.95119955278219	-0.21169088918344	-0.85636987814545	37037	59	PSMB2 CDC16 CDC27 PSMD1 PSMC6 ANAPC16 ANAPC5 PSMD12 ANAPC4 PSMD4 ANAPC11 PSMD10 PSMD8 ANAPC10 PSMD11 PSMD14
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.531439839066266	0.901270940155965	-0.237444207883157	-0.9566719990402	26681	58	PSMB2 CDC16 CDC27 PSMD1 PSMC6 BUB3 ANAPC16 ANAPC5 PSMD12 ANAPC4 PSMD4 ANAPC11 PSMD10 PSMD8 ANAPC10 PSMD11 PSMD14
"reactome_ATF4 activates genes"	0.945063014786147	1	-0.203738436177541	-0.620408278749257	47616	18	PARN EXOSC8 EXOSC1 EXOSC5 HERPUD1
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.822194528753191	0.97443508160071	0.203669904635166	0.798866454255698	40904	50	HSPA1A PSMB3 UBB PSMD9 PSMC5 PSMA7 PSMA6 PSMD7 PSME2 PSMD6 UBC HSPA8 UBA52 PSMC1
"reactome_AURKA Activation by TPX2"	0.595149103769793	0.919874998264284	0.246290257624438	0.918061461496938	29616	40	HSP90AA1 TUBB4B HAUS6 NDE1 DCTN2 SSNA1 TUBA4A HAUS1 TUBA1A PRKACA
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.494338863750629	0.891282486945816	0.30578621305601	0.969229776278282	24580	21	POLR2L POLR2F POLR2C POLR2G
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.463500387342828	0.881055385425173	-0.330862579745451	-0.991609394043086	23333	17	ARRB1 DTX2
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.5713746748476	0.91536348588685	-0.231804376176406	-0.937736556095962	28774	59	PSMB2 CDC16 CDC27 PSMD1 PSMC6 BUB3 ANAPC16 ANAPC5 PSMD12 ANAPC4 PSMD4 ANAPC11 PSMD10 PSMD8 ANAPC10 PSMD11 PSMD14
"reactome_Activation of BH3-only proteins"	0.849954254345837	0.986138959766518	-0.233527307788928	-0.730911500160202	42733	20	BBC3 YWHAB YWHAE PPP3R1 YWHAH TFDP2 BCL2L11
"reactome_Activation of HOX genes during differentiation"	0.134217549210426	0.639134498602916	0.327622981235585	1.25489017098686	6688	45	POLR2L RQCD1 ZNF335 POLR2F H2AFJ HIST1H2AC POLR2C EED POLR2G EP300
"reactome_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	0.0123196693352595	0.350385889623411	0.593629375225818	1.71528523063719	613	15	TBK1 UBB PTPN11 IKBKE TANK LY96 UBC UBA52
"reactome_Activation of NF-kappaB in B cells"	0.995467827538911	1	-0.143020766239895	-0.580802176704616	50078	60	MAP3K7 PSMB2 PSMD1 PSMC6 PSMD12 SKP1 IKBKB CUL1 PSMD4 PSMD10 PSMD8 PSMD11 PSMD14
"reactome_Activation of NMDA receptors and postsynaptic events"	0.184841484785726	0.700711165925452	-0.3504432134209	-1.21822022844469	9281	30	PRKAB1 PRKX SRC CREB1 CAMK1 CAMK2G PRKAR2A NRGN DLG1 RPS6KA1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.134217549210426	0.639134498602916	0.327622981235585	1.25489017098686	6688	45	POLR2L RQCD1 ZNF335 POLR2F H2AFJ HIST1H2AC POLR2C EED POLR2G EP300
"reactome_Activation of gene expression by SREBF (SREBP)"	0.943842560381672	1	-0.194718307840539	-0.640166985851901	47479	24	SP1 TGS1 HELZ2 TBL1X CREBBP PMVK
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.582558022706722	0.916335971161805	0.231705610208645	0.931453218510054	28990	56	EIF4E EIF3M RPS26 EIF3J EIF3B EIF3G RPS27L EIF3K RPS3 RPS28
"reactome_Adaptive Immune System"	0.577969174977335	0.916335971161805	-0.178465970298793	-0.966867482925911	29324	433	DYNC1I2 ICAM4 UBE2D4 CTSO SRC KCTD6 FBXL12 CTSS ITGB2 INPP5D DTX3L MAP3K7 STIM1 PSMB2 RNF115 UBE2E2 SEC24B CDC16 TLR1 PIK3CA CDC27 CUL2 CD101 CD33 ERAP2 CUL5 AP2M1 CYBB AHCYL1 CD4 FBXL15 MGRN1 FCGR3A DYNC1H1 SIGLEC9 RNF130 ORAI1 PSMD1 PAK1 UBA1 PSMC6 HERC5 STUB1 FBXL3 PTPRC AP2A2 ANAPC5 NCK1 AP1B1 HLA-F UBA7 RNF4 ATG7 PSMD12 UBE2V2 ICAM2 BTN3A2 BTN3A1 SKP1 HLA-E DYNC1LI1 TRIM41 KLHL5 ITPR2 KIF5B CANX ICAM3 SIGLEC10 IKBKB FKBP1A RNF111 RAP1GAP2 CUL1 RLIM PPP3CA LILRB1 HERC2 UBA3 CTSC YWHAB NCF4 FYB PPP3R1 ANAPC4 PSMD4 DCTN1 PTPN6 LILRA1 UBA5 ANAPC11 HLA-A TYROBP PAK2 FBXO9 GRB2 AP2B1 ARF1 HERC1 PSMD10 RNF220 PSMD8 HLA-DQB1 FBXO6 SH3RF1 MYD88 FBXO21 ANAPC10 FBXL5 AP1M1 PSMD11 RNF213 FCGR2B TRIM21 UBE2M UBE2F HLA-DMA AP2A1 PSMD14 CD36 UBAC1
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.12723361023128	0.620618431189832	-0.344961327826797	-1.276893073714	6386	39	DYNC1I2 NUP107 DYNC1H1 NSL1 BUB3 PPP1CC DYNC1LI1 B9D2 NUDC NDEL1 NUP133 RCC2 SKA2 RPS27 MAD1L1
"reactome_Amplification of signal from the kinetochores"	0.12723361023128	0.620618431189832	-0.344961327826797	-1.276893073714	6386	39	DYNC1I2 NUP107 DYNC1H1 NSL1 BUB3 PPP1CC DYNC1LI1 B9D2 NUDC NDEL1 NUP133 RCC2 SKA2 RPS27 MAD1L1
"reactome_Amyloid fiber formation"	0.0233198087815852	0.390178856152276	0.449120953253898	1.56319336901382	1160	30	FURIN GSN GGA3 UBB HIST1H2AC GGA2 HIST1H2BK APP UBC UBA52 LYZ SORL1
"reactome_Anchoring of the basal body to the plasma membrane"	0.955108143127679	1	-0.175131400292805	-0.678864113122571	47912	48	DYNC1I2 DYNC1H1 RAB8A SCLT1 TTBK2 B9D2 SDCCAG8 NEDD1 YWHAE DCTN1 RAB11A
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.884778328062534	0.994904537076967	-0.220938753856477	-0.701001676928878	44483	21	SEC24B ERAP2 HLA-F HLA-E CANX
"reactome_Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	0.102510044154501	0.571887765561937	-0.43536085288066	-1.36262545525357	5153	20	STIM1 ORAI1 NCK1 ITPR2 PTPN6 GRB2 ORAI2 VAV1 DAPP1 CD79B LYN BTK
"reactome_Antigen processing-Cross presentation"	0.94152835965195	1	0.170900354245312	0.741782823729024	46744	83	FCGR1A CTSL PSMB3 UBB CYBA SEC61B CHUK PSMD9 IKBKG FCGR1B SEC61G PSMC5 PSMA7 NCF1 PSMA6 PSMD7 LY96 PSME2 PSMD6 VAMP8 UBC UBA52 PSMC1
"reactome_Antigen processing: Ubiquitination & Proteasome degradation"	0.817271367857705	0.971682064817706	-0.175924461414404	-0.867990699119641	41536	190	UBE2D4 KCTD6 FBXL12 DTX3L PSMB2 RNF115 UBE2E2 CDC16 CDC27 CUL2 CUL5 FBXL15 MGRN1 RNF130 PSMD1 UBA1 PSMC6 HERC5 STUB1 FBXL3 ANAPC5 UBA7 RNF4 ATG7 PSMD12 UBE2V2 SKP1 TRIM41 KLHL5 RNF111 CUL1 RLIM HERC2 UBA3 ANAPC4 PSMD4 UBA5 ANAPC11 FBXO9 HERC1 PSMD10 RNF220 PSMD8 FBXO6 SH3RF1 FBXO21 ANAPC10 FBXL5 PSMD11 RNF213 TRIM21 UBE2M UBE2F PSMD14 UBAC1
