pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0173807599029911	0.197084208582654	0.406909224235996	1.5235387425882	1246	55	PSMD5 PSMD2 PSME4 PSMD11 ERLIN1 PSMB4 PSMA1 PSMA7 UBB UBC PSMB5 PSMD8 PSMA3 DERL1 PSMD1 PSMD12 ERLEC1 PSMD3
"reactome_ABC-family proteins mediated transport"	0.0255687510854028	0.247283160612473	0.366629431412374	1.45149803307625	1913	75	PSMD5 PSMD2 PSME4 ABCC1 ABCF1 PSMD11 ABCB1 EIF2S2 PEX3 ERLIN1 PSMB4 PSMA1 PSMA7 UBB UBC APOA1 PSMB5 PSMD8 PSMA3 DERL1 PSMD1 PSMD12 ERLEC1 PSMD3
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.0967377807878993	0.415108950677182	-0.408981807653582	-1.36418143879161	3427	20	ANAPC11 CDC26 ANAPC15 ANAPC5 ANAPC4 ANAPC16 CDC27
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.216121416526138	0.59393101790986	0.297699867232617	1.16470453898634	16019	70	PSMD5 PSMD2 SKP2 CDC23 PSME4 PTTG1 FZR1 PSMD11 PSMB4 PSMA1 PSMA7 UBB UBC PSMB5 PSMD8 PSMA3 PSMD1 PSMD12
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.0632361886855057	0.353981497935701	-0.449640565550137	-1.45649332742419	2286	18	ANAPC11 CDC26 ANAPC15 ANAPC5 ANAPC4 ANAPC16 CDC27
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.234877354207652	0.611024941103353	0.303403421674072	1.15523168952405	17072	60	PSMD5 PSMD2 CDC23 PSME4 PTTG1 PSMD11 PSMB4 PSMA1 PSMA7 UBB UBC PSMB5 PSMD8 PSMA3 PSMD1 PSMD12
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.289381259432021	0.669370737472813	0.290398916499506	1.11205582215396	21092	62	PSMD5 PSMD2 CDC23 PSME4 PTTG1 PSMD11 PSMB4 PSMA1 PSMA7 UBB UBC PSMB5 PSMD8 PSMA3 PSMD1 PSMD12
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0920839621347235	0.409440351743804	0.341800242055573	1.30889244964583	6711	62	PSMD5 PSMD2 SKP2 CDC23 PSME4 PTTG1 FZR1 PSMD11 PSMB4 PSMA1 PSMA7 UBB UBC PSMB5 PSMD8 PSMA3 PSMD1 PSMD12
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.409477604760792	0.761967895342933	0.270009056669768	1.03098540716458	29793	61	PSMD5 PSMD2 CDC23 PSME4 PSMD11 PSMB4 PSMA1 PSMA7 UBB UBC PSMB5 PSMD8 PSMA3 PSMD1 PSMD12
"reactome_ATF4 activates genes"	0.413679382755817	0.764262698437142	0.337441849484655	1.03552655380847	26968	22	IL8 HERPUD1 NFYB EXOSC4 ATF6 PARN DIS3 NFYA DDIT3 EXOSC8 EXOSC6 EXOSC5 EXOSC9 ATF4 KHSRP ATF3
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0164659483062188	0.196466009106934	0.419883322677977	1.54381203295934	1168	50	PSMD5 PSMD2 PSME4 HSPA8 PSMD11 PSMB4 PSMA1 PSMA7 UBB UBC PSMB5 PSMD8 PSMA3 PSMD1 PSMD12 PSMD3
"reactome_AURKA Activation by TPX2"	0.00190329076214382	0.0635579199900299	0.451109370677304	1.71208625376875	137	59	CEP135 YWHAG TUBB TPX2 PAFAH1B1 TUBB4B YWHAE HAUS6 CSNK1E CEP290 HAUS8 ALMS1 PCM1 PCNT CEP76 TUBG1 NDE1 CEP250 CEP152 HAUS4 CSNK1D CENPJ TUBA4A DYNC1H1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.393231635496567	0.755541453730418	-0.302695415228552	-1.03687327416506	13687	22	POLR2E POLR2H NELFE
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.380093690032735	0.746180257801304	-0.313532781170858	-1.04580593200439	13468	20	PSENEN MIB2 DTX2 APH1B NCSTN ITCH NOTCH1 ARRB2
