pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.590832977055722	0.943247047362848	-0.247991611613712	-0.92424305502927	33166	50	PSMB2 PSMA6 OS9 PSMD4 PSMD13 PSMB6 PSMC4 PSMC5 PSMB10 PSMB5 PSMF1 SEL1L PSMB1
"reactome_ABC-family proteins mediated transport"	0.700642905083189	0.96715360746416	-0.225132950371394	-0.87070542556832	39668	60	PSMB2 PSMA6 OS9 PSMD4 PSMD13 EIF2S1 PSMB6 PSMC4 PSMC5 PSMB10 PSMB5 PSMF1 SEL1L PSMB1 EIF2S3 PEX3
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.797049981210071	0.982748187518444	-0.27199247287916	-0.757382078552482	42418	15	CDC27 ANAPC11 ANAPC16
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.530193258108515	0.924113583446428	-0.248763009427486	-0.958240076521493	29930	59	PSMB2 CDC27 ANAPC11 PTTG1 PSMA6 PSMD4 PSMD13 ANAPC16 PSMB6 PSMC4 PSMC5 PSMB10 PSMB5 PSMF1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.384328623162678	0.874836956714896	-0.27381644846209	-1.04034978651747	21649	55	PSMB2 CDC27 ANAPC11 PTTG1 PSMA6 PSMD4 PSMD13 ANAPC16 PSMB6 PSMC4 PSMC5 PSMB10 PSMB5 PSMF1
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.416416984309902	0.891642244771324	-0.26773000443746	-1.02084234863403	23487	56	PSMB2 CDC27 ANAPC11 PTTG1 PSMA6 PSMD4 PSMD13 ANAPC16 PSMB6 PSMC4 PSMC5 PSMB10 PSMB5 PSMF1
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.384328623162678	0.874836956714896	-0.27381644846209	-1.04034978651747	21649	55	PSMB2 CDC27 ANAPC11 PTTG1 PSMA6 PSMD4 PSMD13 ANAPC16 PSMB6 PSMC4 PSMC5 PSMB10 PSMB5 PSMF1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.580398352623731	0.939733172913214	-0.244956721739154	-0.930698921115506	32694	55	PSMB2 CDC27 ANAPC11 PSMA6 PSMD4 PSMD13 ANAPC16 PSMB6 PSMC4 PSMC5 PSMB10 PSMB5 PSMF1
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.74179759441577	0.97435688027351	0.220941104647403	0.848034059084756	32624	48	HNRNPD PSMD1 PABPC1 PSMD3 PSMD6 HSPA8 PSMD12 PSMA3 HSPB1 UBC PSMC1 PSME3 PSMB4 UBA52
"reactome_AURKA Activation by TPX2"	0.662671963015328	0.964053554625183	0.241425135220341	0.883299632285805	29527	39	PCNT DCTN1 OFD1 DCTN3 TUBA4A PAFAH1B1
