pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.00311142699202401	0.0281130903413193	0.459563419688794	1.71715434659994	196	46	RPS27A PSMB5 PSMD9 UBA52 DERL1 PSMB1 PSME2 ERLEC1 PSMB10 PSMC4 PSMD1 OS9 PSMD6 PSMD12 PSMB4 PSMD7 PSMD4 VCP PSMD8 PSMC6 PSME1 PSMB7
"reactome_ABC-family proteins mediated transport"	0.00997713247501801	0.0654214829433324	0.418494852175246	1.59772277372563	636	51	EIF2S2 RPS27A PSMB5 PSMD9 UBA52 DERL1 PSMB1 PSME2 ERLEC1 PSMB10 PSMC4 PSMD1 OS9 PSMD6 EIF2S3 PSMD12 PSMB4 PSMD7 PSMD4 VCP PSMD8 PSMC6 PSME1 PSMB7
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.00275663314851361	0.0261424507266064	0.451397709411461	1.72333876172094	175	51	UBE2E1 RPS27A PSMB5 ANAPC15 PSMD9 UBA52 PSMB1 PSME2 ANAPC16 PSMB10 PSMC4 PSMD1 PSMD6 PSMD12 CUL1 PSMB4 PSMD7 PSMD4 PSMD8 PSMC6 PSME1 PSMB7 SKP1 PSMD3 ANAPC11 PSMC5 PSMA7
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.00362701654234936	0.0306029520760727	0.454855288784738	1.70714632787354	229	47	UBE2E1 RPS27A PSMB5 ANAPC15 PSMD9 UBA52 PSMB1 PSME2 ANAPC16 PSMB10 PSMC4 PSMD1 PSMD6 PSMD12 PSMB4 PSMD7 PSMD4 PSMD8 PSMC6 PSME1 PSMB7
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0033517443232781	0.0293597451218444	0.454153420762475	1.71201731745404	212	48	UBE2E1 RPS27A PSMB5 ANAPC15 PSMD9 UBA52 PSMB1 PSME2 ANAPC16 PSMB10 PSMC4 PSMD1 PSMD6 PSMD12 PSMB4 PSMD7 PSMD4 PSMD8 PSMC6 PSME1 PSMB7
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.00362701654234936	0.0306029520760727	0.454855288784738	1.70714632787354	229	47	UBE2E1 RPS27A PSMB5 ANAPC15 PSMD9 UBA52 PSMB1 PSME2 ANAPC16 PSMB10 PSMC4 PSMD1 PSMD6 PSMD12 PSMB4 PSMD7 PSMD4 PSMD8 PSMC6 PSME1 PSMB7
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0033517443232781	0.0293597451218444	0.454153420762475	1.71201731745404	212	48	UBE2E1 RPS27A PSMB5 ANAPC15 PSMD9 UBA52 PSMB1 PSME2 ANAPC16 PSMB10 PSMC4 PSMD1 PSMD6 PSMD12 PSMB4 PSMD7 PSMD4 PSMD8 PSMC6 PSME1 PSMB7
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.00433078985357806	0.0349970518097241	0.460742227796704	1.69823030242844	272	43	RPS27A PSMB5 PSMD9 UBA52 PSMB1 PSME2 PABPC1 PSMB10 PSMC4 HSPA8 PSMD1 PSMD6 PSMD12 PSMB4 PSMD7 PSMD4 PSMD8 PSMC6 PSME1 PSMB7
"reactome_AURKA Activation by TPX2"	0.568288204412031	0.820781264396231	-0.2562991469033	-0.927870516212278	21973	29	TUBA4A PRKAR2B YWHAE TUBB4B DYNLL1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.929929980475325	0.99268235609776	0.216879044903436	0.637147591664053	55248	17	POLR2B NCBP2 NCBP1 POLR2L NELFCD POLR2F NELFE POLR2A
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0033517443232781	0.0293597451218444	0.454153420762475	1.71201731745404	212	48	UBE2E1 RPS27A PSMB5 ANAPC15 PSMD9 UBA52 PSMB1 PSME2 ANAPC16 PSMB10 PSMC4 PSMD1 PSMD6 PSMD12 PSMB4 PSMD7 PSMD4 PSMD8 PSMC6 PSME1 PSMB7
"reactome_Activation of BH3-only proteins"	0.0182505028700388	0.102158302650583	-0.544144875872562	-1.6751206777304	743	16	PPP3R1 YWHAQ YWHAE YWHAH DYNLL1 YWHAZ BAD DYNLL2 TFDP2
"reactome_Activation of HOX genes during differentiation"	0.000131964422391723	0.00206026088019731	-0.531529238652265	-2.03134741595206	4	36	HIST1H2AC HIST1H2BC HIST1H2BJ HIST1H2BH HIST1H2BK HIST2H2BE HIST1H2BN H2AFJ PBX1 POLR2E H3F3A
"reactome_Activation of NF-kappaB in B cells"	0.0195819789262103	0.106494411458893	0.403316215102249	1.52683178703996	1246	49	RPS27A PSMB5 PSMD9 UBA52 PSMB1 PSME2 PSMB10 PSMC4 PSMD1 FBXW11 NFKB1 PSMD6 REL PSMD12 CUL1 PSMB4 PSMD7 PSMD4 PSMD8 PSMC6 PSME1 PSMB7 SKP1 PSMD3
"reactome_Activation of NMDA receptors and postsynaptic events"	0.576389357822946	0.827275532334997	0.317284937392007	0.915747749307701	34142	16	PRKAA1 PRKACB KRAS PRKAG2
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.000131964422391723	0.00206026088019731	-0.531529238652265	-2.03134741595206	4	36	HIST1H2AC HIST1H2BC HIST1H2BJ HIST1H2BH HIST1H2BK HIST2H2BE HIST1H2BN H2AFJ PBX1 POLR2E H3F3A
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	1.56023278673178e-05	0.000483297796730633	0.740503266846111	2.84813664342851	0	53	EIF2S2 RPS18 RPS2 RPS14 RPS12 RPS27A RPS23 RPS9 RPS29 RPS5 RPS3A RPS13 EIF3H RPS28 RPS8 RPSA RPS16 RPS3 RPS24 RPS4X RPS15 RPS20 RPS27 FAU RPS6 RPS15A EIF3E RPS25 RPS26 RPS19 RPS21 RPS7 EIF4A2 PABPC1 RPS4Y1 EIF3F EIF4A1 EIF3K RPS11 EIF3L EIF2S3 EIF3I EIF3D EIF3M EIF4B RPS10
"reactome_Adaptive Immune System"	0.927642384693923	0.992049987359065	-0.155421929033346	-0.857609568399172	20896	307	DNM3 PPP3R1 GRAP2 CAPZA2 CD226 TREML1 CD99 DAPP1 RAP1B IKBKG KIF2A CTSA PPP2R5A ORAI1 CTSD AP1S2 ARF1 HLA-E DYNLL1 UBE2E3 UBE2F AP2S1 ITCH ITGB1 RASGRP2 RBX1 SH3KBP1 RAP1A SIAH2 LYN INPP5D UBA7 NPEPPS LAT VHL SNAP23 CUL3 PIK3CB YWHAZ CYBB PRKCB VAMP8 BTN3A2 MAP3K8 KLRG1 CD8A DCTN2 RICTOR CTSC ICAM2 DYNLL2 UBE2G1 PDIA3 CD8B PSMD11 PSMB9 PIK3R1 ITGB2 B2M BTK CDC16 CBLB RBBP6 ORAI2 FBXL3 HLA-C CALM1 FKBP1A KLRB1 PSMA3 ITGA4 TYROBP TPP2 UBB HERC1 PSMA1 CD14 PTPRJ KIFAP3 UBE3B RELA ITPR1 HLA-DQB1
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.730394829063157	0.924132860433235	-0.229196378304399	-0.836345798569712	28136	30	CENPT KIF2A PPP2R5A DYNLL1
"reactome_Amplification of signal from the kinetochores"	0.730394829063157	0.924132860433235	-0.229196378304399	-0.836345798569712	28136	30	CENPT KIF2A PPP2R5A DYNLL1
"reactome_Amyloid fiber formation"	2.59585182877761e-05	0.000666893323220964	-0.605611302108129	-2.20989734581135	0	30	HIST1H2AC HIST1H2BC HIST1H2BJ HIST1H2BH HIST1H2BK APP HIST2H2BE HIST1H2BN SNCA ITM2B H3F3A TSPAN33 CST3 SIAH2
"reactome_Anchoring of the basal body to the plasma membrane"	0.178392157893354	0.431867091102581	-0.324743718382033	-1.2131183755775	6787	33	TUBA4A PRKAR2B RAB8A RAB11A YWHAE TUBB4B DYNLL1
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.874191632012221	0.975337771253304	0.244772788172031	0.693262757958507	51502	15	CALR SEC13 SAR1B HSPA5 TAPBP
"reactome_Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	0.0190845312270029	0.104978666150724	-0.541680612383529	-1.66753457537258	777	16	DAPP1 ORAI1 SH3KBP1 LYN PIK3R1 BTK ORAI2 CALM1 ITPR1 FYN
"reactome_Antigen processing-Cross presentation"	0.225335274733696	0.495349095319763	0.287633643077909	1.15347948368238	14701	66	RPS27A PSMB5 PSMD9 UBA52 PSMB1 VAMP3 CALR PSME2 PSMB10 PSMC4 PSMD1 PSMD6 LNPEP PSMD12 CYBA PSMB4 PSMD7 PSMD4 TAPBP PSMD8 PSMC6 PSME1 PSMB7
"reactome_Antigen processing: Ubiquitination & Proteasome degradation"	0.0346895443590038	0.15975708351071	0.302289720705658	1.356330866798	2417	128	UBE2E1 UBE2V1 UBE2R2 RPS27A PSMB5 PSMD9 UBR1 UBA52 PSMB1 PSME2 FBXO7 UBE2J2 RNF4 RNF111 HECTD1 PSMB10 PSMC4 HUWE1 PJA2 UBE2D2 STUB1 RNF130 PSMD1 FBXW11 UBE2D3 PSMD6 WWP1 UBE3A LNPEP UBA1 MIB2 UBE2A PSMD12 UBE2Q2 BTBD1 CUL1 PSMB4 PSMD7 PSMD4 PSMD8 PSMC6 PSME1 UBE2G2 PSMB7 UBE2N UBE2L6 SKP1 PSMD3
"reactome_Antiviral mechanism by IFN-stimulated genes"	0.0781130145742777	0.258313211020126	0.374327217033916	1.35752790399431	4887	40	UBE2E1 RPS27A EIF4A3 UBA52 NUP214 TPR EIF4A2 SEC13 EIF4A1 KPNB1 EIF4E2 STAT1 UBE2N PDE12 UBE2L6 EIF4G1
reactome_Apoptosis	0.872200806285496	0.975012591536879	0.183358705762201	0.795174661649452	59279	103	FNTA RPS27A PSMB5 PLEC VIM BCL2 PSMD9 UBA52 ROCK1 PSMB1 PSME2 PSMB10 PSMC4 OPA1 PSMD1 HIST1H1E PSMD6 CARD8 SATB1 KPNB1 PSMD12 CTNNB1 PSMB4 PSMD7 PSMD4 PSMD8 PSMC6 PSME1 PSMB7
"reactome_Apoptotic cleavage of cellular proteins"	0.147399131386135	0.387492561891387	0.40991288932957	1.28740689916198	8891	22	FNTA PLEC VIM ROCK1
"reactome_Apoptotic execution phase"	0.59796000971424	0.84191301981238	0.264593630127153	0.913017764676671	36932	32	FNTA PLEC VIM ROCK1
"reactome_Asparagine N-linked glycosylation"	0.742686506731451	0.926550172562848	0.195621375120752	0.871042824667159	51358	122	ST6GAL1 GBF1 RPS27A PPP6R3 UGGT1 UBA52 DERL1 ARFGAP2 CALR KDELR1 RAD23B ARFGAP3 COG3 SEC13 RPN2 MGAT4A CNIH1 OS9 UBXN1 GLB1 TMED10 DDOST COPG1 TRAPPC6A CMAS CD55 SAR1B
