pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0289348813730439	0.318283695103483	0.374795710669972	1.46676387615234	1432	52	UBA52 DERL1 PSMB1 PSMD12 RPS27A PSMD13 PSMD11 PSMB5 PSMA4 PSMD6 UBC RNF5 UBB PSMC4 PSMB6 PSMD5 PSMD4 PSMB4
"reactome_ABC-family proteins mediated transport"	0.0524954013462433	0.416463761589589	0.333342004388144	1.36464635673807	2596	65	UBA52 DERL1 PSMB1 PSMD12 RPS27A PSMD13 PSMD11 PSMB5 PSMA4 PSMD6 UBC RNF5 UBB ABCD3 EIF2S2 PSMC4 PSMB6 PSMD5 PSMD4 PSMB4
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.0283619879936293	0.318283695103483	0.50346180055972	1.56648302783082	1388	20	UBA52 ANAPC15 RPS27A ANAPC11 ANAPC10 MAD2L1 UBC UBB CDC27 ANAPC2 CDC23 CDC26
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0805786793825265	0.467800591260681	0.31763140486766	1.30448075053825	3987	66	UBA52 PSMB1 PSMD12 ANAPC15 RPS27A ANAPC11 PSMD13 ANAPC10 MAD2L1 PSMD11 PSMB5 PSMA4 PSMD6 UBC UBB CDC27 PSMC4 PSMB6 PSMD5 ANAPC2 PSMD4 PSMB4
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.0502006804800033	0.412922260631884	0.494273479176127	1.4963057662133	2463	18	UBA52 ANAPC15 RPS27A ANAPC11 ANAPC10 UBC UBB CDC27 ANAPC2 CDC23 CDC26
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0422780000808375	0.387299106849858	0.347661012089495	1.40076679645575	2091	60	UBA52 PSMB1 PSMD12 ANAPC15 RPS27A ANAPC11 PSMD13 ANAPC10 PSMD11 PSMB5 PSMA4 PSMD6 UBC UBB CDC27 PSMC4 PSMB6 PSMD5 ANAPC2 PSMD4 PSMB4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0283967062242674	0.318283695103483	0.356911473955724	1.44848512787188	1406	62	UBA52 PSMB1 PSMD12 ANAPC15 RPS27A ANAPC11 PSMD13 ANAPC10 MAD2L1 PSMD11 PSMB5 PSMA4 PSMD6 UBC UBB CDC27 PSMC4 PSMB6 PSMD5 ANAPC2 PSMD4 PSMB4
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0422780000808375	0.387299106849858	0.347661012089495	1.40076679645575	2091	60	UBA52 PSMB1 PSMD12 ANAPC15 RPS27A ANAPC11 PSMD13 ANAPC10 PSMD11 PSMB5 PSMA4 PSMD6 UBC UBB CDC27 PSMC4 PSMB6 PSMD5 ANAPC2 PSMD4 PSMB4
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0250909090909091	0.304466253703205	0.362454106466393	1.46561836917289	1241	61	UBA52 PSMB1 PSMD12 ANAPC15 RPS27A ANAPC11 PSMD13 ANAPC10 MAD2L1 PSMD11 PSMB5 PSMA4 PSMD6 UBC UBB CDC27 PSMC4 PSMB6 PSMD5 ANAPC2 PSMD4 PSMB4
"reactome_ATF4 activates genes"	0.380225735473882	0.802108796594112	0.359726558874584	1.05452192584306	18662	16	ATF4 KHSRP DDIT3 ATF3 EXOSC9
