pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.933625531468164	0.983217629467645	-0.175798913835659	-0.719923449689046	35572	52	PSMD2 PSMB6 PSMB9 PSMB5 PSMD6 PSMA7 PSMA5 PSMA3 PSMD14 UBC
"reactome_ABC-family proteins mediated transport"	0.618375065830421	0.955684783300227	0.231807475351131	0.91270607748627	38747	60	PSMA1 RPS27A ABCC1 ABCB7 ABCD3 PSMD11 UBA52 PSMD5 PSMA4 PSMC6 PSMD4 PSMA6 SEL1L PSME1 EIF2S2 PSME2 PSME3 EIF2S1 PSMC1 VCP ABCF1
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.864614434263358	0.975917369842428	0.238512420546832	0.708533221602131	50387	18	RPS27A UBA52 BUB3 MAD2L1 ANAPC7 ANAPC15
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.649089191742005	0.9558168677314	-0.212583550177651	-0.9050756178678	24051	63	PSMD2 PSMB6 PTTG1 PSMB9 PSMB5 PSMD6 PSMA7 PSMA5 CDC27 ANAPC4 PSMA3 ANAPC11 PSMD14 UBC
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.947969724377588	0.983665789309508	-0.201407737792809	-0.611297778607604	39827	16	CDC27 ANAPC4 ANAPC11 UBC ANAPC5
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.416588953132078	0.884770838658971	-0.243089855370326	-1.01744999251883	15634	58	PSMD2 PSMB6 PTTG1 PSMB9 PSMB5 PSMD6 PSMA7 PSMA5 CDC27 ANAPC4 PSMA3 ANAPC11 PSMD14 UBC ANAPC5 PSMC5 PSMB7 PSMB3 PSMD3
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.561393642377012	0.94639932324702	-0.224336626513964	-0.945172083766168	20962	60	PSMD2 PSMB6 PTTG1 PSMB9 PSMB5 PSMD6 PSMA7 PSMA5 CDC27 ANAPC4 PSMA3 ANAPC11 PSMD14 UBC
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.416588953132078	0.884770838658971	-0.243089855370326	-1.01744999251883	15634	58	PSMD2 PSMB6 PTTG1 PSMB9 PSMB5 PSMD6 PSMA7 PSMA5 CDC27 ANAPC4 PSMA3 ANAPC11 PSMD14 UBC ANAPC5 PSMC5 PSMB7 PSMB3 PSMD3
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.796845813097081	0.97585850364768	-0.197667247410527	-0.830124962262126	29860	59	PSMD2 PSMB6 PSMB9 PSMB5 PSMD6 PSMA7 PSMA5 CDC27 ANAPC4 PSMA3 ANAPC11 PSMD14 UBC ANAPC5 PSMC5 PSMB7 PSMB3 PSMD3
"reactome_ATF4 activates genes"	0.603286830260912	0.953108357378182	0.312131912786342	0.89770773602955	34983	16	EXOSC9 EXOSC8 PARN EXOSC1 KHSRP EXOSC6 NFYC ATF6
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.724829772857217	0.967705464569615	-0.212929758870503	-0.860237632747017	27889	49	PSMD2 PSMB6 PSMB9 PSMB5 PSMD6 PSMA7 HSPB1 PSMA5 PSMA3 PSMD14 UBC PSMC5 HNRNPD PSMB7 PSMB3 PSMD3
