pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.854382190627631	0.998316350580811	-0.201397090128517	-0.776437770641857	45670	52	PSMB8 PSMD1 PSMB2 PSMC6 PSMD13 UBC PSMC5 PSMB5 PSMC4 PSME3 PSMD3
"reactome_ABC-family proteins mediated transport"	0.685074543525602	0.988929702534834	-0.223216827962004	-0.879724416329097	36806	58	EIF2S1 PSMB8 PSMD1 PSMB2 PSMC6 PSMD13 UBC PSMC5 PSMB5 PSMC4 PSME3 PSMD3
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.451154397127495	0.974108295529521	-0.254628445012045	-1.00006086352037	24249	57	CDC27 PSMB8 PSMD1 PSMB2 PSMC6 PSMD13 UBC PSMC5 ANAPC2 PSMB5 BUB3 PSMC4 PSME3 PSMD3
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.545732845516315	0.978643715859911	-0.244295210578182	-0.94937654639497	29235	54	CDC27 PSMB8 PSMD1 PSMB2 PSMC6 PSMD13 UBC PSMC5 ANAPC2 PSMB5 PSMC4 PSME3 PSMD3
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.440825371994711	0.974108295529521	-0.258066205432151	-1.00695011270489	23670	55	CDC27 PSMB8 PSMD1 PSMB2 PSMC6 PSMD13 UBC PSMC5 ANAPC2 PSMB5 BUB3 PSMC4 PSME3 PSMD3
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.545732845516315	0.978643715859911	-0.244295210578182	-0.94937654639497	29235	54	CDC27 PSMB8 PSMD1 PSMB2 PSMC6 PSMD13 UBC PSMC5 ANAPC2 PSMB5 PSMC4 PSME3 PSMD3
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.435283356977526	0.974108295529521	-0.259993149318502	-1.01038165096306	23318	54	CDC27 PSMB8 PSMD1 PSMB2 PSMC6 PSMD13 UBC PSMC5 ANAPC2 PSMB5 BUB3 PSMC4 PSME3 PSMD3
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.781081639165775	0.998316350580811	-0.216481729123007	-0.8170247389607	41608	47	PSMB8 PSMD1 PSMB2 PSMC6 PSMD13 UBC PSMC5 PSMB5 PSMC4 PSME3 PSMD3
"reactome_AURKA Activation by TPX2"	0.264109589041096	0.974108295529521	-0.332123159601516	-1.14163287610763	13977	31	DCTN1 TUBA4A SSNA1 TUBA1A DCTN2 TUBB PCM1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.957201129588955	0.998316350580811	0.191778270640845	0.609332378120787	45758	21	NCBP1 POLR2G POLR2K GTF2F1 POLR2I POLR2H
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.440825371994711	0.974108295529521	-0.258066205432151	-1.00695011270489	23670	55	CDC27 PSMB8 PSMD1 PSMB2 PSMC6 PSMD13 UBC PSMC5 ANAPC2 PSMB5 BUB3 PSMC4 PSME3 PSMD3
"reactome_Activation of BH3-only proteins"	0.545599416327471	0.978643715859911	-0.322846754645012	-0.934771983377176	28416	16	TFDP1 YWHAH
"reactome_Activation of HOX genes during differentiation"	0.986799924570997	0.998316350580811	-0.16176733066158	-0.582686553702862	52329	38	POLR2D HIST2H2AC H3F3A POLR2E NCOR1 H2AFZ CTCF POLR2F EP300 HIST1H2BK POLR2A KDM6A RBBP4
"reactome_Activation of NF-kappaB in B cells"	0.541385687333047	0.978189057334305	-0.245696608493799	-0.951321434036962	28981	53	PSMB8 PSMD1 PSMB2 PSMC6 PSMD13 UBC PSMC5 NFKB1 PSMB5 PSMC4 PSME3 PSMD3 MALT1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.986799924570997	0.998316350580811	-0.16176733066158	-0.582686553702862	52329	38	POLR2D HIST2H2AC H3F3A POLR2E NCOR1 H2AFZ CTCF POLR2F EP300 HIST1H2BK POLR2A KDM6A RBBP4
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	2.16356555603635e-05	0.00105390799934551	0.515932521526635	2.07128131760723	0	56	RPS15A RPS27L RPS26 RPS21 RPS29 RPS15 RPS14 EIF4B RPS3 FAU EIF3B RPS3A RPS25 RPS27 RPS7 RPS13 RPS4X RPS9 RPS24 EIF3D EIF4EBP1 RPS27A RPS5 RPSA RPS12 EIF3M RPS16 RPS23 RPS8 RPS4Y1 RPS20
