pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.5299771574357	0.918676384557068	0.232186995652276	0.960633608832281	17864	52	PSMD1 RPS27A UBA52 PSMA5 PSMD11 PSMD3 PSMB6 PSMD10 PSMB5 PSMB7 UBC DERL1 PSMA1 PSMB1 PSMB2 PSMD8 PSMD7
"reactome_ABC-family proteins mediated transport"	0.474841719426858	0.900386893936118	0.233242402911941	0.98848819145604	15674	58	PSMD1 RPS27A UBA52 PSMA5 PSMD11 PSMD3 PSMB6 PSMD10 PSMB5 ABCF1 PSMB7 UBC DERL1 PSMA1 PSMB1 PSMB2 PSMD8 PSMD7
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.618490806094938	0.934387186450803	0.217429942652335	0.921474517915773	20416	58	PSMD1 RPS27A UBA52 UBE2D1 PSMA5 PSMD11 PSMD3 PSMB6 PSMD10 PSMB5 PSMB7 UBC PSMA1 BUB3 PSMB1 PSMB2 PSMD8 PSMD7 ANAPC11 PSMA3 PSME1 PSMD14 CUL1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.483171569359415	0.903168428010922	0.235492936461006	0.98274751217728	16178	54	PSMD1 RPS27A UBA52 UBE2D1 PSMA5 PSMD11 PSMD3 PSMB6 PSMD10 PSMB5 PSMB7 UBC
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.5197068012497	0.915194898026778	0.230506533122083	0.965499180795986	17299	55	PSMD1 RPS27A UBA52 UBE2D1 PSMA5 PSMD11 PSMD3 PSMB6 PSMD10 PSMB5 PSMB7 UBC PSMA1 BUB3 PSMB1 PSMB2 PSMD8 PSMD7 ANAPC11 PSMA3 PSME1 PSMD14
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.483171569359415	0.903168428010922	0.235492936461006	0.98274751217728	16178	54	PSMD1 RPS27A UBA52 UBE2D1 PSMA5 PSMD11 PSMD3 PSMB6 PSMD10 PSMB5 PSMB7 UBC
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.493982380170226	0.908065083354495	0.234263643491567	0.977617487363759	16540	54	PSMD1 RPS27A UBA52 UBE2D1 PSMA5 PSMD11 PSMD3 PSMB6 PSMD10 PSMB5 PSMB7 UBC PSMA1 BUB3 PSMB1 PSMB2 PSMD8 PSMD7 ANAPC11 PSMA3 PSME1 PSMD14
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.130151652928926	0.557408113578364	0.301103826794115	1.23620016466967	4436	50	PSMD1 PABPC1 RPS27A UBA52 PSMA5 PSMD11 PSMD3 HSPA1A PSMB6 PSMD10 PSMB5 PSMB7 UBC PSMA1 PSMB1 PSMB2 PSMD8 HSPB1 PSMD7
"reactome_AURKA Activation by TPX2"	0.712536988008098	0.970895160840437	-0.240938176161986	-0.846583942774528	45751	38	DCTN2 CDK5RAP2 AKAP9 CEP78 NEDD1 PCNT CEP192 CSNK1E CEP164 CEP57 YWHAG
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.785105129715471	0.974733978529122	0.240133117684471	0.785764452150094	30655	20	POLR2G SUPT5H POLR2A POLR2C POLR2I
