pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.713379955917168	0.918403601034755	0.212976675320656	0.868406126843335	26215	49	UBA52 PSMD12 DERL2 UBC RNF5 PSMB7 RPS27A PSMA3 PSMD1 PSMD2 PSMA4 PSMB4
"reactome_ABC-family proteins mediated transport"	0.187805082145547	0.639504297333007	0.278202086408987	1.17167166826474	6732	57	ABCF1 ABCC1 UBA52 EIF2S2 PSMD12 DERL2 UBC RNF5 PSMB7 RPS27A PSMA3 PSMD1 PSMD2 PSMA4 PSMB4 ABCG1 PSMC2
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.841428689906837	0.974746573993345	0.192177004349991	0.800208589027222	30436	54	UBA52 PSMD12 UBC PSMB7 RPS27A PSMA3 PSMD1 PSMD2 CDC14A PSMA4 PSMB4 CDC16 SKP1 PSMC2 BUB3 PSMD6 PSMD8 PSMD3
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.969698624153745	0.997489123796307	0.163102323863722	0.668018106149654	35521	50	UBA52 PSMD12 UBC PSMB7 RPS27A PSMA3 PSMD1 PSMD2 PSMA4 PSMB4 CDC16 PSMC2 PSMD6 PSMD8 PSMD3
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.950227359886046	0.997489123796307	0.170740476281042	0.702306310495116	34688	51	UBA52 PSMD12 UBC PSMB7 RPS27A PSMA3 PSMD1 PSMD2 PSMA4 PSMB4 CDC16 PSMC2 BUB3 PSMD6 PSMD8 PSMD3
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.969698624153745	0.997489123796307	0.163102323863722	0.668018106149654	35521	50	UBA52 PSMD12 UBC PSMB7 RPS27A PSMA3 PSMD1 PSMD2 PSMA4 PSMB4 CDC16 PSMC2 PSMD6 PSMD8 PSMD3
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.950227359886046	0.997489123796307	0.170740476281042	0.702306310495116	34688	51	UBA52 PSMD12 UBC PSMB7 RPS27A PSMA3 PSMD1 PSMD2 PSMA4 PSMB4 CDC16 PSMC2 BUB3 PSMD6 PSMD8 PSMD3
"reactome_ATF4 activates genes"	0.132692720379599	0.567103412098524	0.442174325143371	1.32374849854426	5564	15	ATF3 EXOSC9 EXOSC6 DIS3 DCP2
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.484168865435356	0.844941915860451	0.245332773715101	0.980857386383923	17982	45	UBA52 PSMD12 UBC PSMB7 RPS27A PSMA3 PSMD1 HSPA8 HNRNPD PSMD2 PSMA4 PSMB4 PSMC2 PSMD6 PSMD8 PSMD3 PSME2 PABPC1
"reactome_AURKA Activation by TPX2"	0.37944064074409	0.81266303637366	-0.295767678173582	-1.05259968114052	23497	38	DYNLL1 HAUS3 CEP63 SDCCAG8 CNTRL CEP290 DCTN1 YWHAG ODF2 CSNK1E AKAP9 CDK5RAP2
