pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.000269305864135192	0.00626784463046498	0.449205309127218	1.91935993134833	7	55	PSMD12 UBA52 PSMC4 PSMD11 SEL1L PSMC2 PSMB7 PSMD2 PSMC6 UBC PSMB3 VCP RPS27A RNF185 PSMD3 DERL1 PSMC1 DERL2 PSMD5 PSMB2 PSMA1 UBB PSMD6 PSMB5 PSMB6 PSMD10 PSMD13 PSME4
"reactome_ABC-family proteins mediated transport"	0.000110676602966133	0.00388160007906506	0.418048338277591	1.89038317140404	2	73	PSMD12 UBA52 PSMC4 ABCF1 PSMD11 EIF2S2 SEL1L PSMC2 ABCC4 PSMB7 PSMD2 PSMC6 UBC PSMB3 VCP RPS27A ABCG1 ABCB1 RNF185 ABCC1 PSMD3 DERL1 PSMC1 DERL2 PSMD5 PSMB2 PSMA1 UBB PSMD6 PSMB5 PSMB6 PSMD10 PSMD13 PSME4
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.355531415796848	0.643479094719872	-0.361006353728956	-1.08209111643648	22582	20	ANAPC16 ANAPC11 ANAPC5 CDC26
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0330789719962566	0.164974809543235	0.311700903212382	1.39480033669149	918	69	PSMD12 UBA52 PSMC4 PSMD11 PSMC2 PSMB7 PSMD2 PSMC6 UBC PSMB3 RPS27A UBE2D1 PSMD3 ANAPC15 FZR1 BTRC ANAPC2 PSMC1 PSMD5 PSMB2 PSMA1 UBB MAD2L1 PSMD6 CDC14A PSMB5 PSMB6 PSMD10 PSMD13 PSME4
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.285400693538638	0.577045675095495	-0.39281605420324	-1.14462765859226	17941	18	ANAPC16 ANAPC11 ANAPC5 CDC26
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0361014593467686	0.173441567687381	0.321777539247247	1.3974876082993	1038	60	PSMD12 UBA52 PSMC4 PSMD11 PSMC2 PSMB7 PSMD2 PSMC6 UBC PSMB3 RPS27A UBE2D1 PSMD3 ANAPC15 ANAPC2 PSMC1 PSMD5 PSMB2 PSMA1 UBB PSMD6 PSMB5 PSMB6 PSMD10 PSMD13 PSME4 CDC27 PSMD7 PSMA3 CDC16 PSME3 ANAPC10 PSMD14 PSMB1 PSMD8
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0349880802131538	0.169911202518902	0.319853815359366	1.39961410832804	997	62	PSMD12 UBA52 PSMC4 PSMD11 PSMC2 PSMB7 PSMD2 PSMC6 UBC PSMB3 RPS27A UBE2D1 PSMD3 ANAPC15 ANAPC2 PSMC1 PSMD5 PSMB2 PSMA1 UBB MAD2L1 PSMD6 PSMB5 PSMB6 PSMD10 PSMD13 PSME4 CDC27 PSMD7 PSMA3 CDC16 PSME3 ANAPC10 PSMD14 PSMB1 PSMD8
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.031657551535549	0.160951499878147	0.322864374287578	1.41278769121979	902	62	PSMD12 UBA52 PSMC4 PSMD11 PSMC2 PSMB7 PSMD2 PSMC6 UBC PSMB3 RPS27A UBE2D1 PSMD3 ANAPC15 FZR1 ANAPC2 PSMC1 PSMD5 PSMB2 PSMA1 UBB PSMD6 PSMB5 PSMB6 PSMD10 PSMD13 PSME4 CDC27 PSMD7 PSMA3 CDC16 PSME3 ANAPC10 PSMD14 PSMB1 PSMD8
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0351893873276314	0.170100084589873	0.321221644604395	1.40057720917327	1007	61	PSMD12 UBA52 PSMC4 PSMD11 PSMC2 PSMB7 PSMD2 PSMC6 UBC PSMB3 RPS27A UBE2D1 PSMD3 ANAPC15 ANAPC2 PSMC1 PSMD5 PSMB2 PSMA1 UBB MAD2L1 PSMD6 PSMB5 PSMB6 PSMD10 PSMD13 PSME4 CDC27 PSMD7 PSMA3 CDC16 PSME3 ANAPC10 PSMD14 PSMB1 PSMD8
"reactome_ATF4 activates genes"	0.845326560687298	0.941234388298164	-0.239816277758081	-0.727573933827095	53919	21	NFYC PARN EXOSC5 EXOSC8
