pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	5.93225366316664e-05	0.00514882623834663	0.475289567653002	2.16407983883309	0	55	UBA52 RPS27A PSMD13 UBC PSMB7 PSMD3 PSMD12 PSMC4 PSMD5 PSMD7 PSMA5 PSMA3 PSMB4 PSMA4 DERL2 PSMD11 PSMD6 PSMB1 RNF185 SEL1L PSME1 DERL1 PSMD14 ERLEC1 PSMD2 RNF5 PSMD8 PSMC2 PSMB3 PSMB5 PSMA7 PSMC3 PSME4 PSMC1
"reactome_ABC-family proteins mediated transport"	0.00134178158777488	0.021553005742453	0.339978843331938	1.65730083821685	17	78	UBA52 ABCG1 RPS27A PSMD13 UBC ABCB1 PSMB7 PSMD3 PSMD12 PSMC4 PSMD5 ABCF1 PSMD7 PSMA5 PSMA3 PSMB4 PSMA4 DERL2 PSMD11 PSMD6 PSMB1 EIF2S2 RNF185 SEL1L PSME1 DERL1 PSMD14 ERLEC1 PSMD2 EIF2S3 EIF2S1 RNF5 PSMD8
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.270701583698179	0.66181300332972	-0.39280952502409	-1.16033105591722	20032	20	ANAPC16 CDC26 ANAPC4 CDC16 ANAPC11
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0157491192926711	0.122501068163356	0.30508292858332	1.45897684146181	227	70	UBA52 RPS27A ANAPC10 PSMD13 UBC PSMB7 PSMD3 PSMD12 PSMC4 PSMD5 PSMD7 PSMA5 FZR1 PSMA3 PSMB4 PSMA4 SKP2 PSMD11 CDC27 BUB3 PSMD6 PSMB1
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.175195261739642	0.535171738575182	-0.438408036148369	-1.26167291827086	12807	18	ANAPC16 CDC26 ANAPC4 CDC16 ANAPC11
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.00728643216080402	0.0711184015215936	0.340946549118255	1.58022365308124	115	60	UBA52 RPS27A ANAPC10 PSMD13 UBC PSMB7 PSMD3 PSMD12 PSMC4 PSMD5 PSMD7 PSMA5 PSMA3 PSMB4 PSMA4 PSMD11 CDC27 PSMD6 PSMB1 PSME1 PSMD14 PSMD2 UBE2E1 PSMD8 PTTG1 PSMC2 PSMB3 PSMB5 PSMA7 PSMC3 ANAPC15 PSME4 PSMC1
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0062663853187544	0.0652843415935685	0.339244347993262	1.58414565784315	97	62	UBA52 RPS27A ANAPC10 PSMD13 UBC PSMB7 PSMD3 PSMD12 PSMC4 PSMD5 PSMD7 PSMA5 PSMA3 PSMB4 PSMA4 PSMD11 CDC27 BUB3 PSMD6 PSMB1
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0017903958053584	0.025972070796718	0.361281131301778	1.68704928703407	27	62	UBA52 RPS27A ANAPC10 PSMD13 UBC PSMB7 PSMD3 PSMD12 PSMC4 PSMD5 PSMD7 PSMA5 FZR1 PSMA3 PSMB4 PSMA4 SKP2 PSMD11 CDC27 PSMD6 PSMB1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.00565725908975337	0.0610812352303556	0.342981614528458	1.59528364488102	88	61	UBA52 RPS27A ANAPC10 PSMD13 UBC PSMB7 PSMD3 PSMD12 PSMC4 PSMD5 PSMD7 PSMA5 PSMA3 PSMB4 PSMA4 PSMD11 CDC27 BUB3 PSMD6 PSMB1
"reactome_ATF4 activates genes"	0.936549533452452	0.978691515878363	0.182857514407841	0.661490160782032	23586	22	ATF3 EXOSC7 EXOSC9 DIS3 NFYA EXOSC8 DDIT3 HERPUD1 EXOSC4
