pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	3.64750510650715e-05	0.00247943765850466	0.503274767912195	2.16772757761464	0	55	RNF5 UBA52 PSMB4 PSMA3 RPS27A PSMA4 PSMB6 PSMD12 PSMD13 PSME1 PSMC4 PSMC3 DERL2 PSMD7 PSMB7 PSMD3 PSMA6 SEL1L PSMC2 PSMB8 PSMD11 ERLEC1 ERLIN1 PSMB3 PSMD5 PSMD10 PSMD1 PSMD6 PSMC1 PSMB1 PSMD8 PSME3 DERL1
"reactome_ABC-family proteins mediated transport"	4.02349722378692e-05	0.00247943765850466	0.461701600478834	2.11646594716929	0	74	RNF5 UBA52 PSMB4 PSMA3 RPS27A PSMA4 ABCB1 ABCG1 PSMB6 ABCF1 PSMD12 PSMD13 PSME1 ABCD3 PSMC4 PSMC3 DERL2 PSMD7 EIF2S2 PSMB7 PSMD3 PSMA6 SEL1L EIF2S1 PSMC2 PSMB8 PSMD11 ERLEC1 ABCB7 ERLIN1 PSMB3 PSMD5 PSMD10 PSMD1 PSMD6 PSMC1 PSMB1
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.748409449784605	0.935641165434848	-0.268617168075621	-0.802573372448875	48817	20	ANAPC16 CDC26
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.00335491924787392	0.0449987466778663	0.364914784035639	1.64426653036265	85	68	UBA52 PSMB4 PSMA3 RPS27A PSMA4 PSMB6 PSMD12 PSMD13 ANAPC15 FZR1 PSME1 PTTG1 PSMC4 PSMC3 PSMD7 PSMB7 PSMD3 PSMA6 BUB3 PSMC2 PSMB8 PSMD11 PSMB3 PSMD5 PSMD10 PSMD1 PSMD6 PSMC1 PSMB1
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.699843612096062	0.918263124600947	-0.286530047689148	-0.832855001962327	45197	18	ANAPC16 CDC26
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.00295592307116665	0.0412259713288376	0.384053051959066	1.68674434584743	78	60	UBA52 PSMB4 PSMA3 RPS27A PSMA4 PSMB6 PSMD12 PSMD13 ANAPC15 PSME1 PTTG1 PSMC4 PSMC3 PSMD7 PSMB7 PSMD3 PSMA6 PSMC2 PSMB8 PSMD11 PSMB3 PSMD5 PSMD10 PSMD1 PSMD6 PSMC1 PSMB1 PSMD8
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.00166635106987313	0.0260016761001985	0.389645073995963	1.72183856953009	43	62	UBA52 PSMB4 PSMA3 RPS27A PSMA4 PSMB6 PSMD12 PSMD13 ANAPC15 PSME1 PTTG1 PSMC4 PSMC3 PSMD7 PSMB7 PSMD3 PSMA6 BUB3 PSMC2 PSMB8 PSMD11 PSMB3 PSMD5 PSMD10 PSMD1 PSMD6 PSMC1 PSMB1 PSMD8
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.00151486460897557	0.0242378337436092	0.3930494407164	1.73688243974756	39	62	UBA52 PSMB4 PSMA3 RPS27A PSMA4 PSMB6 PSMD12 PSMD13 ANAPC15 FZR1 PSME1 PTTG1 PSMC4 PSMC3 PSMD7 PSMB7 PSMD3 PSMA6 PSMC2 PSMB8 PSMD11 PSMB3 PSMD5 PSMD10 PSMD1 PSMD6 PSMC1 PSMB1 PSMD8
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.00305073255244624	0.0418083000230893	0.380504913204848	1.676507626285	80	61	UBA52 PSMB4 PSMA3 RPS27A PSMA4 PSMB6 PSMD12 PSMD13 ANAPC15 PSME1 PSMC4 PSMC3 PSMD7 PSMB7 PSMD3 PSMA6 BUB3 PSMC2 PSMB8 PSMD11 PSMB3 PSMD5 PSMD10 PSMD1 PSMD6 PSMC1 PSMB1 PSMD8
"reactome_ATF4 activates genes"	0.809417566932832	0.949378343026532	0.226578483615533	0.77737757128637	27571	22	EXOSC6 EXOSC8 DDIT3 EXOSC7 EXOSC9
