pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.275866241781292	0.640799443395289	0.282238203907503	1.11030709913062	13677	52	PSMB4 SEL1L PSME4 UBA52 DERL1 PSMD11 PSMB7 PSMD12 PSMB8 PSMA5 PSMA4 PSMC4 PSMD13
"reactome_ABC-family proteins mediated transport"	0.225724586597917	0.604850184955823	0.278248408130805	1.14227580146774	11206	64	ABCC1 PSMB4 SEL1L PSME4 EIF2S3 UBA52 DERL1 PSMD11 PSMB7 PSMD12 PSMB8 PSMA5 PSMA4 PSMC4 PSMD13
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.465695044728113	0.770933839019387	-0.322541106717433	-0.990682415163866	23165	19	ANAPC16 ANAPC4 CDC16 UBB UBE2D1 ANAPC11
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.812276039779361	0.923315733427226	0.198653946474217	0.820182540881094	40348	66	PSMB4 FZR1 PSME4 CDC27 UBA52 PSMD11 PSMB7 PSMD12 ANAPC7 PSMB8 PSMA5 PSMA4 PSMC4 PSMD13
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.432567673479231	0.74862148024074	-0.33481881224597	-1.01393293045222	21524	18	ANAPC16 ANAPC4 CDC16 UBB UBE2D1 ANAPC11
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.773179242048365	0.906982615149298	0.206388193749951	0.836431674941822	38334	60	PSMB4 PSME4 CDC27 UBA52 PSMD11 PSMB7 PSMD12 ANAPC7 PSMB8 PSMA5 PSMA4 PSMC4 PSMD13 PSMA1 CDC23 RPS27A PSMD5 PSMB6 ANAPC15 PSMA7
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.796613237334835	0.916218772864953	0.202461962847814	0.82379007188287	39609	61	PSMB4 PSME4 CDC27 UBA52 PSMD11 PSMB7 PSMD12 ANAPC7 PSMB8 PSMA5 PSMA4 PSMC4 PSMD13 PSMA1 CDC23 RPS27A PSMD5 PSMB6 ANAPC15 PSMA7
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.552822637411258	0.813244086480211	0.232914279559847	0.947696389002112	27487	61	PSMB4 FZR1 PSME4 CDC27 UBA52 PSMD11 PSMB7 PSMD12 ANAPC7 PSMB8 PSMA5 PSMA4 PSMC4 PSMD13 PSMA1 CDC23 RPS27A PSMD5 PSMB6 ANAPC15 PSMA7
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.793247413323652	0.915309738952381	0.203543268380593	0.824902014991119	39329	60	PSMB4 PSME4 CDC27 UBA52 PSMD11 PSMB7 PSMD12 ANAPC7 PSMB8 PSMA5 PSMA4 PSMC4 PSMD13 PSMA1 CDC23 RPS27A PSMD5 PSMB6 ANAPC15 PSMA7
"reactome_ATF4 activates genes"	0.704402765636176	0.878837844314782	0.282006368420547	0.827792934912947	35453	16	EXOSC9 EXOSC1 DCP2 EXOSC8 EXOSC3 EXOSC7
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0554749526457905	0.343992120893342	0.355411375713698	1.38695814540745	2752	50	HNRNPD PSMB4 HSPA8 PSME4 UBA52 PSMD11 PSMB7 PSMD12 PSMB8 HSPA1A PSMA5 PSMA4 PSMC4 PABPC1 PSMD13
