pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.44690637403689	0.726287290678175	0.285352280258579	1.00212212700412	19140	27	PSMB8 DERL2 PSMB6 PSMD3 RPS27A UBC PSMB4 PSMC6 UBA52
"reactome_ABC-family proteins mediated transport"	0.360693696247992	0.692952591409007	0.290782583280871	1.05706125938507	15265	31	PSMB8 DERL2 PSMB6 PSMD3 RPS27A EIF2S1 UBC PSMB4 PSMC6 UBA52
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.344781695073547	0.692952591409007	0.305508462619879	1.07290816145208	14766	27	PSMB8 ANAPC5 PSMB6 PSMD3 RPS27A UBC PSMB4 PSMC6 UBA52
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.22385010100072	0.601999923640094	0.34260479027651	1.17797958782497	9640	25	PSMB8 ANAPC5 PSMB6 PSMD3 RPS27A UBC PSMB4 PSMC6 UBA52
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.339410711378805	0.692952591409007	0.309905752064404	1.07704395195188	14594	26	PSMB8 ANAPC5 PSMB6 PSMD3 RPS27A UBC PSMB4 PSMC6 UBA52
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.22385010100072	0.601999923640094	0.34260479027651	1.17797958782497	9640	25	PSMB8 ANAPC5 PSMB6 PSMD3 RPS27A UBC PSMB4 PSMC6 UBA52
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.339410711378805	0.692952591409007	0.309905752064404	1.07704395195188	14594	26	PSMB8 ANAPC5 PSMB6 PSMD3 RPS27A UBC PSMB4 PSMC6 UBA52
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.51597011440579	0.757293636664332	0.273097599413801	0.959085194470068	22098	27	PSMB8 PSMB6 PSMD3 RPS27A UBC PSMB4 PSMC6 UBA52
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.339410711378805	0.692952591409007	0.309905752064404	1.07704395195188	14594	26	PSMB8 ANAPC5 PSMB6 PSMD3 RPS27A UBC PSMB4 PSMC6 UBA52
"reactome_Activation of HOX genes during differentiation"	0.982701323896603	0.996495298154155	-0.18046121418889	-0.533201769482309	54705	17	POLR2L
"reactome_Activation of NF-kappaB in B cells"	0.581490939620793	0.792046319649317	-0.275591371714303	-0.917909401411097	33244	27	NFKBIA PSMD4 PSMB10 PSMD6 PSMA4 PSMD2 RELA PSMF1 PSMA1
