pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.679455941769731	0.935052088349546	0.211599810431491	0.890805871332465	22029	55	PSMC6 PSMB5 UBA52 SEL1L RPS27A DERL1 UBC RNF185 PSMD12 PSMC1 PSMD13 ERLIN1 PSMB3 PSMA4 PSMB1 DERL2 PSMD1 PSMB7 PSMA7 PSMD11
"reactome_ABC-family proteins mediated transport"	0.265499587118084	0.753425690039883	0.247522976322995	1.09709761922132	8037	71	ABCD3 ABCA7 PSMC6 ABCF1 PSMB5 UBA52 SEL1L RPS27A DERL1 UBC RNF185 PSMD12 PSMC1 EIF2S2 PSMD13 ERLIN1 PSMB3 PSMA4 PSMB1 EIF2S3 DERL2 PSMD1 PSMB7 ABCG1 PSMA7 PSMD11
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.111670988046899	0.581233874370934	-0.448599565532372	-1.34698393741556	6847	20	ANAPC16 UBE2E1 ANAPC7 CDC26 UBB CDC16 ANAPC11 ANAPC5 ANAPC4
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.632233671024908	0.917315990193046	-0.232345271525413	-0.906931919332733	43809	67	ANAPC16 PSMD9 UBE2E1 ANAPC7 PSMD10 PSMF1 CDC26 CDC14A UBB CDC16 ANAPC11 ANAPC5 PSMC5
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.103478875322498	0.562827356237903	-0.468363684274057	-1.36822945288406	6296	18	ANAPC16 UBE2E1 ANAPC7 CDC26 UBB CDC16 ANAPC11 ANAPC5 ANAPC4
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.536247771054401	0.896499474622684	-0.249800324796848	-0.955877075702769	36688	60	ANAPC16 PSMD9 UBE2E1 ANAPC7 PSMD10 PSMF1 CDC26 UBB CDC16 ANAPC11 ANAPC5 PSMC5 ANAPC4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.570962669617378	0.896710610058186	-0.243385836512252	-0.937111269027718	39215	62	ANAPC16 PSMD9 UBE2E1 ANAPC7 PSMD10 PSMF1 CDC26 UBB CDC16 ANAPC11 ANAPC5 PSMC5 ANAPC4
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.559669281693838	0.896710610058186	-0.245663457990652	-0.943176334384597	38380	61	ANAPC16 PSMD9 UBE2E1 ANAPC7 PSMD10 PSMF1 CDC26 UBB CDC16 ANAPC11 ANAPC5 PSMC5 ANAPC4
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.5312928344367	0.896499474622684	-0.249761804899108	-0.95891112801557	36434	61	ANAPC16 PSMD9 UBE2E1 ANAPC7 PSMD10 PSMF1 CDC26 UBB CDC16 ANAPC11 ANAPC5 PSMC5 ANAPC4
"reactome_ATF4 activates genes"	0.0942820639845644	0.546303647705482	0.411547672985261	1.36678405097039	3615	21	ATF3 IL8 EXOSC7
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.296316457993105	0.782214170941296	0.264082096458297	1.08807561835433	9797	50	HSPA1A PSMC6 PSMB5 UBA52 RPS27A UBC PSMD12 PSMC1 PSMD13 PABPC1 PSMB3 PSMA4 PSMB1 HSPA8 PSMD1 PSMB7 PSMA7 PSMD11
"reactome_AURKA Activation by TPX2"	0.960789861655076	0.993413900698536	-0.177202829398098	-0.65944278750165	64517	52	CKAP5 ODF2 CNTRL ALMS1 CEP192 SSNA1 CEP290 CEP78 DCTN1 CEP152 CEP250 CSNK1E SDCCAG8
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.94353714661407	0.993413900698536	0.192661763279145	0.647640096837276	35877	22	NCBP2 POLR2B POLR2A GTF2F2 SUPT4H1
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.791103150214451	0.956359474620202	-0.262256556214409	-0.766129306076889	48140	18	PSENEN MIB2 MIB1 UBB
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.948071241382764	0.993413900698536	-0.216119941798435	-0.601709968953247	56797	15	KDM4C HIST1H2BN H2AFV H2AFX HIST1H2AC H2AFJ KDM1A PKN1 HIST1H2BC
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.570962669617378	0.896710610058186	-0.243385836512252	-0.937111269027718	39215	62	ANAPC16 PSMD9 UBE2E1 ANAPC7 PSMD10 PSMF1 CDC26 UBB CDC16 ANAPC11 ANAPC5 PSMC5 ANAPC4
"reactome_Activation of ATR in response to replication stress"	0.57339906511022	0.897715875831269	0.288330177244721	0.917138137945769	22447	18	MCM6 RFC2 RAD1 RPA3 RPA1
"reactome_Activation of BH3-only proteins"	0.480898263186619	0.875938446537135	-0.31625547058176	-0.984263791950884	29958	23	BCL2 BCL2L11 YWHAB PPP3CC YWHAH DYNLL2 BAD TFDP2 TFDP1 YWHAE AKT3 TP53BP2
"reactome_Activation of HOX genes during differentiation"	0.980000608809473	0.995878951903726	0.157961642553203	0.656781865618821	32193	52	RARA H2AFZ ZNF335 H3F3A POLR2B POLR2A KMT2C MAFB RXRA WDR5 HIST1H3A
"reactome_Activation of NF-kappaB in B cells"	0.722619579794367	0.94259107573737	0.20308990108728	0.876357603724106	22630	62	RELA REL PSMC6 PSMB5 BTRC UBA52 RPS27A UBC PSMD12 PSMC1 PSMD13 PSMB3 PSMA4 PSMB1 NFKBIA NFKB1 PSMD1 PSMB7 PSMA7 PSMD11 MAP3K7
"reactome_Activation of NMDA receptors and postsynaptic events"	0.575592638802246	0.898766847222434	-0.274923636904632	-0.923809485315226	36906	32	DLG1 MAPK1 CAMK2D CAMK2G PRKAG1 PPM1F
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.980000608809473	0.995878951903726	0.157961642553203	0.656781865618821	32193	52	RARA H2AFZ ZNF335 H3F3A POLR2B POLR2A KMT2C MAFB RXRA WDR5 HIST1H3A
"reactome_Activation of gene expression by SREBF (SREBP)"	0.881665254370273	0.980143646972369	-0.216168943628364	-0.716221418242356	56184	30	SP1 PMVK CHD9 HMGCR
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	3.12197558615092e-05	0.00361780761536636	0.599435912525902	2.54305894670892	0	57	EIF3L RPS16 RPS24 RPS8 EIF3H EIF3K RPS2 RPS14 RPS23 RPS7 RPS4X EIF4A1 RPS28 RPS6 RPS9 RPS15A RPS20 RPS11 RPS19 RPS3A RPS5 RPS27A RPS3 EIF3F RPS13 RPS29 RPS21 EIF3D EIF2S2 EIF3M RPS25 PABPC1 RPS27L RPSA EIF2S3 RPS18 FAU EIF3J RPS12 EIF3A
"reactome_Activation of the pre-replicative complex"	0.562815309023384	0.896710610058186	-0.317432534973678	-0.92731473049157	34248	18	PRIM2 RPA2 PRIM1 MCM7 ORC3 ORC2
