pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.869128985556042	0.993111292719893	-0.211439016751907	-0.746411197510472	51627	39	PSMC4 PSMB2 PSMF1 PSMC1 PSMB9 PSMD9
"reactome_ABC-family proteins mediated transport"	0.646061814556331	0.986448609927949	0.232941338322189	0.896740112201433	25919	43	PSMB4 RPS27A EIF2S2 PSMA4 EIF2S3 SEL1L PSMA7 PSMA3 PSMB8 PSMD2 PSMB1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.625831689458023	0.986448609927949	-0.250610051444007	-0.899417546624242	37435	42	PSMC4 PSMB2 ANAPC11 PSMF1 PSMC1 PSMB9 PSMD9
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.541867277196054	0.980960959577082	-0.268137788481504	-0.946566300169309	32187	39	PSMC4 PSMB2 ANAPC11 PSMF1 PSMC1 PSMB9 PSMD9
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.575319678053535	0.980960959577082	-0.261416675551523	-0.928194676199392	34238	40	PSMC4 PSMB2 ANAPC11 PSMF1 PSMC1 PSMB9 PSMD9
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.541867277196054	0.980960959577082	-0.268137788481504	-0.946566300169309	32187	39	PSMC4 PSMB2 ANAPC11 PSMF1 PSMC1 PSMB9 PSMD9
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.575319678053535	0.980960959577082	-0.261416675551523	-0.928194676199392	34238	40	PSMC4 PSMB2 ANAPC11 PSMF1 PSMC1 PSMB9 PSMD9
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.897669416766085	0.998206756400712	-0.203482010340546	-0.722489941783456	53422	40	PSMC4 PSMB2 PSMF1 PSMC1 PSMB9 PSMD9
"reactome_AURKA Activation by TPX2"	0.601760655451931	0.986448609927949	-0.289674610659078	-0.903358807527728	34519	23	OFD1 PAFAH1B1 HAUS2 CSNK1D HAUS3
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.575319678053535	0.980960959577082	-0.261416675551523	-0.928194676199392	34238	40	PSMC4 PSMB2 ANAPC11 PSMF1 PSMC1 PSMB9 PSMD9
"reactome_Activation of HOX genes during differentiation"	0.170968651927078	0.793312125265747	-0.424479518034066	-1.26039041733977	9696	19	POLR2E CREBBP POLR2L H3F3A
"reactome_Activation of NF-kappaB in B cells"	0.912735297067772	0.998982174167208	-0.198554492556199	-0.712594700560198	54597	42	PSMC4 PSMB2 PSMF1 PSMC1 PSMB9 PSMD9
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.170968651927078	0.793312125265747	-0.424479518034066	-1.26039041733977	9696	19	POLR2E CREBBP POLR2L H3F3A
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	2.56022939655393e-05	0.00102845193767752	0.687933599076512	2.76826058774607	0	53	RPS8 RPS10 RPS2 RPS28 EIF3M RPS14 RPS6 RPS3A RPS4X RPS15A RPS3 RPS5 EIF3E RPS23 RPS15 RPS13 RPS27A EIF2S2 RPSA RPS25 RPS16 RPS19 RPS7 RPS12 EIF3K EIF2S3 RPS21 EIF3F EIF3A RPS27 FAU RPS26 RPS20 PABPC1
"reactome_Adaptive Immune System"	0.6841254766326	0.986448609927949	-0.194653081979003	-0.915175526890513	48262	222	PSMC4 TYROBP CUL5 HERC5 SH3KBP1 VASP MAP3K8 FKBP1A PSMB2 CAPZA1 ANAPC11 UBE2J1 FBXW5 FBXL3 PPP2R5C PSMF1 PTPRC PSMC1 RNF130 UBE2N ITGA4 RAC1 KLRD1 HCST CD99 RAB7A STUB1 HLA-B FBXO32 PSMB9 PSMD9 UBE2K UBE2A PJA2 CBLB FBXO9 WAS MYLIP RNF19A RNF213 PPP2R5E PILRB AP2S1 THEM4 ITK ITGB1 CYBA FYB ARIH2 PSMB7 FCGR3A ARF1 UBE2L3 TPP2 RASGRP2 PIK3R1 FBXL5 RNF126
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.570979579653398	0.980960959577082	-0.302390575057374	-0.921239138189745	32518	21	NDEL1 PAFAH1B1 PPP2R5C CENPC
"reactome_Amplification of signal from the kinetochores"	0.570979579653398	0.980960959577082	-0.302390575057374	-0.921239138189745	32518	21	NDEL1 PAFAH1B1 PPP2R5C CENPC
"reactome_Amyloid fiber formation"	0.67069177241097	0.986448609927949	0.29091877815831	0.850977458825016	29492	15	RPS27A APH1A H2AFZ USP9X TSPAN14 UBA52 ITM2B
"reactome_Anchoring of the basal body to the plasma membrane"	0.627104245765503	0.986448609927949	-0.279217619071605	-0.889134370558855	36171	25	OFD1 PAFAH1B1 HAUS2 CSNK1D HAUS3
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.958339018510938	0.999120526225522	0.202242424689909	0.591586922366265	42141	15	ERAP2 SEC23A SEC31A PDIA3 CALR
"reactome_Antigen processing-Cross presentation"	0.902800604825455	0.998206756400712	-0.195860315989566	-0.734267118508944	54929	52	PSMC4 PSMB2 PSMF1 PSMC1 HLA-B PSMB9 PSMD9
"reactome_Antigen processing: Ubiquitination & Proteasome degradation"	0.48472734087076	0.980960959577082	-0.235314172609095	-0.985242985352372	31039	96	PSMC4 CUL5 HERC5 PSMB2 ANAPC11 UBE2J1 FBXW5 FBXL3 PSMF1 PSMC1 RNF130 UBE2N STUB1 FBXO32 PSMB9 PSMD9 UBE2K UBE2A PJA2 CBLB FBXO9 MYLIP RNF19A RNF213
"reactome_Antiviral mechanism by IFN-stimulated genes"	0.667942191397041	0.986448609927949	-0.257632981355013	-0.869748626982749	39099	32	HERC5 MX2 ISG15 EIF4E UBE2N EIF4E2
reactome_Apoptosis	0.27766112616006	0.885821317996659	-0.278639166928196	-1.10887760679071	17322	71	PSMC4 CTNNB1 HIST1H1E TP53BP2 PSMB2 PSMF1 LMNA PSMC1 BCL2 PPP3CC CASP8 DBNL PSMB9 PSMD9 OPA1 PMAIP1 HMGB2
"reactome_Apoptotic execution phase"	0.147105128159771	0.745856057102208	-0.443267692987713	-1.29690739082759	8315	18	CTNNB1 HIST1H1E LMNA CASP8 DBNL HMGB2
"reactome_Asparagine N-linked glycosylation"	0.243828875307564	0.877022254505962	-0.278276197163337	-1.12887997126308	15359	79	AREG COG3 CAPZA1 MIA3 TRAPPC4 LMAN2 PSMC1 ST3GAL1 RPN1 UAP1 CSNK1D DDOST RAB1B NGLY1 PRKCSH MARCH6 TRAPPC3 RPN2
"reactome_Assembly of the pre-replicative complex"	0.786089749007014	0.986448609927949	-0.230971270036461	-0.801047253520657	46508	36	PSMC4 PSMB2 PSMF1 PSMC1 PSMB9 PSMD9
"reactome_Association of TriC/CCT with target proteins during biosynthesis"	0.625315645339119	0.986448609927949	-0.31096741133877	-0.881303529156275	35163	16	CCT7 FBXW5 FBXL3
"reactome_Asymmetric localization of PCP proteins"	0.786089749007014	0.986448609927949	-0.230971270036461	-0.801047253520657	46508	36	PSMC4 PSMB2 PSMF1 PSMC1 PSMB9 PSMD9
"reactome_Autodegradation of Cdh1 by Cdh1:APC/C"	0.541867277196054	0.980960959577082	-0.268137788481504	-0.946566300169309	32187	39	PSMC4 PSMB2 ANAPC11 PSMF1 PSMC1 PSMB9 PSMD9
"reactome_Autodegradation of the E3 ubiquitin ligase COP1"	0.786089749007014	0.986448609927949	-0.230971270036461	-0.801047253520657	46508	36	PSMC4 PSMB2 PSMF1 PSMC1 PSMB9 PSMD9
"reactome_Axon guidance"	3.24822971480543e-05	0.00102845193767752	0.41068913530288	2.06234122646345	0	193	RPS8 RPS10 PSMB4 RPS2 RPL19 RPL21 KRAS RPS28 RPS14 RPS6 RPS3A RPS4X RPS15A RPS3 RPS5 RPL12 RPL7 RPS23 RPS15 RPL23 RPLP2 RPL34 RPL5 RPL3 RPS13 RPS27A APH1A RPL24 RPL13A RPL18 RPL14 RPL9 MYH9 RPL13 RPSA RPL28 RPS25 RPL26 RPS16 RPS19 RPL10A RPS7 RPL35A RPL18A PSMA4 RPL39 RPL30 RPL22 RPL38 NCK1 RPL6 RPS12 RPL10 RPL37 RPL7A RPL32 RPL15 RPLP0 RPS21 PAK2 RPL4 RPL23A EIF4A3 PSMA7 RNPS1 RPS27 FAU HSPA8 RPLP1 RPL29 RPS26 RPS20 RPL27 RPL27A PSMA3 RPL37A PABPC1 PSMB8 RPL36AL
"reactome_B-WICH complex positively regulates rRNA expression"	0.179357683963439	0.803458079488003	-0.444232505953264	-1.25898618629217	10085	16	POLR2E POLR2L H3F3A POLR1D DEK
"reactome_Beta-catenin independent WNT signaling"	0.198113979797318	0.820173700766421	-0.312032027099272	-1.18294561266449	12100	55	PSMC4 CTNNB1 PFN1 PSMB2 RHOA PSMF1 CLTB PSMC1 RAC1 PSMB9 PSMD9 RAC2 AP2S1
"reactome_Biological oxidations"	0.097327130247121	0.622122672813255	-0.471734994887004	-1.38019668714708	5501	18	NCOA2 GSTP1 AKR1A1 TRMT112 MGST3
"reactome_C-type lectin receptors (CLRs)"	0.763360890509048	0.986448609927949	-0.216354694276023	-0.836324412001485	46906	61	PSMC4 CREBBP PSMB2 PSMF1 FCER1G PSMC1 UBE2N CASP8 PSMB9 PSMD9
