pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.428339932173942	0.621516491807576	-0.258890879015877	-1.01567446993799	25639	56	ERLIN1 PSMD4 PSMB2 PSMC5 PSMB8 PSMD9 PSMD1 PSMB4 PSMC6 PSMA5 PSMC4 OS9 PSME3 PSMA4 PSMB9 PSMD10
"reactome_ABC-family proteins mediated transport"	0.144017822041672	0.316024347505957	-0.293263794902327	-1.21912612791697	8791	76	ERLIN1 PSMD4 ABCC10 PSMB2 EIF2S2 PSMC5 PSMB8 PSMD9 EIF2S1 PSMD1 PEX19 PSMB4 PSMC6 PSMA5 PSMC4 OS9 ABCB10 PSME3 PSMA4 ABCC3 ABCC6 ABCA7 PSMB9 PSMD10 ABCA2
"reactome_ADP signalling through P2Y purinoceptor 1"	0.0977055883689232	0.247068419064719	0.458239648433199	1.38604601966187	4300	16	GNG2 SRC GNA15 GNG11 GNG5 GNB1 GNG7
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.127800009199209	0.294187376014695	0.414461905476019	1.31774809611502	5556	19	UBC CDC27 UBA52 UBE2E1 RPS27A UBB ANAPC10
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.453860360806042	0.639952513009301	-0.245036630227763	-1.00050749410006	27522	69	ANAPC5 PSMD4 PSMB2 CDK2 PSMC5 PSMB8 PSMD9 PSMD1 ANAPC11 PSMB4 PSMC6 PSMA5 PSMC4 CDC26 PSME3 PSMA4 BTRC PSMB9 PSMD10
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.142185852473296	0.313918680728763	0.414604577203181	1.29755360067706	6202	18	UBC CDC27 UBA52 UBE2E1 RPS27A UBB ANAPC10
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.483990557254954	0.659365524354974	-0.247419015156072	-0.983405762416638	29112	60	ANAPC5 PSMD4 PSMB2 PSMC5 PSMB8 PSMD9 PSMD1 ANAPC11 PSMB4 PSMC6 PSMA5 PSMC4 CDC26 PSME3 PSMA4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.477349021171935	0.657176956311267	-0.247366525165564	-0.986462124239455	28723	61	ANAPC5 PSMD4 PSMB2 PSMC5 PSMB8 PSMD9 PSMD1 ANAPC11 PSMB4 PSMC6 PSMA5 PSMC4 CDC26 PSME3 PSMA4
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.604151112438405	0.748959286927105	-0.229639792803978	-0.921357348836822	36413	63	ANAPC5 PSMD4 PSMB2 PSMC5 PSMB8 PSMD9 PSMD1 ANAPC11 PSMB4 PSMC6 PSMA5 PSMC4 CDC26 PSME3 PSMA4
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.468729219311079	0.652781363974211	-0.249569957333984	-0.991955020164875	28194	60	ANAPC5 PSMD4 PSMB2 PSMC5 PSMB8 PSMD9 PSMD1 ANAPC11 PSMB4 PSMC6 PSMA5 PSMC4 CDC26 PSME3 PSMA4 PSMB9 PSMD10 ANAPC7 PSMC3 PSMD3 UBE2D1
"reactome_ATF4 activates genes"	0.378861261094246	0.575168669123259	0.313503148164114	1.04878623715	16348	23	ATF3 IL8 CCL2 HERPUD1
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.593695802252943	0.741703999453256	-0.240601732021473	-0.921547712515391	35258	50	PSMD4 PSMB2 PSMC5 PSMB8 PSMD9 PSMD1 PSMB4 PSMC6 PSMA5 PSMC4 PSME3 PSMA4 PSMB9 PSMD10
"reactome_AURKA Activation by TPX2"	0.138499135523341	0.309475425813036	-0.311620442394742	-1.23858442547152	8330	60	DYNLL1 CEP41 CKAP5 SSNA1 DCTN1 CNTRL PRKAR2B CEP290 CEP164 CEP192 SDCCAG8 CEP63 TUBG1 YWHAE CLASP1 DYNC1I2 CEP152 HSP90AA1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.862433397225104	0.915005162444	-0.228801417506937	-0.721775899489074	49043	22	POLR2F NELFB POLR2K NCBP2 NCBP1 NELFCD POLR2H
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.00477570418453692	0.0296696549587776	0.546488781337035	1.80577398493274	205	22	NOTCH1 UBC PSEN1 UBA52 RPS27A UBB NUMB ITCH DTX2 JAG1 ARRB2 APH1A PSEN2 ARRB1
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.0128273177636235	0.0618484726764982	-0.550962685332396	-1.67246440921988	724	19	H2AFJ H2AFZ HIST1H2BK HIST1H2AC KDM1A HIST1H2BN HIST2H2BE HIST1H2BD HIST2H2AA3
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.477349021171935	0.657176956311267	-0.247366525165564	-0.986462124239455	28723	61	ANAPC5 PSMD4 PSMB2 PSMC5 PSMB8 PSMD9 PSMD1 ANAPC11 PSMB4 PSMC6 PSMA5 PSMC4 CDC26 PSME3 PSMA4
"reactome_Activation of ATR in response to replication stress"	0.111347605059016	0.268983246344326	-0.4190419252994	-1.33664008426613	6329	23	CDK2 RPA3 MCM4 ORC3 RFC2 MCM3 MCM6 ORC4 RAD17 ORC5
"reactome_Activation of BH3-only proteins"	0.134300551920076	0.304050995717533	0.381774837769699	1.29160175513745	5766	24	YWHAZ MAPK8 BMF BID PPP3CC BAD BCL2 PMAIP1 YWHAQ
"reactome_Activation of E2F1 target genes at G1/S"	0.378985857934075	0.575168669123259	-0.374092504983218	-1.06262086611566	21143	15	RBL1 DHFR PCNA RBL2 TK1 RBBP4 POLA1 E2F4 HDAC1
"reactome_Activation of HOX genes during differentiation"	0.770797313472536	0.854407706410277	-0.209567727815914	-0.832959871822019	46364	60	H2AFJ POLR2F H2AFZ HIST1H2BK CNOT6 HIST1H2AC HOXB2 HIST1H2BN WDR5 HIST2H2BE HIST1H2BD HIST2H2AA3 ASH2L NCOA6 POLR2K PAXIP1 PAGR1 EED SUZ12 POLR2H
"reactome_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	0.0127214902317129	0.061504440578254	0.565953344785664	1.71184964796612	559	16	UBC TRAF3 TANK UBA52 RPS27A TICAM2 UBB TBK1
"reactome_Activation of NF-kappaB in B cells"	0.28161092698604	0.482002688247391	0.260190971131311	1.09709805473496	11215	61	NFKB1 NFKBIA REL UBC PSMD12 MALT1 RELA UBA52 RPS27A
"reactome_Activation of NMDA receptors and postsynaptic events"	0.502438435538387	0.675471114544448	0.253817494290542	0.968897039192941	20810	39	SRC CAMKK1 NRG1 NRAS PDPK1 RAC1 MAPK1 KPNA2
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.770797313472536	0.854407706410277	-0.209567727815914	-0.832959871822019	46364	60	H2AFJ POLR2F H2AFZ HIST1H2BK CNOT6 HIST1H2AC HOXB2 HIST1H2BN WDR5 HIST2H2BE HIST1H2BD HIST2H2AA3 ASH2L NCOA6 POLR2K PAXIP1 PAGR1 EED SUZ12 POLR2H
"reactome_Activation of gene expression by SREBF (SREBP)"	0.94789956542733	0.967478630087534	0.17851857834329	0.681458630269806	39261	39	TBL1XR1 RXRA HMGCS1 SQLE FDFT1 TBL1X MED1 HMGCR IDI1 SMARCD3 CREBBP SREBF2 MVK NFYC MVD PPARA SREBF1 CYP51A1
"reactome_Activation of kainate receptors upon glutamate binding"	0.245798556920224	0.445561055067193	0.396702340496954	1.17672365438141	10866	15	GNG2 PLCB3 GNG11 GNG5 GNB1 GNG7
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	2.49308169828725e-05	0.000740946559229416	0.640129743720543	2.66362407494333	0	57	EIF4E RPS16 FAU RPS4X EIF3H RPS23 RPS8 RPS12 RPS28 RPS25 RPS24 RPS5 EIF3F EIF3D RPS11 RPS14 RPS15A RPS3A RPS13 RPS27 PABPC1 RPS27A EIF3L RPS6 EIF3E EIF3I RPS7 RPSA RPS3 RPS10 RPS29 EIF4H RPS20 EIF2S3 RPS21 EIF4B RPS2 RPS18 RPS9 EIF3G
"reactome_Activation of the pre-replicative complex"	0.035204951905323	0.125862994386966	-0.484625963549011	-1.5287988359851	2001	22	CDK2 PRIM1 POLA2 RPA3 MCM4 ORC3 MCM3 MCM6 ORC4 ORC5 GMNN PRIM2 POLE RPA1 POLA1
"reactome_Amino acid transport across the plasma membrane"	0.317171439690497	0.517215583553791	0.358898482021667	1.10396615817291	13854	17	SLC43A2 SLC7A1 SLC7A5 SLC25A29 SLC6A6 SLC3A2 SLC38A5
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.509313570728303	0.679846921196627	-0.242490057691134	-0.96999455849116	30650	62	DYNLL1 CKAP5 NSL1 PPP2R5A CENPO PPP2R5B NUP85 PPP2R5E CENPT MAD1L1 CLASP1 XPO1 DYNC1I2 CENPK KNTC1 CENPC NUP160 ZWILCH PPP2R5D PPP2R1B ITGB3BP CENPU DYNLL2 NUP133 RANGAP1 MIS12 SKA2
"reactome_Amplification of signal from the kinetochores"	0.509313570728303	0.679846921196627	-0.242490057691134	-0.96999455849116	30650	62	DYNLL1 CKAP5 NSL1 PPP2R5A CENPO PPP2R5B NUP85 PPP2R5E CENPT MAD1L1 CLASP1 XPO1 DYNC1I2 CENPK KNTC1 CENPC NUP160 ZWILCH PPP2R5D PPP2R1B ITGB3BP CENPU DYNLL2 NUP133 RANGAP1 MIS12 SKA2
"reactome_Amyloid fiber formation"	0.22683713821296	0.421758681158854	0.295837822897717	1.15110427523314	9349	42	TGFBI UBC GGA2 H3F3A UBA52 RPS27A ITM2B GGA1 SORL1 UBB H2AFX GGA3 LYZ CST3 TSPAN33
