pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0446565250669728	0.315087241245079	-0.408356420601143	-1.45994943540856	1866	32	PSMA1 PSMB7 UBA52 PSMA6 PSMC5 PSMA4 PSMB9 UBC PSMB3 DERL2 PSMB8
"reactome_ABC-family proteins mediated transport"	0.0386038243489959	0.296364321043521	-0.405561982860503	-1.47245930363728	1606	34	PSMA1 PSMB7 UBA52 PSMA6 PSMC5 PSMA4 PSMB9 UBC PSMB3 DERL2 PSMB8
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.00588362952424586	0.144368461759107	-0.46323996134444	-1.70459082078845	243	36	ANAPC16 PSMA1 ANAPC11 PSMB7 UBA52 PSMA6 PSMC5 PSMA4 SKP1 PSMB9 UBC PSMB3 PSMB8
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.00987048004237084	0.160683018126784	-0.45215530209784	-1.65303987519711	409	35	ANAPC16 PSMA1 ANAPC11 PSMB7 UBA52 PSMA6 PSMC5 PSMA4 PSMB9 UBC PSMB3 PSMB8
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.00987048004237084	0.160683018126784	-0.45215530209784	-1.65303987519711	409	35	ANAPC16 PSMA1 ANAPC11 PSMB7 UBA52 PSMA6 PSMC5 PSMA4 PSMB9 UBC PSMB3 PSMB8
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.00987048004237084	0.160683018126784	-0.45215530209784	-1.65303987519711	409	35	ANAPC16 PSMA1 ANAPC11 PSMB7 UBA52 PSMA6 PSMC5 PSMA4 PSMB9 UBC PSMB3 PSMB8
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.00987048004237084	0.160683018126784	-0.45215530209784	-1.65303987519711	409	35	ANAPC16 PSMA1 ANAPC11 PSMB7 UBA52 PSMA6 PSMC5 PSMA4 PSMB9 UBC PSMB3 PSMB8
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0393465365480291	0.298090811451428	-0.413603417472831	-1.47870841588237	1644	32	PSMA1 PSMB7 UBA52 PSMA6 PSMC5 PSMA4 HNRNPD PSMB9 UBC PSMB3 PSMB8 HSPA8 PSMD11
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.00987048004237084	0.160683018126784	-0.45215530209784	-1.65303987519711	409	35	ANAPC16 PSMA1 ANAPC11 PSMB7 UBA52 PSMA6 PSMC5 PSMA4 PSMB9 UBC PSMB3 PSMB8
"reactome_Activation of HOX genes during differentiation"	0.373795658136097	0.682449310272695	0.361478034879068	1.06236738323133	20988	18	KMT2C NCOA3 JUN POLR2J RARA H2AFZ
"reactome_Activation of NF-kappaB in B cells"	0.0148928006139383	0.198407602025606	-0.445643703940987	-1.60620688255266	620	33	NFKBIA PSMA1 PSMB7 UBA52 PSMA6 PSMC5 PSMA4 SKP1 PSMB9 PRKCB UBC PSMB3 PSMB8
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.373795658136097	0.682449310272695	0.361478034879068	1.06236738323133	20988	18	KMT2C NCOA3 JUN POLR2J RARA H2AFZ
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.0108538350217077	0.169940045482737	-0.395064838591945	-1.58049705422035	434	52	EIF3L RPSA RPS11 EIF3K EIF4E EIF3G RPS7 RPS10 RPS3 EIF3D RPS3A EIF3E RPS9 RPS27 RPS25 RPS15 RPS20 EIF3M RPS13 RPS14
"reactome_Adaptive Immune System"	0.42401383464027	0.715428113730124	0.220795105008045	1.01455572874644	28441	177	HLA-DRB1 WSB1 HSPA5 CD300C CD74 CSK UBE2B CD300E LCP2 CTSD IFI30 HLA-DRA PPP2R1A TNFRSF14 RNF114 HLA-DPA1 HLA-DPB1 RBX1 DYNC1LI2 B2M CLTA HCST LYN MAP3K8 HLA-DMA VASP CD300A PDIA3 PPP2R5C WAS RNF7 UBE2L3 REL ICAM1 PSMD12 ARF1 HLA-A CAPZB
"reactome_Amyloid fiber formation"	0.938392199816846	0.972096267485126	0.220398161528833	0.616528855306563	52259	15	GGA1 B2M TGFBI ITM2B H2AFZ CST3
"reactome_Anchoring of the basal body to the plasma membrane"	0.0425001133941126	0.309430783267749	-0.51817300713112	-1.53987947615637	1873	16	DYNLL1 HSP90AA1 CSNK1D SSNA1 TUBB4B RAB8A
"reactome_Antigen processing-Cross presentation"	0.0277458955037677	0.259171887546557	-0.366069924463863	-1.46449995225062	1111	52	CD14 PSMA1 VAMP8 VAMP3 PSMB7 UBA52 PSMA6 TLR2 CYBB PSMC5 PSMA4 PSMB9 CYBA UBC PSMB3 NCF4 PSMB8
"reactome_Antigen processing: Ubiquitination & Proteasome degradation"	0.400357918956922	0.70169341019742	-0.247910911532241	-1.02640646623929	15659	62	PSMA1 ANAPC11 VHL SOCS3 PSMB7 UBA52 PSMA6 RNF144B UBR4 PSMC5 PSMA4 UBE2J1 STUB1 SKP1 PSMB9 UBE2L6 UBC PSMB3 PSMB8
"reactome_Antiviral mechanism by IFN-stimulated genes"	0.117259247264568	0.436151797053918	-0.414241734972244	-1.32878440966456	5068	21	EIF4G2 PIN1 EIF4E UBA52
reactome_Apoptosis	0.234436916783843	0.560195190686972	-0.273348319021498	-1.13172300664475	9169	62	CD14 DYNLL1 PSMA1 BAX PSMB7 HMGB1 UBA52 PSMA6 VIM PSMC5 PSMA4 PSMB9 DAPK1 GSN APIP UBC YWHAQ PSMB3 PSMB8
"reactome_Apoptotic execution phase"	0.51433579566796	0.764396880101578	0.336290674868809	0.958489406396634	28755	16	LMNA CASP8 CTNNB1 PLEC
"reactome_Asparagine N-linked glycosylation"	0.266695587822492	0.581445587353004	-0.265216971522921	-1.10617231906525	10450	64	DYNLL1 RAB1B LMAN2 TRAPPC2L KDELR2 CSNK1D ARF5 TRAPPC1 TMED2 TMED9 UBA52 CTSA CTSZ
"reactome_Assembly of the pre-replicative complex"	0.0595735587425207	0.352150297854546	-0.408880325142757	-1.42697366549225	2508	29	PSMA1 PSMB7 UBA52 PSMA6 PSMC5 PSMA4 PSMB9 UBC PSMB3 PSMB8
"reactome_Asymmetric localization of PCP proteins"	0.0595735587425207	0.352150297854546	-0.408880325142757	-1.42697366549225	2508	29	PSMA1 PSMB7 UBA52 PSMA6 PSMC5 PSMA4 PSMB9 UBC PSMB3 PSMB8
"reactome_Autodegradation of Cdh1 by Cdh1:APC/C"	0.00987048004237084	0.160683018126784	-0.45215530209784	-1.65303987519711	409	35	ANAPC16 PSMA1 ANAPC11 PSMB7 UBA52 PSMA6 PSMC5 PSMA4 PSMB9 UBC PSMB3 PSMB8
"reactome_Autodegradation of the E3 ubiquitin ligase COP1"	0.0572182470820358	0.352150297854546	-0.405726928860303	-1.4285282776303	2406	30	PSMA1 PSMB7 UBA52 PSMA6 PSMC5 PSMA4 PSMB9 UBC PSMB3 PSMB8
"reactome_Axon guidance"	0.00242130750605327	0.114422528153232	-0.303625048590998	-1.49635952582637	79	174	HSP90AA1 MYL12A PSMA1 RPSA MSN ARPC1B ACTR2 ACTB MYL6 RPS11 PSMB7 RPL9 UBA52 PSMA6 ACTG1 RPLP1 RPS7 AP2S1 PSMC5 ACTR3 PSMA4 RPS10 RHOB PIK3R1 RPS3 AP2A1 NCBP2 CAP1 PRNP RPL41 CLTC RPL21 RPL18A RPS3A RPLP0 CLTB RPL28 ARPC2 PSMB9 RBM8A RPL3 RPS9 RPL35A RPS27 ETF1 RPL13 MYH9 RPL13A RPL26 RPL7 AP2M1 RPS25 UBC PSMB3 RPS15 RPS20 IRS2 PSMB8 RPL23 ITGB1 RPS13 HSPA8 RPS14 TYROBP RPL22L1 PFN1 RPL24 RPL10A PSMD11 ARPC3
"reactome_B-WICH complex positively regulates rRNA expression"	0.876444304025998	0.946076451620972	-0.237670616843717	-0.693145574404103	38836	15	SMARCA5 POLR2L
