pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.00320994950037606	0.103467372228788	-0.459797483959914	-1.68547749570279	238	53	PSMB4 PSMB8 PSMA5 PSMB10 RNF5 PSMB6 PSMC5 PSMA7 PSMB3 PSME1 PSMA6 PSMD3 PSMB9 PSMD13 PSMB2 VCP PSMC6 PSMD4 PSME2 PSMA3 PSMB7 PSMC3 PSMD9 ERLIN2 OS9 PSMD8 PSMF1
"reactome_ABC-family proteins mediated transport"	0.00238909632105277	0.0911312717540178	-0.439117441043042	-1.66962701032921	182	65	PSMB4 PSMB8 PSMA5 PSMB10 RNF5 PSMB6 PEX19 PSMC5 PSMA7 PSMB3 PSME1 PSMA6 PSMD3 PSMB9 PSMD13 ABCC1 ABCC10 PSMB2 VCP PSMC6 ABCF1 PSMD4 PSME2 ABCD1 PSMA3 PSMB7 PSMC3 PSMD9 ERLIN2 OS9 PSMD8 PSMF1
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.904847067455404	0.988926192460778	-0.232420716471734	-0.660924563102608	59195	17	UBE2D1 ANAPC4 ANAPC2 ANAPC11
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0068983606557377	0.128679450019725	-0.420519668579268	-1.59049400870118	525	63	PSMB4 PSMB8 PSMA5 PSMB10 PSMB6 PSMC5 PSMA7 UBE2D1 ANAPC4 PSMB3 PSME1 PSMA6 PSMD3 PSMB9 PSMD13 PTTG1 PSMB2 ANAPC2 CUL1 ANAPC11 PSMC6 PSMD4 PSME2 FZR1 PSMA3 PSMB7 PSMC3 PSMD9 ANAPC16 PSMD8 PSMF1
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.884665651859711	0.98171946281539	-0.242588434758487	-0.679085837072095	57535	16	UBE2D1 ANAPC4 ANAPC2 ANAPC11
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0100879051048507	0.151413611253774	-0.421315256431884	-1.57096040883833	761	58	PSMB4 PSMB8 PSMA5 PSMB10 PSMB6 PSMC5 PSMA7 UBE2D1 ANAPC4 PSMB3 PSME1 PSMA6 PSMD3 PSMB9 PSMD13 PTTG1 PSMB2 ANAPC2 ANAPC11 PSMC6 PSMD4 PSME2 PSMA3 PSMB7 PSMC3 PSMD9 ANAPC16 PSMD8 PSMF1
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0108070972770871	0.152074815597286	-0.417428656948209	-1.56095684490728	817	59	PSMB4 PSMB8 PSMA5 PSMB10 PSMB6 PSMC5 PSMA7 UBE2D1 ANAPC4 PSMB3 PSME1 PSMA6 PSMD3 PSMB9 PSMD13 PTTG1 PSMB2 ANAPC2 ANAPC11 PSMC6 PSMD4 PSME2 PSMA3 PSMB7 PSMC3 PSMD9 ANAPC16 PSMD8 PSMF1
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.00764952240028537	0.129043650602057	-0.426100820716788	-1.5933860353076	578	59	PSMB4 PSMB8 PSMA5 PSMB10 PSMB6 PSMC5 PSMA7 UBE2D1 ANAPC4 PSMB3 PSME1 PSMA6 PSMD3 PSMB9 PSMD13 PTTG1 PSMB2 ANAPC2 ANAPC11 PSMC6 PSMD4 PSME2 FZR1 PSMA3 PSMB7 PSMC3 PSMD9 ANAPC16 PSMD8 PSMF1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0151980512603262	0.176262899322978	-0.410447661808215	-1.53043835170307	1147	58	PSMB4 PSMB8 PSMA5 PSMB10 PSMB6 PSMC5 PSMA7 UBE2D1 ANAPC4 PSMB3 PSME1 PSMA6 PSMD3 PSMB9 PSMD13 PSMB2 ANAPC2 ANAPC11 PSMC6 PSMD4 PSME2 PSMA3 PSMB7 PSMC3 PSMD9 ANAPC16 PSMD8 PSMF1
"reactome_ATF4 activates genes"	0.926935020800375	0.992413579788346	0.203557016888357	0.660476190301603	31639	18	DIS3 DCP2 EXOSC8 EXOSC1 EXOSC7
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0117051437829081	0.156805434801027	-0.433866143771688	-1.57477452161664	866	50	PSMB4 PSMB8 PSMA5 PSMB10 PSMB6 PSMC5 PSMA7 PSMB3 PSME1 PSMA6 PSMD3 PSMB9 PSMD13 HSPA1A PSMB2 PSMC6 PSMD4 PSME2 PSMA3 HSPA8 PSMB7 PSMC3 PSMD9 PSMD8 PSMF1
"reactome_AURKA Activation by TPX2"	0.615622830162478	0.886750496787265	-0.260648168315353	-0.905154669630125	44330	40	YWHAE SDCCAG8 DYNLL1 HAUS1 DCTN1 PRKACA HSP90AA1 DYNC1I2 YWHAG HAUS4 CDK5RAP2 DCTN2 MAPRE1 CSNK1D TUBB4B
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.30365085524941	0.730423823448209	-0.375325641082913	-1.12608569075558	20343	21	POLR2H NELFE POLR2E GTF2F1 POLR2I
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.507590873601111	0.83952173564243	0.299936951862579	0.95774978708141	17552	17	APH1B ADAM17
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0108070972770871	0.152074815597286	-0.417428656948209	-1.56095684490728	817	59	PSMB4 PSMB8 PSMA5 PSMB10 PSMB6 PSMC5 PSMA7 UBE2D1 ANAPC4 PSMB3 PSME1 PSMA6 PSMD3 PSMB9 PSMD13 PTTG1 PSMB2 ANAPC2 ANAPC11 PSMC6 PSMD4 PSME2 PSMA3 PSMB7 PSMC3 PSMD9 ANAPC16 PSMD8 PSMF1
"reactome_Activation of BH3-only proteins"	0.401813413263395	0.780750644257942	-0.353092186706661	-1.04685875083364	26810	20	BBC3 YWHAE DYNLL1 TFDP1
"reactome_Activation of HOX genes during differentiation"	0.4767766671231	0.817726549485606	-0.278868119310824	-0.991586853207288	34818	45	H2AFJ POLR2H POLR2E PAGR1 KMT2D POLR2I EGR2 HIST1H2BK SUZ12 YY1 CTCF NCOA6 MAFB HDAC3 POLR2L
"reactome_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	0.238781461453526	0.666365735614335	0.381648974935291	1.17354303576145	8433	15	TANK PTPN11 TLR4 TBK1
"reactome_Activation of NF-kappaB in B cells"	0.0823110407597942	0.412408167951922	-0.354001077691934	-1.32766189885016	6239	60	PSMB4 PSMB8 PSMA5 PSMB10 PSMB6 PSMC5 PSMA7 PSMB3 PSME1 PSMA6 FBXW11 NFKBIE PSMD3 PSMB9 PSMD13 PSMB2 CUL1 IKBKG PSMC6 PSMD4 PSME2 PSMA3 PSMB7 PSMC3 PSMD9
"reactome_Activation of NMDA receptors and postsynaptic events"	0.558873832390475	0.861436080698184	0.250691875346138	0.93821522232249	16991	30	KRAS ARHGEF7 PRKAR1A PDPK1 CAMKK2 CAMKK1 PRKAA1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.4767766671231	0.817726549485606	-0.278868119310824	-0.991586853207288	34818	45	H2AFJ POLR2H POLR2E PAGR1 KMT2D POLR2I EGR2 HIST1H2BK SUZ12 YY1 CTCF NCOA6 MAFB HDAC3 POLR2L
"reactome_Activation of gene expression by SREBF (SREBP)"	0.991499499970586	0.999979008795315	-0.163167085942754	-0.505701631337432	67417	24	PMVK HELZ2 FDPS
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.0425574666452339	0.299658278489863	0.317102247288196	1.3778926277496	1058	56	EIF3L PABPC1 RPS16 EIF4E RPS4X EIF3F EIF4B RPS23 EIF4H RPS10 RPS7 RPS3A RPS8 RPS25 RPS29 RPS15A EIF3H RPS24 RPS13 EIF3E EIF2S2 RPS5 RPS6
