pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.106364382763461	0.425073081477591	0.308379775847738	1.26826002692243	4015	55	DERL1 RPS27A PSMD12 PSMD5 PSMD11 PSMC4 DERL2 UBA52 UBC ERLIN1 PSMD6 PSMD3 RNF185 ERLEC1 VCP PSMD2 PSMC2 PSMA7 SEL1L UBB
"reactome_ABC-family proteins mediated transport"	0.0856291261595031	0.380739693660954	0.290448355703946	1.27269434967504	3073	75	ABCC1 DERL1 ABCF1 RPS27A PSMD12 PSMD5 ABCD3 PSMD11 PSMC4 ABCB1 DERL2 UBA52 UBC ERLIN1 PSMD6 PSMD3 RNF185 ERLEC1 VCP PSMD2 PSMC2 PSMA7 SEL1L UBB
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.713075801063379	0.857293378806535	0.260312833035127	0.833777404021068	30309	20	RPS27A CDC23 ANAPC10 UBA52 UBC
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.698793193501388	0.852986546257317	0.205362653558165	0.887895813247622	25419	70	RPS27A PSMD12 PSMD5 FZR1 PSMD11 CDC23 PSMC4 ANAPC10 UBA52 UBC BTRC
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.624254843517139	0.823294167843401	0.28410692501931	0.88509699442414	26807	18	RPS27A CDC23 ANAPC10 UBA52 UBC
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.740205461970393	0.870351477261891	-0.21863060403102	-0.847396990614757	46401	60	ANAPC16 PSMD4 PSMC5 CDC26 PSMB9 PSMA5 PSMB10 ANAPC11 ANAPC4 PSME2 PSMB8 PSMD10 PSMD1 PSMB3 UBE2E1 PSMC6 PSMA4 PSMB6 PSMA6
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.685326925831039	0.851082445694224	-0.22489213427488	-0.876601836217592	43067	62	ANAPC16 PSMD4 PSMC5 CDC26 PSMB9 PSMA5 PSMB10 ANAPC11 ANAPC4 PSME2 MAD2L1 PSMB8 PSMD10 PSMD1 PSMB3 UBE2E1 PSMC6 PSMA4 PSMB6 PSMA6
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.731101482817083	0.864694970557185	0.205393967145435	0.867411749951353	27166	62	RPS27A PSMD12 PSMD5 FZR1 PSMD11 CDC23 PSMC4 ANAPC10 UBA52 UBC
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.673666098427518	0.846899436237424	-0.227050268894737	-0.882333189069272	42283	61	ANAPC16 PSMD4 PSMC5 CDC26 PSMB9 PSMA5 PSMB10 ANAPC11 ANAPC4 PSME2 MAD2L1 PSMB8 PSMD10 PSMD1 PSMB3 UBE2E1 PSMC6 PSMA4 PSMB6 PSMA6
"reactome_ATF4 activates genes"	0.905557004956953	0.948371994489989	0.210346023557547	0.691955879108175	38180	22	DIS3 EXOSC9 EXOSC7 IL8
