pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0107223766862321	0.108884311924348	0.425441052240942	1.60323257997024	832	46	PSMA4 RPS27A UBA52 DERL1 PSME1 ERLEC1 PSME2 PSMD1 PSMD7 PSMD9 PSMC6 PSMD3 PSMB3 OS9 PSMC5 PSMC4 PSMD12 PSMB7 PSMA1 PSMB10 PSMC1 PSMD8 PSMF1 PSMB4
"reactome_ABC-family proteins mediated transport"	0.0136249825239263	0.129086840223089	0.407646670179716	1.56803942436911	1071	51	PSMA4 RPS27A UBA52 DERL1 ABCF1 PSME1 ERLEC1 PSME2 PSMD1 PSMD7 PSMD9 PSMC6 PSMD3 PSMB3 OS9 PSMC5 PSMC4 PSMD12 PSMB7 PSMA1 EIF2S3 PSMB10 PSMC1 PSMD8 PSMF1 PSMB4
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0978024631731466	0.356846825091211	0.343290391934796	1.32048881528597	7694	51	PSMA4 RPS27A UBA52 PSME1 PSME2 PSMD1 PSMD7 PSMD9 PSMC6 PSMD3 PSMB3 ANAPC16 PSMC5 PSMC4 PSMD12 PSMB7 PSMA1 CDC26 ANAPC15 PSMB10 PSMC1 PSMD8 PSMF1 PSMB4
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0701179975090841	0.303624159025185	0.363274926588466	1.3747874457157	5460	47	PSMA4 RPS27A UBA52 PSME1 PSME2 PSMD1 PSMD7 PSMD9 PSMC6 PSMD3 PSMB3 ANAPC16 PSMC5 PSMC4 PSMD12 PSMB7 PSMA1 CDC26 ANAPC15 PSMB10 PSMC1 PSMD8 PSMF1 PSMB4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.077259699048009	0.314612645221554	0.357424550802437	1.35884608766263	6037	48	PSMA4 RPS27A UBA52 PSME1 PSME2 PSMD1 PSMD7 PSMD9 PSMC6 PSMD3 PSMB3 ANAPC16 PSMC5 PSMC4 PSMD12 PSMB7 PSMA1 CDC26 ANAPC15 PSMB10 PSMC1 PSMD8 PSMF1 PSMB4
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0701179975090841	0.303624159025185	0.363274926588466	1.3747874457157	5460	47	PSMA4 RPS27A UBA52 PSME1 PSME2 PSMD1 PSMD7 PSMD9 PSMC6 PSMD3 PSMB3 ANAPC16 PSMC5 PSMC4 PSMD12 PSMB7 PSMA1 CDC26 ANAPC15 PSMB10 PSMC1 PSMD8 PSMF1 PSMB4
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.077259699048009	0.314612645221554	0.357424550802437	1.35884608766263	6037	48	PSMA4 RPS27A UBA52 PSME1 PSME2 PSMD1 PSMD7 PSMD9 PSMC6 PSMD3 PSMB3 ANAPC16 PSMC5 PSMC4 PSMD12 PSMB7 PSMA1 CDC26 ANAPC15 PSMB10 PSMC1 PSMD8 PSMF1 PSMB4
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0226714970199836	0.170593723478238	0.410791055711415	1.52788817153368	1745	43	PSMA4 RPS27A UBA52 PSME1 PSME2 PSMD1 PSMD7 PSMD9 PABPC1 PSMC6 PSMD3 PSMB3 HNRNPD PSMC5 PSMC4 PSMD12 PSMB7 PSMA1 HSPA8 PSMB10 PSMC1 PSMD8 PSMF1 PSMB4
"reactome_AURKA Activation by TPX2"	0.946118027178561	1	0.183517677877607	0.626573833989078	69691	29	CEP57 HAUS3 NDE1 HSP90AA1 DCTN3 TUBA1A DYNC1H1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.67524389539918	0.908906005830568	0.284069209278497	0.847523830091478	46788	17	POLR2B POLR2A SUPT5H NCBP1 NCBP2 POLR2F POLR2K NELFE POLR2C
