pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.984982580979912	0.999628233044771	-0.163203170862136	-0.603167608446949	66441	52	PSMB9 PSMC5 PSMA5 PSMC6 PSMB2 PSMA7 PSMD9 RNF5 PSMB10 PSME2 PSMD4 PSMA4 PSMB6 PSMB8
"reactome_ABC-family proteins mediated transport"	0.994661921708185	0.999628233044771	-0.149613675359862	-0.576277414822975	68756	65	PSMB9 EIF2S1 PSMC5 PSMA5 PSMC6 PSMB2 ABCB8 ABCC4 PSMA7 PSMD9 RNF5 PSMB10 PSME2 PSMD4 PSMA4 PSMB6 PSMB8
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.35135979993748	0.756631950129918	0.329192553243804	1.06886262838857	13487	20	RPS27A UBA52 CDC27 UBC MAD2L1 ANAPC7 ANAPC10
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.789627982207845	0.96520075164954	-0.211851902608238	-0.818327665046709	54676	66	PSMB9 PSMC5 PSMA5 CUL1 PSMC6 ANAPC16 PSMB2 ANAPC2 PSMA7 PSMD9 CDC16 CDC14A PTTG1 PSMB10 PSME2 PSMD4 PSMA4 PSMB6 PSMB8
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.301329356406367	0.72360284946864	0.353285700757605	1.11303968366497	11718	18	RPS27A UBA52 CDC27 UBC ANAPC7 ANAPC10
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.862010470591676	0.983648516481472	-0.20198686341583	-0.766416658533454	58945	60	PSMB9 PSMC5 PSMA5 PSMC6 ANAPC16 PSMB2 ANAPC2 PSMA7 PSMD9 CDC16 PTTG1 PSMB10 PSME2 PSMD4 PSMA4 PSMB6 PSMB8
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.921852514063931	0.999628233044771	-0.188220555071754	-0.719088820150877	63416	62	PSMB9 PSMC5 PSMA5 PSMC6 ANAPC16 PSMB2 ANAPC2 PSMA7 PSMD9 CDC16 PTTG1 PSMB10 PSME2 PSMD4 PSMA4 PSMB6 PSMB8
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.862010470591676	0.983648516481472	-0.20198686341583	-0.766416658533454	58945	60	PSMB9 PSMC5 PSMA5 PSMC6 ANAPC16 PSMB2 ANAPC2 PSMA7 PSMD9 CDC16 PTTG1 PSMB10 PSME2 PSMD4 PSMA4 PSMB6 PSMB8
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.957119504933154	0.999628233044771	-0.17729965006202	-0.674888065293539	65577	61	PSMB9 PSMC5 PSMA5 PSMC6 ANAPC16 PSMB2 ANAPC2 PSMA7 PSMD9 CDC16 PSMB10 PSME2 PSMD4 PSMA4 PSMB6 PSMB8
"reactome_ATF4 activates genes"	0.116744445571675	0.502942586833172	0.442753187310283	1.34778296062019	4602	16	EXOSC9 DDIT3 ATF3 NFYC EXOSC8 EXOSC5 ATF6 EXOSC1 EXOSC7
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.928345402543662	0.999628233044771	0.17813195592607	0.729393022085456	30510	50	RPS27A PABPC1 PSMD5 HNRNPD UBA52 UBC HSPA8 PSMD6 PSMD12 PSMF1 PSMB5 PSMC2
"reactome_AURKA Activation by TPX2"	0.407965715655718	0.799097850435794	-0.283888231663253	-1.03229388426149	27225	48	HAUS1 DYNLL1 DYNC1I2 DCTN1 CEP78 CEP63
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.392276981266265	0.792662007673615	-0.347757840257604	-1.04902051382829	24268	21	POLR2H SUPT5H POLR2I POLR2L POLR2E POLR2D NELFCD SUPT4H1 POLR2A
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.139621588718677	0.530009039669748	0.429723817093435	1.3081203140957	5504	16	RPS27A UBA52 PSEN1 UBC APH1A
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.921852514063931	0.999628233044771	-0.188220555071754	-0.719088820150877	63416	62	PSMB9 PSMC5 PSMA5 PSMC6 ANAPC16 PSMB2 ANAPC2 PSMA7 PSMD9 CDC16 PTTG1 PSMB10 PSME2 PSMD4 PSMA4 PSMB6 PSMB8
"reactome_Activation of ATR in response to replication stress"	0.508470192680719	0.850870604193256	0.299850937464372	0.959413612234299	19659	19	ORC5 MCM6 RAD17 ORC3
"reactome_Activation of BH3-only proteins"	0.471429031842207	0.836338776026704	-0.324785331005573	-0.99159272634617	29254	22	PMAIP1 DYNLL1 BCL2 PPP3CC YWHAE TP53BP2 YWHAH YWHAQ
"reactome_Activation of HOX genes during differentiation"	0.996875568767821	0.999628233044771	0.135871907282822	0.553973466795138	32862	49	RQCD1 POLR2B RARA JUN RBBP7 ASH2L HIST1H2BC EED H2AFX SUZ12 CREBBP EP300 HOXB2
"reactome_Activation of NF-kappaB in B cells"	0.985771453979546	0.999628233044771	0.152052830825829	0.650451488897991	31037	61	RPS27A NFKB1 REL PSMD5 UBA52 UBC NFKBIB PSMD6 CHUK IKBKG PSMD12 PSMF1 PSMB5
"reactome_Activation of NMDA receptors and postsynaptic events"	0.653468037150119	0.92506846341883	-0.278495836093458	-0.868279084667319	40878	24	PRKAR1B CAMK2D DLG1 RPS6KA1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.996875568767821	0.999628233044771	0.135871907282822	0.553973466795138	32862	49	RQCD1 POLR2B RARA JUN RBBP7 ASH2L HIST1H2BC EED H2AFX SUZ12 CREBBP EP300 HOXB2
"reactome_Activation of gene expression by SREBF (SREBP)"	0.847339917171074	0.979344339276457	-0.233064338289371	-0.73374986644685	53195	25	CHD9 PMVK NCOA1 TBL1X SREBF2 TBL1XR1 TGS1 NCOA2 FDPS SP1
