pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.00291834833902515	0.0395863033198377	0.465697526167231	1.74445283976789	140	42	PSMB9 UBC PSME1 PSME2 PSMA4 ERLEC1 PSMB7 RPS27A PSMB3 DERL2 PSMF1 PSMB1 PSMB6 PSMD2 UBA52 PSMD12 PSMD13 PSMC5 PSMD1 PSMA3 PSMD11 PSMB8 PSMC1 PSMD6 PSMD14 PSMD8 PSMD9
"reactome_ABC-family proteins mediated transport"	0.010803203708686	0.0953167619253094	0.414107927890976	1.59243720323745	521	47	EIF2S2 PSMB9 UBC PSME1 PSME2 PSMA4 ERLEC1 PSMB7 RPS27A PSMB3 DERL2 PSMF1 PSMB1 PSMB6 PSMD2 UBA52 PSMD12 PSMD13 EIF2S3 PSMC5 PSMD1 PSMA3 PSMD11 PSMB8 PSMC1 PSMD6 PSMD14
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.00304127443881246	0.0399783682507927	0.458045448528127	1.73616281879717	146	44	PSMB9 UBC CDC26 ANAPC15 PSME1 PSME2 PSMA4 SKP1 PSMB7 RPS27A PSMB3 PSMF1 PSMB1 PSMB6 PSMD2 UBA52 PSMD12 PSMD13 PSMC5 PSMD1 PSMA3 PSMD11 PSMB8 PSMC1 PSMD6 PSMD14 PSMD8 ANAPC16 PSMD9
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.00196626306530063	0.0301594504016112	0.476160435372106	1.78364577219529	94	42	PSMB9 UBC CDC26 ANAPC15 PSME1 PSME2 PSMA4 PSMB7 RPS27A PSMB3 PSMF1 PSMB1 PSMB6 PSMD2 UBA52 PSMD12 PSMD13 PSMC5 PSMD1 PSMA3 PSMD11 PSMB8 PSMC1 PSMD6 PSMD14 PSMD8 ANAPC16 PSMD9
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.00442386405920536	0.0494780701200767	0.450330068174381	1.69768313440386	213	43	PSMB9 UBC CDC26 ANAPC15 PSME1 PSME2 PSMA4 PSMB7 RPS27A PSMB3 PSMF1 PSMB1 PSMB6 PSMD2 UBA52 PSMD12 PSMD13 PSMC5 PSMD1 PSMA3 PSMD11 PSMB8 PSMC1 PSMD6 PSMD14 PSMD8 ANAPC16 PSMD9
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.00196626306530063	0.0301594504016112	0.476160435372106	1.78364577219529	94	42	PSMB9 UBC CDC26 ANAPC15 PSME1 PSME2 PSMA4 PSMB7 RPS27A PSMB3 PSMF1 PSMB1 PSMB6 PSMD2 UBA52 PSMD12 PSMD13 PSMC5 PSMD1 PSMA3 PSMD11 PSMB8 PSMC1 PSMD6 PSMD14 PSMD8 ANAPC16 PSMD9
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.00442386405920536	0.0494780701200767	0.450330068174381	1.69768313440386	213	43	PSMB9 UBC CDC26 ANAPC15 PSME1 PSME2 PSMA4 PSMB7 RPS27A PSMB3 PSMF1 PSMB1 PSMB6 PSMD2 UBA52 PSMD12 PSMD13 PSMC5 PSMD1 PSMA3 PSMD11 PSMB8 PSMC1 PSMD6 PSMD14 PSMD8 ANAPC16 PSMD9
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.000930059523809524	0.018732714045214	0.501938385025422	1.86089587664993	44	40	HSPA8 PSMB9 UBC PSME1 PSME2 PSMA4 PSMB7 PABPC1 RPS27A PSMB3 PSMF1 PSMB1 PSMB6 PSMD2 UBA52 PSMD12 PSMD13 PSMC5 PSMD1 PSMA3 PSMD11 PSMB8 PSMC1 PSMD6 PSMD14 PSMD8 PSMD9
"reactome_AURKA Activation by TPX2"	0.63173683243883	0.820182053012145	0.263529010110694	0.888275119136407	30956	27	SFI1 YWHAE SSNA1 DYNLL1 PPP2R1A CSNK1D TUBA1A MAPRE1 HAUS1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.28647102660678	0.602402504419086	0.381350228841567	1.13675039942682	14222	17	POLR2K POLR2D POLR2I POLR2J POLR2C NELFE SUPT4H1
