pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0801462374327206	0.312922064960669	-0.349137669141655	-1.32935564522117	3945	50	PSME2 OS9 PSMB9 PSME1 PSMC5 PSMB1 PSMB3 PSMB10 PSMD4 PSMA4 PSMB6 DERL1 ERLEC1 PSMB7
"reactome_ABC-family proteins mediated transport"	0.325210833603633	0.618397088936374	-0.272350927188144	-1.07364142320866	16041	59	PSME2 OS9 PSMB9 PSME1 PSMC5 PSMB1 PSMB3 PSMB10 PSMD4 PSMA4 PSMB6 DERL1 EIF2S1 ERLEC1 PSMB7
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0808839958562694	0.313073607427056	-0.339252480090795	-1.31716407900171	3981	55	PSME2 ANAPC16 PSMB9 PSME1 PSMC5 PSMB1 PSMB3 PSMB10 PSMD4 PSMA4 PSMB6 ANAPC11 ANAPC5 PSMB7
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0631284463185209	0.273959860242919	-0.356135701453613	-1.36248179728352	3113	51	PSME2 ANAPC16 PSMB9 PSME1 PSMC5 PSMB1 PSMB3 PSMB10 PSMD4 PSMA4 PSMB6 ANAPC11 ANAPC5 PSMB7
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0795650498042318	0.312120533956443	-0.345364619902932	-1.32576838694637	3921	52	PSME2 ANAPC16 PSMB9 PSME1 PSMC5 PSMB1 PSMB3 PSMB10 PSMD4 PSMA4 PSMB6 ANAPC11 ANAPC5 PSMB7
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0631284463185209	0.273959860242919	-0.356135701453613	-1.36248179728352	3113	51	PSME2 ANAPC16 PSMB9 PSME1 PSMC5 PSMB1 PSMB3 PSMB10 PSMD4 PSMA4 PSMB6 ANAPC11 ANAPC5 PSMB7
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0795650498042318	0.312120533956443	-0.345364619902932	-1.32576838694637	3921	52	PSME2 ANAPC16 PSMB9 PSME1 PSMC5 PSMB1 PSMB3 PSMB10 PSMD4 PSMA4 PSMB6 ANAPC11 ANAPC5 PSMB7
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.269967077185709	0.555161640294269	-0.297963641621668	-1.1197175617574	13283	47	PSME2 PSMB9 PSME1 PSMC5 PSMB1 PSMB3 PSMB10 PSMD4 PSMA4 PSMB6
"reactome_AURKA Activation by TPX2"	0.927597972506558	0.974980477422203	0.196135300640849	0.6948866632473	47031	36	OFD1 TUBA4A HAUS3 MAPRE1 CSNK1E AKAP9 PCM1 CLASP1 TUBB4B CDK5RAP2 TUBB HSP90AA1 CSNK1D PAFAH1B1 CKAP5 CNTRL
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.855754008524457	0.946573372661822	-0.23764639820477	-0.727568823912216	42162	20	POLR2L NELFA POLR2E POLR2B POLR2C POLR2G POLR2I POLR2F NELFE POLR2J
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0795650498042318	0.312120533956443	-0.345364619902932	-1.32576838694637	3921	52	PSME2 ANAPC16 PSMB9 PSME1 PSMC5 PSMB1 PSMB3 PSMB10 PSMD4 PSMA4 PSMB6 ANAPC11 ANAPC5 PSMB7
"reactome_Activation of BH3-only proteins"	0.848379720886226	0.942602089530592	0.239841445975729	0.734337306196547	43039	20	BBC3 PMAIP1 YWHAZ BCL2L11 MAPK8
"reactome_Activation of HOX genes during differentiation"	0.191516658771514	0.472812682854155	0.336775797648673	1.20030780387253	9702	37	RQCD1 POLR2D ZNF335 HIST1H3A KDM6A RBBP5 RBBP7 HDAC3 H2AFV POLR2A EED RARA CREBBP NCOR1
"reactome_Activation of NF-kappaB in B cells"	0.377825073477247	0.667017900802143	-0.265182765102301	-1.04160112674814	18639	58	PSME2 CARD11 PSMB9 PSME1 PSMC5 PSMB1 PSMB3 PSMB10 PSMD4 PSMA4 PSMB6 PRKCB
"reactome_Activation of NMDA receptors and postsynaptic events"	0.437277685558454	0.709846767191752	0.326245721373073	1.01048425477743	22127	21	CAMK4 PRKX PRKAA1 ARHGEF7 RPS6KA3
