pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.574508391783567	0.805110042125222	-0.245516052600555	-0.933144352500407	36694	53	OS9 PSMD4 PSMB9 PSMB8 ERLEC1 PSME2 PSMC6 PSMA3 PSMB10 ERLIN2
"reactome_ABC-family proteins mediated transport"	0.646425297891842	0.848381823769879	-0.225546023592155	-0.899264042327866	42314	68	OS9 PSMD4 PSMB9 PSMB8 ERLEC1 ABCC10 PSME2 PSMC6 ABCC4 PSMA3 PEX3 PSMB10 ERLIN2
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.683500887049083	0.870830759795869	-0.282128102737871	-0.844838395252296	40452	19	MAD2L1 ANAPC16 ANAPC5
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.415986524768394	0.706857453722804	-0.257998022040367	-1.02280333947826	27165	66	MAD2L1 PSMD4 PSMB9 ANAPC16 PSMB8 PTTG1 ANAPC5 PSME2 PSMC6 PSMA3 PSMB10 CUL1 CDC16 ANAPC10
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.621327450790265	0.833449305049877	0.285171345882681	0.88447047805386	25630	17	UBA52 RPS27A UBE2D1 CDC23 UBC CDC27 UBE2E1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.617791477563159	0.829437300318969	-0.234862012820384	-0.911329649773759	39883	59	PSMD4 PSMB9 ANAPC16 PSMB8 PTTG1 ANAPC5 PSME2 PSMC6 PSMA3 PSMB10 CDC16 ANAPC10
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.421689166229032	0.70900788910972	-0.261113510841559	-1.01987879905862	27300	61	MAD2L1 PSMD4 PSMB9 ANAPC16 PSMB8 PTTG1 ANAPC5 PSME2 PSMC6 PSMA3 PSMB10
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.616733746130031	0.828735971362229	-0.234370692978366	-0.912187158984042	39840	60	PSMD4 PSMB9 ANAPC16 PSMB8 PTTG1 ANAPC5 PSME2 PSMC6 PSMA3 PSMB10 CDC16 ANAPC10
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.59015479876161	0.811693301370271	-0.237988596852687	-0.9262682943626	38123	60	MAD2L1 PSMD4 PSMB9 ANAPC16 PSMB8 ANAPC5 PSME2 PSMC6 PSMA3 PSMB10 CDC16 ANAPC10
"reactome_ATF4 activates genes"	0.489195129781927	0.75500903380102	0.295355473897016	0.972387161361478	19807	21	ATF3 IL8 EXOSC7 EXOSC8 EXOSC4 EXOSC5
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.600609341421615	0.818058474080862	0.226828935823174	0.923955038264559	22078	49	UBA52 PSMD12 PABPC1 RPS27A PSMD5 PSMB4 PSMB5 UBC PSMD10 HSPA8 PSMD3 PSMA1 PSMB3 PSMD14 PSMC1 PSMD7 PSMD13 PSMB1 PSMC4 HNRNPD PSMA7
"reactome_AURKA Activation by TPX2"	0.155816637940577	0.427644360894537	-0.330150071397723	-1.23412781104188	9853	49	SDCCAG8 ODF2 PCNT FGFR1OP CNTRL DCTN1 DYNLL1 HAUS1 SSNA1 CEP57 OFD1 CEP78 CKAP5 HAUS8 DYNC1H1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.875905294819445	0.952177946896419	-0.229330849079504	-0.705013640938983	52125	21	NELFCD POLR2C POLR2I POLR2K SUPT5H POLR2H
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.208208086880636	0.496119320186377	0.390572797933212	1.21137735011055	8588	17	UBA52 DTX2 RPS27A PSEN1 NCSTN UBC ADAM17
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.421689166229032	0.70900788910972	-0.261113510841559	-1.01987879905862	27300	61	MAD2L1 PSMD4 PSMB9 ANAPC16 PSMB8 PTTG1 ANAPC5 PSME2 PSMC6 PSMA3 PSMB10
"reactome_Activation of ATR in response to replication stress"	0.0844085106382979	0.309998515938518	-0.484406409396626	-1.40750769985157	4958	17	ORC3 MCM3 RPA2 RPA3 RFC2 MCM5 ORC2
"reactome_Activation of BH3-only proteins"	0.160083752093802	0.430214876447418	-0.408414597692841	-1.27082367140591	9556	22	TP53BP2 BAD TFDP1 PMAIP1 DYNLL2 DYNLL1 AKT3 BCL2 YWHAH
"reactome_Activation of HOX genes during differentiation"	0.309565647136346	0.602286557426334	0.263160729528408	1.07975570677611	11274	51	ZNF335 MAFB RARA RXRA JUN PIAS2 POLR2B KMT2D HIST1H3A HDAC3 RBBP5 KMT2C
"reactome_Activation of NF-kappaB in B cells"	0.671417598361355	0.861968086157972	0.209742515870987	0.897813500173557	23600	62	REL MAP3K7 UBA52 PSMD12 RPS27A NFKBIA NFKB1 PSMD5 PSMB4 PSMB5 UBC PSMD10 PSMD3 PSMA1 PSMB3 PSMD14 PSMC1 PSMD7 PSMD13 RELA PSMB1 NFKBIE PSMC4
"reactome_Activation of NMDA receptors and postsynaptic events"	0.656009578641667	0.853093320164183	0.246594037471584	0.877466965855376	25750	28	PRKAR2A KRAS MAPK1 ARHGEF7 RAC1 PRKX PRKAG2 CAMK4 NRGN CAMKK2
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.309565647136346	0.602286557426334	0.263160729528408	1.07975570677611	11274	51	ZNF335 MAFB RARA RXRA JUN PIAS2 POLR2B KMT2D HIST1H3A HDAC3 RBBP5 KMT2C
"reactome_Activation of gene expression by SREBF (SREBP)"	0.766299745977985	0.908151123129733	0.225798004468798	0.817765332071275	29864	30	SP1 RXRA SQLE GGPS1 MED1 NCOA2
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	2.79829863443027e-05	0.00194849025046848	0.66727632790528	2.79202873196145	0	56	RPS14 EIF4A1 RPS8 EIF3L RPS23 RPS3A PABPC1 RPS28 RPS20 RPS27A RPS9 RPS15A RPS16 RPS4X RPS6 RPS7 RPS10 RPS13 EIF4E RPS24 RPS5 EIF3F RPS3 EIF3H RPS12 RPS27 RPS25 RPS11 RPS29 RPS19 RPS2 FAU EIF3E RPS15 EIF4EBP1 RPS18 EIF4B RPS21
"reactome_Activation of the pre-replicative complex"	0.0419453924914676	0.211501223360708	-0.532505848993535	-1.52282150845347	2457	16	ORC3 MCM3 GMNN RPA2 RPA3 MCM5 ORC2 PRIM2
"reactome_Adaptive Immune System"	0.797250168465603	0.927922430687145	-0.175236891745818	-0.895425904600926	67436	493	LAG3 CD81 ICAM2 BTN3A2 SLAMF7 BTN2A2 FBXL4 PSMD4 CARD11 KLRG1 MIB2 PSMB9 BTBD1 PSMB8 TRIM37 KLHL42 ITCH LAT EVL LNPEP FBXW2 STIM1 CANX AKT1 RNF19A AP2A2 ANAPC5 PTPN22 NPDC1 PSME2 SLAMF6 LMO7 FBXO6 DYNLL2 FBXW5 HCST ZBTB16 UBE2G1 PILRB HERC3 ITGAL DCTN1 CD3G UBR1 PRKCB RNF213 CD3D BTN3A3 DYNLL1 MAPKAP1 DZIP3 CTSC PSMC6 ASB7 RAP1GAP2 PLCG2 NFATC3 TRIM69 ITGB7 SOCS1 UBE2L6 UBE3B LAIR2 KLRF1 PSMA3 KIF2A NCR1 FBXO44 VAV1 PSMB10 RASGRP1 AP2M1 PLCG1 RNF111 ITPR1 CD3E AKT3 PTPN11 FBXO32 AP1M1 CUL1 CDC16 HUWE1 HERC4 SELL PRKCQ PPP2R5C TAB2 ANAPC10 KLHL5 MLST8 ITPR3 UBR4 KLRD1 PPP2R5D ORAI1 FYB ERAP2 UNKL PSMF1 HLA-E IKBKG PPP3CA YES1 DYNC1H1 RCHY1 CD22 RLIM SEC31A UBA5 LILRB1 CD226 UBA3 LONRF1 PSMC5 THEM4 KIFAP3 ITK MYLIP PSMA5 PAK2 CBLB LAIR1 DNM2 CUL5 NFATC1 SEC61A1
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.35831795454187	0.653328849977402	-0.282932968712789	-1.06231445741445	22716	50	MAD2L1 ITGB3BP DYNLL2 XPO1 DYNLL1 KIF2A PPP1CC NUP85 PPP2R5C PPP2R5D CKAP5 B9D2 DYNC1H1
"reactome_Amplification of signal from the kinetochores"	0.35831795454187	0.653328849977402	-0.282932968712789	-1.06231445741445	22716	50	MAD2L1 ITGB3BP DYNLL2 XPO1 DYNLL1 KIF2A PPP1CC NUP85 PPP2R5C PPP2R5D CKAP5 B9D2 DYNC1H1
"reactome_Amyloid fiber formation"	0.0024015871358463	0.0321358088349731	0.482733331754107	1.81559343910804	91	35	TGFBI LYZ CST3 UBA52 RPS27A HIST1H3A NCSTN UBC GSN FURIN SORL1 GGA3 USP9X ITM2B H3F3A
"reactome_Anchoring of the basal body to the plasma membrane"	0.0310463068796145	0.175720961790286	-0.371513007889468	-1.45108630763605	2009	61	SDCCAG8 ODF2 PCNT FGFR1OP RAB8A CNTRL RAB11A DCTN1 DYNLL1 HAUS1 SSNA1 IQCB1 TMEM216 CEP57 OFD1 CEP78 CKAP5 HAUS8 B9D2 DYNC1H1
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.839827930970745	0.94000129867899	-0.239359433545761	-0.735843722789719	49978	21	CANX ERAP2 HLA-E SEC31A TAP1 SEC24C HLA-F HLA-A SEC24A HLA-B ERAP1
"reactome_Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	0.807579059438058	0.930029000034792	-0.239402628342896	-0.768612623108046	48545	25	STIM1 PLCG2 VAV1 ITPR1 ITPR3 ORAI1 CD22 SOS1 CD79A PTPN6
"reactome_Antigen processing-Cross presentation"	0.154355946499578	0.425465412066879	0.262515720341784	1.18268458731437	5123	81	CTSS UBA52 PSMD12 CTSL RPS27A TLR2 NCF4 PSMD5 PSMB4 CD36 LY96 CYBB NCF2 VAMP3 PSMB5 UBC ITGAV PDIA3 PSMD10 CALR PSMD3 PSMA1 PSMB3 PSMD14 PSMC1 PSMD7 PSMD13 CD14 PSMB1
