pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.879043409271223	0.957505592442534	0.193006064699978	0.768018326836734	38778	52	PSMD13 PSMD12 PSME2 PSME4 PSMD10 UBB PSMD7 PSMD14 PSMC3 PSME3 PSMB1 RPS27A
"reactome_ABC-family proteins mediated transport"	0.529011796381226	0.850486431131592	0.234278601280524	0.961146265733499	23184	60	PSMD13 EIF2S2 PSMD12 PSME2 PSME4 PSMD10 UBB ABCB7 PSMD7 PSMD14 ABCD3
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.956442966809242	0.982918896686314	-0.19970431302116	-0.594386695423144	51206	18	ANAPC11 ANAPC16 UBC
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.782838087842313	0.9346661952037	0.2022049783738	0.837973997145773	34274	63	PSMD13 PSMD12 PSME2 CDC14A UBE2D1 PSME4 PSMD10 UBB PSMD7
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.893884588713758	0.962283523855158	-0.232905951291581	-0.671383691418178	47694	16	ANAPC11 ANAPC16 UBC
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.862090996212294	0.954981033102139	0.193213064825767	0.786876391452487	37781	58	PSMD13 PSMD12 PSME2 UBE2D1 PSME4 PSMD10 UBB PSMD7
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.894243274693682	0.962283523855158	0.186600742171697	0.765544123710524	39191	60	PSMD13 PSMD12 PSME2 UBE2D1 PSME4 PSMD10 UBB PSMD7
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.862090996212294	0.954981033102139	0.193213064825767	0.786876391452487	37781	58	PSMD13 PSMD12 PSME2 UBE2D1 PSME4 PSMD10 UBB PSMD7
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.892219125508293	0.962041840453274	0.187343667713394	0.765608562185241	39055	59	PSMD13 PSMD12 PSME2 UBE2D1 PSME4 PSMD10 UBB PSMD7
"reactome_ATF4 activates genes"	0.209990352663737	0.623671347411298	0.411193842017611	1.21758174984621	9794	16	ATF6 ATF4 EXOSC6 DIS3 DDIT3 ATF3 EXOSC7
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.784683810082857	0.9346661952037	0.209966356761013	0.82530890576939	34755	49	PSMD13 PSMD12 PSME2 PSME4 PSMD10 UBB HSPA8 PSMD7
"reactome_AURKA Activation by TPX2"	0.434657945432552	0.799326679991885	0.264710814821683	1.01042438775199	19403	43	NDE1 CEP63 CLASP1 SFI1 PAFAH1B1 CEP192 TUBB HAUS4 TUBA1A CSNK1E
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.524329341873202	0.848385188151978	-0.306641743444648	-0.950895018613693	28242	21	POLR2H POLR2A POLR2E NELFE POLR2J POLR2D NCBP1 NELFCD POLR2F
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.363088512241055	0.75562386071631	-0.379333713090453	-1.07364965143411	19279	15	NCSTN NUMB MIB2 UBC PSEN1 ADAM17 PSENEN
