pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.362350552278257	0.718013199258382	-0.274082991598489	-1.05527136552965	20699	52	PSMC5 PSMB9 PSMD4 PSMA5 PSMD13 RNF5 PSMB8 PSMA6 PSMA4 PSMB10
"reactome_ABC-family proteins mediated transport"	0.48844065974089	0.783636724899506	-0.245916544809691	-0.981257001136167	28162	62	PSMC5 PSMB9 EIF2S2 PSMD4 PSMA5 PSMD13 RNF5 PSMB8 PSMA6 PSMA4 PSMB10 ABCB8 ABCD3 PSMA7 PSMD14 ABCB7 PSMD8 PSME2 PSMD9 PSMC2 PSMB7
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.235189728065139	0.623458275692573	-0.290623500716869	-1.14438707619582	13517	58	PSMC5 PSMB9 PSMD4 PSMA5 ANAPC16 PTTG1 PSMD13 PSMB8 PSMA6 PSMA4 PSMB10 ANAPC5
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.203508771929825	0.594969042116727	-0.303124381288565	-1.17643816779359	11657	54	PSMC5 PSMB9 PSMD4 PSMA5 ANAPC16 PTTG1 PSMD13 PSMB8 PSMA6 PSMA4 PSMB10 ANAPC5
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.215690723448818	0.605932883654167	-0.299026434302811	-1.16469301022668	12357	55	PSMC5 PSMB9 PSMD4 PSMA5 ANAPC16 PTTG1 PSMD13 PSMB8 PSMA6 PSMA4 PSMB10 ANAPC5
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.203508771929825	0.594969042116727	-0.303124381288565	-1.17643816779359	11657	54	PSMC5 PSMB9 PSMD4 PSMA5 ANAPC16 PTTG1 PSMD13 PSMB8 PSMA6 PSMA4 PSMB10 ANAPC5
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.318512699659597	0.693124046755066	-0.279572355602543	-1.08503178923668	18245	54	PSMC5 PSMB9 PSMD4 PSMA5 ANAPC16 PSMD13 PSMB8 PSMA6 PSMA4 PSMB10 ANAPC5
"reactome_ATF4 activates genes"	0.987926097503146	0.996677055597106	-0.176307422718893	-0.501171645700083	54166	15	PARN EXOSC1
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.393454978878547	0.736034354022827	-0.271158252719387	-1.03607461696422	22446	50	PSMC5 PSMB9 PSMD4 PSMA5 PSMD13 HSPB1 PSMB8 PSMA6 PSMA4 PSMB10
"reactome_AURKA Activation by TPX2"	0.59299626065536	0.836095863455124	-0.253468621542971	-0.917885914240352	33460	39	TUBB DYNLL1 CEP78 AKAP9 DCTN3 CNTRL YWHAG DCTN1 CEP164 HAUS4 HAUS1 TUBB4B SSNA1 SDCCAG8
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.523155656467366	0.792327651330281	-0.306128857063524	-0.954394967678475	29031	21	POLR2L POLR2G NCBP1 POLR2A NELFCD GTF2F1 POLR2E POLR2I POLR2F GTF2F2
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.215690723448818	0.605932883654167	-0.299026434302811	-1.16469301022668	12357	55	PSMC5 PSMB9 PSMD4 PSMA5 ANAPC16 PTTG1 PSMD13 PSMB8 PSMA6 PSMA4 PSMB10 ANAPC5
"reactome_Activation of BH3-only proteins"	0.525665124349335	0.793519964782117	-0.309201855533056	-0.951602731291469	29083	20	DYNLL1 BCL2L11 YWHAH BID YWHAG YWHAQ BCL2
"reactome_Activation of HOX genes during differentiation"	0.577294259049774	0.827381051865179	-0.250850974628409	-0.928452970559703	32660	43	H2AFV POLR2L POLR2G HIST1H2BC H2AFX SUZ12 H2AFZ WDR5 POLR2A EZH2 CREBBP POLR2E POLR2I KMT2C POLR2F RBBP7
"reactome_Activation of NF-kappaB in B cells"	0.35891989763053	0.718013199258382	-0.269307660043361	-1.05683231348601	20615	57	PSMC5 PSMB9 PSMD4 PSMA5 PRKCB PSMD13 PSMB8 PSMA6 PSMA4 IKBKB PSMB10 PSMA7 PSMD14 NFKBIB PSMD8 PSME2 NFKBIA PSMD9 PSMC2 PSMB7
"reactome_Activation of NMDA receptors and postsynaptic events"	0.840415180019462	0.940622569845693	-0.23711331182954	-0.739230380795923	46637	21	DLG1 RPS6KA1 CAMK2D NRAS PRKAA1 MAPK1 PRKAR1B PRKAR2A
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.577294259049774	0.827381051865179	-0.250850974628409	-0.928452970559703	32660	43	H2AFV POLR2L POLR2G HIST1H2BC H2AFX SUZ12 H2AFZ WDR5 POLR2A EZH2 CREBBP POLR2E POLR2I KMT2C POLR2F RBBP7
"reactome_Activation of gene expression by SREBF (SREBP)"	0.598725830883008	0.838575952669808	0.296069552213175	0.899053200667485	26877	17	FASN TGS1 SREBF2 NCOA1 SC5D FDFT1 NFYC CYP51A1 IDI1 NCOA2 MED1
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	2.34153651626197e-05	0.0011343571410545	0.654815940929837	2.65897732580528	0	55	RPS4X PABPC1 RPS14 EIF4B RPS5 RPS27 RPS27A RPS12 RPS23 RPS8 RPS2 RPS13 RPS16 RPS25 RPS19 RPS9 RPSA RPS18 RPS6 RPS15A RPS7 RPS20 FAU RPS3 RPS3A RPS28 EIF2S3 EIF4H EIF3L EIF3F RPS11 RPS24 EIF3J EIF4A1 RPS29 EIF3A EIF3G EIF3E RPS21 EIF2S1 EIF3M
"reactome_Adaptive Immune System"	0.783068940839695	0.90920390997055	-0.174066336497158	-0.900884828108077	52521	381	PTEN SELL LAT PTPRC HERC5 PSMC5 SEC13 PSMB9 FBXO32 BTN3A2 CD3G PSMD4 SH3KBP1 NFATC3 ICAM2 PSMA5 GRB2 DYNLL1 VAMP8 AP2A2 FYB EVL LCP2 PRKCB PSMD13 STUB1 CSK PSMB8 CTSC PSMA6 UBE2V1 CYBA HUWE1 ACTR1A PSMA4 PTPN6 IKBKB PSMB10 AP1S2 SEC31A FBXO9 UBA5 ANAPC5 SEC24C THEM4 DCTN3 CLEC2B UBA3 ITGB2 DCTN1 TAB2 NPEPPS TRIM4 ITPR2 VASP HERC4 PSMA7 TRIM69 LRRC41 UBE2G1 HLA-DQA1 ERAP1 LCK PSMD14 AP2S1 SEC61A1 ANAPC1 PAK2 NFKBIB MTOR
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.0817482614102151	0.40198978033992	0.347742853045903	1.33712528008425	3549	43	DYNC1LI2 RPS27 RANBP2 NDE1 RANGAP1 NUP98 PPP2R5E CENPC PAFAH1B1 CLASP1 PPP2R1A PPP2R5C SKA2 DYNLL2
"reactome_Amplification of signal from the kinetochores"	0.0817482614102151	0.40198978033992	0.347742853045903	1.33712528008425	3549	43	DYNC1LI2 RPS27 RANBP2 NDE1 RANGAP1 NUP98 PPP2R5E CENPC PAFAH1B1 CLASP1 PPP2R1A PPP2R5C SKA2 DYNLL2
"reactome_Amyloid fiber formation"	0.112691093292143	0.464116398440152	0.375870338449099	1.31486961397201	4960	29	UBC RPS27A ITM2B UBA52 H3F3A GGA3 NCSTN SORL1 B2M
"reactome_Anchoring of the basal body to the plasma membrane"	0.753426829698016	0.899763511233499	-0.221352791659144	-0.83118328154442	42762	46	TUBB DYNLL1 CEP78 AKAP9 DCTN3 CNTRL YWHAG DCTN1 CEP164 HAUS4 HAUS1 TUBB4B SSNA1 SDCCAG8
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.429810371169228	0.761205514806539	0.315349161271344	1.01362434328373	19129	21	HSPA5 HLA-C HLA-B HLA-A CALR SEC23A SEC24A
"reactome_Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	0.541299219742334	0.805001178475906	-0.319517742713389	-0.940557952990077	29830	17	SH3KBP1 GRB2 PTPN6 ITPR2 ITPR1 CD79B
"reactome_Antigen processing-Cross presentation"	0.303695943392986	0.686079137283808	-0.266420658165479	-1.08883691560673	17682	70	PSMC5 PSMB9 PSMD4 PSMA5 VAMP8 PSMD13 PSMB8 PSMA6 CYBA PSMA4 IKBKB PSMB10 PSMA7 PSMD14 SEC61A1 PSMD8 PSME2 STX4 CTSS HLA-F PSMD9 PSMC2 SEC61B PSMB7
"reactome_Antigen processing: Ubiquitination & Proteasome degradation"	0.87515161103201	0.954102030482734	0.170616956905424	0.845116081368162	33190	172	UBC RPS27A UBE2B PSMD12 UBE2D3 RNF41 UBE3A UBE2F UBA52 RCHY1 UBE4A PJA2 PSMA3 RNF25 UBE2S PSMD3 RLIM ARIH2 UBE2E1 RNF34 LTN1 FBXO31 RNF115 PSME4 WWP1 HERC2 MGRN1 PSMD7 UBR2 PSMD6 MKRN1 UFL1 HECTD1 RNF126 ANAPC13 KEAP1 FBXL20 FBXW11 UBE2D2 RNF4 RNF6 GLMN UBA6 FBXW2 FBXL15 RNF220 CDC27 PSME1 BLMH PSMB1 UBE2L3 RNF111 TPP2 RNF7 RNF138 FBXO7 UBE2Z WSB1 RNF213 SOCS1 UBE2G2
"reactome_Antiviral mechanism by IFN-stimulated genes"	0.186525206426874	0.583758959369582	0.285435845777638	1.17616096070341	7928	59	UBC PPM1B RPS27A RANBP2 ARIH1 UBA52 NUP98 JAK1 PDE12 UBE2E1 KPNA2 EIF4G2 KPNB1 KPNA4 NUP54 MX2 EIF4A1
reactome_Apoptosis	0.0988667188098051	0.434370006300306	-0.280240671247752	-1.24484502267079	5940	113	PSMC5 TNFSF10 PSMB9 HMGB1 PSMD4 PSMA5 DYNLL1 PSMD13 BCL2L11 PSMB8 PSMA6 PSMA4 DNM1L PSMB10 YWHAH BID YWHAG TRADD HIST1H1E HIST1H1D PSMA7 DBNL FNTA PSMD14 DAPK3 PAK2 HMGB2 YWHAQ BAX BCL2 PSMD8 PSME2 STK24 CASP7 CFLAR PSMD9 PSMC2 PSMB7 LMNB1
"reactome_Apoptotic cleavage of cellular proteins"	0.836674356619706	0.938962568965808	0.236688463219323	0.740244755313556	37354	19	PRKCQ APC ROCK1 BIRC2
"reactome_Apoptotic execution phase"	0.27532732345997	0.656104508464481	-0.339036462616029	-1.13681054177884	15392	28	HMGB1 DNM1L HIST1H1E HIST1H1D DBNL FNTA PAK2 HMGB2 STK24 CASP7 LMNB1
"reactome_Aquaporin-mediated transport"	0.913002243338379	0.969135524585975	-0.229037445550692	-0.651062058212951	50058	15	GNG5 GNB2
"reactome_Asparagine N-linked glycosylation"	0.82058157394632	0.930111375338286	0.176608275805435	0.864741783024076	31520	158	DYNC1LI2 UBC RPS27A DCTN6 CSNK1D CD55 UBA52 RNF139 COPB1 MGAT1 ST6GALNAC6 BET1L CMAS GFPT1 ARF1 ALG13 CALR DPM1 PPP6R1 SEC23A MARCH6 SEC24A TFG ALG5 TMED9 PPP6C DYNLL2 ARCN1 MGAT5 TMED2 TSTA3 TRAPPC4 DERL2 SYVN1 GLB1 DERL1 ALG12 ARF4 TRIM13 MGAT2 SCFD1
"reactome_Assembly of the pre-replicative complex"	0.153091093933498	0.523550374916652	-0.322576187392221	-1.23253855061546	8733	50	MCM7 PSMC5 PSMB9 PSMD4 PSMA5 PSMD13 PSMB8 PSMA6 PSMA4 MCM3 PSMB10
"reactome_Association of TriC/CCT with target proteins during biosynthesis"	0.605542558934677	0.84087897628297	-0.285510263632742	-0.901628742742116	33649	22	NOP56 LONP2 CCT4 FBXW7 CCT8 DCAF7 CCT5
"reactome_Asymmetric localization of PCP proteins"	0.34940184211455	0.711633283119243	-0.285752494389563	-1.06781389736184	19801	45	PSMC5 PSMB9 PSMD4 PSMA5 PSMD13 PSMB8 PSMA6 PSMA4 PSMB10 PSMA7 PSMD14 PSMD8 PSME2 PSMD9 PSMC2 PSMB7
"reactome_Attenuation phase"	0.154096473557213	0.524451052955164	0.442527975451663	1.29616796898917	6960	15	DNAJB1 DNAJB6 DEDD2 HSPA1A HSPH1 HSPA8 EP300 HSP90AA1
"reactome_Autodegradation of Cdh1 by Cdh1:APC/C"	0.260262222766818	0.643741569974473	-0.293218031172423	-1.12894488763652	14867	52	PSMC5 PSMB9 PSMD4 PSMA5 ANAPC16 PSMD13 PSMB8 PSMA6 PSMA4 PSMB10 ANAPC5 PSMA7 PSMD14 PSMD8 PSME2 PSMD9 PSMC2 PSMB7
"reactome_Autodegradation of the E3 ubiquitin ligase COP1"	0.347704288382255	0.711633283119243	-0.284631925183199	-1.0687974424573	19734	46	PSMC5 PSMB9 PSMD4 PSMA5 PSMD13 PSMB8 PSMA6 PSMA4 PSMB10 PSMA7 PSMD14 PSMD8 PSME2 PSMD9 PSMC2 PSMB7
"reactome_Axon guidance"	2.7875341472933e-05	0.0011343571410545	0.4181571697463	2.16993752250509	0	244	PIK3R1 RPLP0 RPS4X UBC PABPC1 RPL10 RPL21 RPS14 RPS5 RPL3 RPS27 RPS27A RPS12 RPL30 RPS23 RPL35A RPS8 RPL13 RPL23A RPS2 RPL9 RPL27A RPL10A RPS13 EZR RPL11 RPLP1 RPL19 RPL15 RPL13A ABLIM1 RPL34 RPL17 EPHA4 RPS16 RPS25 RPL5 RPL24 RPS19 PSMD12 RPL4 GSPT1 RPS9 RPSA RPL7A RPL26 RPS18 RPS6 RPS15A RPS7 RPS20 FAU ETF1 RPL18 RPS3 CXCR4 RPL18A PRKCQ UBA52 RPL7 RPL31 RPL12 RPS3A RPLP2 RPL32 RPS28 PSMA3 IRS2 MYL12B RPL41 RPL6 RPL37A RPL8 SDCBP NCK1 DOK2
"reactome_B-WICH complex positively regulates rRNA expression"	0.164395077627531	0.541817910714252	-0.372691155883625	-1.24965684094008	9190	28	BAZ1B H2AFV POLR2L HIST1H2BC H2AFX DEK
"reactome_Base Excision Repair"	0.0116159335200072	0.135874686179866	-0.554093588480202	-1.68331258766825	642	19	LIG1 XRCC1 PCNA POLD4 RPA3 RFC1 PNKP RFC2 RPA2 POLD2 MPG POLE4
"reactome_Beta-catenin independent WNT signaling"	0.00763748320263995	0.105727581527926	-0.369451214602081	-1.55475709143923	448	82	RAC2 PSMC5 PSMB9 PLCB2 PSMD4 PDE6B PSMA5 PFN1 AP2A2 GNG5 TCF7 PRKCB PSMD13 PSMB8 PSMA6 PSMA4 PSMB10 GNB2 MYC LEF1 ITPR2 PSMA7 PSMD14 AP2S1 ITPR1 PSMD8 PSME2 PSMD9 PSMC2 PSMB7 AP2M1 AP2A1
"reactome_Biological oxidations"	0.236590989712664	0.623652891992836	-0.322028315784141	-1.15962799480138	13338	38	PAPSS1 DPEP2 GGCT UGP2 TPST2 MTR CNDP2 MAT2B TRMT112 GSS HSP90AB1
"reactome_Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"	0.157264995928707	0.529359928714495	0.369684513709643	1.25763282370946	6952	26	ST6GALNAC6 CMAS GFPT1 ALG13 DPM1 ALG5 TSTA3 GLB1 ALG12
"reactome_Budding and maturation of HIV virion"	0.049204637368563	0.313142651577972	0.463572492256762	1.49005743707637	2189	21	UBC RPS27A VPS37B CHMP7 UBA52 CHMP3 TSG101
"reactome_C-type lectin receptors (CLRs)"	0.157037539191594	0.529359928714495	-0.282093494241915	-1.19709093607559	9265	86	PSMC5 PSMB9 PSMD4 NFATC3 ICAM2 PSMA5 PSMD13 PSMB8 PSMA6 UBE2V1 PYCARD PSMA4 IKBKB PSMB10 UBA3 TAB2 ITPR2 PSMA7 PSMD14 PAK2 ITPR1 PSMD8 PSME2 NFKBIA NRAS PSMD9 PSMC2 PSMB7
"reactome_CD28 co-stimulation"	0.681859923399109	0.873071750541713	0.27094353614014	0.847377725495636	30442	19	PIK3R1 RICTOR CD28
"reactome_CDK-mediated phosphorylation and removal of Cdc6"	0.30219953141938	0.684988065151701	-0.283602657266092	-1.09623421088342	17283	53	PSMC5 PSMB9 PSMD4 PSMA5 ANAPC16 PSMD13 PSMB8 PSMA6 PSMA4 PSMB10 ANAPC5
"reactome_CDT1 association with the CDC6:ORC:origin complex"	0.357940730822087	0.718013199258382	-0.282834605105582	-1.06204847675011	20315	46	PSMC5 PSMB9 PSMD4 PSMA5 PSMD13 PSMB8 PSMA6 PSMA4 PSMB10 PSMA7 PSMD14 PSMD8 PSME2 PSMD9 PSMC2 PSMB7
"reactome_CLEC7A (Dectin-1) signaling"	0.170169468337979	0.55384744563934	-0.286903587901168	-1.19038088187199	9950	76	PSMC5 PSMB9 PSMD4 NFATC3 PSMA5 PSMD13 PSMB8 PSMA6 UBE2V1 PYCARD PSMA4 IKBKB PSMB10 UBA3 TAB2 ITPR2 PSMA7 PSMD14 ITPR1 PSMD8 PSME2 NFKBIA PSMD9 PSMC2 PSMB7
"reactome_COPI-dependent Golgi-to-ER retrograde traffic"	0.919957367439382	0.971043243527183	-0.197065442214026	-0.69186690214553	51788	34	NBAS KIF20B BNIP1 RAB1B GBF1 USE1 COPB2 KDELR1 COPZ1 RAB1A KLC1 COPG1
"reactome_COPI-independent Golgi-to-ER retrograde traffic"	0.784488181899883	0.90920390997055	0.244006147163664	0.784307050885559	34915	21	DYNC1LI2 DCTN6 PAFAH1B1 DYNLL2 RAB3GAP1 RAB18 CAPZA2 DCTN4 CAPZA1 DCTN2
"reactome_COPI-mediated anterograde transport"	0.990540965835577	0.99722680044071	-0.153488662196544	-0.593293180341079	56652	53	CD59 DYNLL1 COG5 ACTR1A COG3 DCTN3 DCTN1 RAB1B
