pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0526497468604116	0.316339853356799	-0.366581675964612	-1.39198841853721	3202	55	PSME2 PSMD3 PSMB9 PSMC4 PSMD10 PSMB10 PSMA4 PSMC3 PSMB6 PSMD4 DERL1 PSMF1 PSMA6 PSME1 PSME3 PSMB8 PSMD9 PSMD12 RNF5 PSMC6 DERL2 PSMD2 PSMA7 PSMA1 PSMC5
"reactome_ABC-family proteins mediated transport"	0.0759777076219316	0.370111561780014	-0.328828188976727	-1.3175887296706	4716	73	PSME2 PSMD3 PSMB9 PSMC4 PSMD10 EIF2S2 PSMB10 PSMA4 ABCF1 PSMC3 PSMB6 PSMD4 EIF2S1 DERL1 PSMF1 PSMA6 PSME1 PSME3 PSMB8 PEX3 PSMD9 PSMD12 RNF5 PSMC6 ABCD3 DERL2 PSMD2 PSMA7 PSMA1 PSMC5 ABCB4 PSMD8
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.277738565782044	0.682413982865437	0.360444429032508	1.13697277508434	11804	20	RPS27A UBA52 ANAPC15 UBC CDC23
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.020325006063546	0.194698686133114	-0.373897682053448	-1.48219933672	1256	69	PSME2 PSMD3 FBXO5 PSMB9 PSMC4 PSMD10 PSMB10 PSMA4 PSMC3 ANAPC16 PSMB6 PSMD4 SKP1 ANAPC7 PSMF1 ANAPC2 PSMA6 PSME1 UBE2E1 PSME3 PSMB8 PSMD9 PSMD12 BUB3
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.237136047109408	0.642311603463586	0.385948850874657	1.18325479069106	10147	18	RPS27A UBA52 ANAPC15 UBC CDC23
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0329317400022824	0.246974882145732	-0.37342249742482	-1.44304033385415	2019	60	PSME2 PSMD3 PSMB9 PSMC4 PSMD10 PSMB10 PSMA4 PSMC3 ANAPC16 PSMB6 PSMD4 ANAPC7 PSMF1 ANAPC2 PSMA6 PSME1 UBE2E1 PSME3 PSMB8 PSMD9 PSMD12 PSMC6 PSMD2 PSMA7 PSMA1 ANAPC11 PSMC5
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.027504559666493	0.225637928125642	-0.376270783037796	-1.46295229330116	1688	62	PSME2 PSMD3 PSMB9 PSMC4 PSMD10 PSMB10 PSMA4 PSMC3 ANAPC16 PSMB6 PSMD4 ANAPC7 PSMF1 ANAPC2 PSMA6 PSME1 UBE2E1 PSME3 PSMB8 PSMD9 PSMD12 BUB3 PSMC6 PSMD2 PSMA7 PSMA1 ANAPC11 PSMC5
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0381383533090151	0.272962884047666	-0.365875209321846	-1.42253398528067	2341	62	PSME2 PSMD3 PSMB9 PSMC4 PSMD10 PSMB10 PSMA4 PSMC3 ANAPC16 PSMB6 PSMD4 ANAPC7 PSMF1 ANAPC2 PSMA6 PSME1 UBE2E1 PSME3 PSMB8 PSMD9 PSMD12 PSMC6 PSMD2 PSMA7 PSMA1 ANAPC11 PSMC5 PSMD8 FZR1 PSMD6
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0264383160225312	0.222632072283994	-0.378992345227379	-1.46934728686449	1623	61	PSME2 PSMD3 PSMB9 PSMC4 PSMD10 PSMB10 PSMA4 PSMC3 ANAPC16 PSMB6 PSMD4 ANAPC7 PSMF1 ANAPC2 PSMA6 PSME1 UBE2E1 PSME3 PSMB8 PSMD9 PSMD12 BUB3 PSMC6 PSMD2 PSMA7 PSMA1 ANAPC11 PSMC5
"reactome_ATF4 activates genes"	0.00636046087273865	0.0989335052581427	-0.568677393493379	-1.72813423300711	365	21	NFYC EXOSC8 PARN IL8 ATF4 ATF6 EXOSC5 DDIT3 ATF3 NFYA
