pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.716941833883668	0.940260865440799	-0.226655444190804	-0.859251759890929	42338	55	PSMB9 RNF185 PSME2 PSMB10 PSMB3 DERL1 PSME1 PSMA6 PSMA4 PSMA7 PSMD8 PSMC4 PSMB8 PSMC5 PSMD1 PSMD11 UBB
"reactome_ABC-family proteins mediated transport"	0.447921493347455	0.851240097240097	-0.249891914436304	-1.0031864206385	27066	74	PSMB9 RNF185 PSME2 PSMB10 PSMB3 DERL1 EIF2S1 PSME1 PSMA6 ABCC1 PSMA4 ABCA5 PEX19 PEX3 ABCD1 PSMA7 PSMD8 PSMC4 PSMB8 ABCD2 PSMC5 ABCC4 ABCB9 PSMD1 PSMD11 UBB
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.0862525690796986	0.492479916860501	0.444226650725008	1.39093357621609	3776	20	RPS27A ANAPC15 UBA52 UBC
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.525940131743517	0.88374968014768	-0.243068217910859	-0.96293436416862	31537	69	PSMB9 PSME2 CDK2 PSMB10 PSMB3 CDC14A PSME1 PSMA6 SKP1 PSMA4 PSMA7 BTRC PSMD8 ANAPC11 CDC26 CDC16 PSMC4 PSMB8 PSMC5 PSMD1 CDC27 PSMD11 UBB MAD2L1 ANAPC7 PSMF1 ANAPC5 PSMD2
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.0775513908426737	0.471844145525397	0.465744264657375	1.41813559936965	3417	18	RPS27A ANAPC15 UBA52 UBC
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.888015783349915	0.986061022448421	-0.195889915727566	-0.755546219551487	52661	60	PSMB9 PSME2 PSMB10 PSMB3 PSME1 PSMA6 PSMA4 PSMA7 PSMD8 ANAPC11 CDC26 CDC16 PSMC4 PSMB8 PSMC5 PSMD1 CDC27 PSMD11 UBB
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.858962280022881	0.979595386858221	-0.201170557313499	-0.780747000629997	51054	62	PSMB9 PSME2 PSMB10 PSMB3 PSME1 PSMA6 PSMA4 PSMA7 PSMD8 ANAPC11 CDC26 CDC16 PSMC4 PSMB8 PSMC5 PSMD1 CDC27 PSMD11 UBB MAD2L1 ANAPC7 PSMF1 ANAPC5 PSMD2
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.902217436656684	0.986779527637065	-0.192575759552904	-0.747390416733135	53625	62	PSMB9 PSME2 PSMB10 PSMB3 PSME1 PSMA6 PSMA4 PSMA7 PSMD8 ANAPC11 CDC26 CDC16 PSMC4 PSMB8 PSMC5 PSMD1 CDC27 PSMD11 UBB
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.811931703374419	0.972718282353677	-0.209280041569136	-0.809845571059389	48218	61	PSMB9 PSME2 PSMB10 PSMB3 PSME1 PSMA6 PSMA4 PSMA7 PSMD8 ANAPC11 CDC26 CDC16 PSMC4 PSMB8 PSMC5 PSMD1 CDC27 PSMD11 UBB MAD2L1 ANAPC7 PSMF1 ANAPC5 PSMD2
"reactome_ATF4 activates genes"	0.775413874881997	0.958551560059885	0.246880877151249	0.793262340326633	33676	22	NFYA EXOSC7 EXOSC9 KHSRP DDIT3
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.906097291038804	0.986779527637065	-0.196076955914267	-0.729618758025798	53215	50	PSMB9 PSME2 PSMB10 PSMB3 PSME1 PSMA6 PSMA4 PSMA7 PSMD8 PSMC4 PSMB8 PSMC5 PSMD1 PSMD11 UBB
"reactome_AURKA Activation by TPX2"	0.873423278904443	0.982231595301475	-0.199866325628521	-0.765662764172859	51724	58	CEP76 SSNA1 CKAP5 CEP192 TUBB FGFR1OP CEP135 CCP110 PCNT YWHAG DYNC1H1 CNTRL CEP63 CDK5RAP2 HAUS6 CEP290 CLASP1 DCTN1 CEP78 CENPJ CEP164 ALMS1 PPP2R1A
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.796435725633764	0.965958189322878	0.242473948621662	0.779102270582184	34589	22	NELFB POLR2D POLR2K SUPT5H POLR2B NCBP1 POLR2A
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.45952770952771	0.854739635761397	0.32140187441554	0.993369173830099	20198	19	RPS27A UBA52 UBC APH1B APH1A NEURL1
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.152684450637122	0.600968892199666	0.438996398810058	1.2935793424034	6793	16	HIST1H2BN HIST1H3A H3F3A HIST2H2AC
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.858962280022881	0.979595386858221	-0.201170557313499	-0.780747000629997	51054	62	PSMB9 PSME2 PSMB10 PSMB3 PSME1 PSMA6 PSMA4 PSMA7 PSMD8 ANAPC11 CDC26 CDC16 PSMC4 PSMB8 PSMC5 PSMD1 CDC27 PSMD11 UBB MAD2L1 ANAPC7 PSMF1 ANAPC5 PSMD2
"reactome_Activation of ATR in response to replication stress"	0.355672813968165	0.805921218679419	-0.334209698915468	-1.07326657972472	20288	26	RFC2 CDK2 ORC4 MCM3 RPA1 ORC3 RFC4
"reactome_Activation of BH3-only proteins"	0.601706838888248	0.91023229452949	0.278314801727715	0.905192726420839	26086	23	PPP3CC MAPK8 YWHAZ YWHAE YWHAB AKT3 TP53BP2
"reactome_Activation of E2F1 target genes at G1/S"	0.187552867915699	0.651416464736332	-0.450083258813155	-1.25200316505668	10420	15	RBBP4 E2F4 E2F6 HDAC1 LIN9 TFDP1 DHFR
"reactome_Activation of HOX genes during differentiation"	0.761442722885446	0.952970941739193	-0.220019712776225	-0.834095673671616	44966	55	ASH2L RBBP4 NCOA6 KDM6A HIST1H2AC HIST1H2BK EZH2 PKNOX1 NCOA3 POLR2J EED
"reactome_Activation of NF-kappaB in B cells"	0.341431407517077	0.798317704086289	-0.274787163171864	-1.0664545365042	20293	62	PSMB9 NFKBIE PSME2 PSMB10 PSMB3 PSME1 CARD11 PSMA6 SKP1 PSMA4 NFKBIA FBXW11 PSMA7 BTRC PSMD8 PSMC4 PSMB8 NFKB1 PSMC5 CHUK PSMD1 PSMD11 UBB MALT1
"reactome_Activation of NMDA receptors and postsynaptic events"	0.0732338214006028	0.462514742761982	0.374322921185257	1.37066147497459	3085	37	RPS6KA3 ARHGEF7 PRKAR1A CAMK4 CALM1 PRKAB1 RPS6KA2 DLG4 PRKAG1 KPNA2
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.761442722885446	0.952970941739193	-0.220019712776225	-0.834095673671616	44966	55	ASH2L RBBP4 NCOA6 KDM6A HIST1H2AC HIST1H2BK EZH2 PKNOX1 NCOA3 POLR2J EED
"reactome_Activation of gene expression by SREBF (SREBP)"	0.651659955411921	0.931196090434665	-0.25310122491774	-0.883877898072444	37706	37	HELZ2 NCOA6 NCOA1 SQLE MED1 GGPS1 MVK MTF1 FDPS SREBF2 MVD ACACB TBL1XR1 CARM1 DHCR7 SREBF1 FDFT1 HMGCR PPARA
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	2.44672261505713e-05	0.00115123211639574	0.8032104980175	3.23280912375043	0	57	RPS3A RPS5 RPS3 RPS27A EIF3K RPS15A RPS9 RPS13 EIF4B RPS23 RPS14 RPS21 RPS27 RPS6 RPS25 EIF3F EIF3L RPS16 RPS19 RPS12 RPS7 RPS8 EIF3H RPS20 RPS4X RPS28 FAU RPS18 EIF3E EIF4A1 EIF3D RPS15 RPSA RPS26 RPS10 RPS29 EIF3M RPS11 EIF4H EIF2S3
"reactome_Activation of the pre-replicative complex"	0.165497723637259	0.620341650635987	-0.395665115911703	-1.25868938721896	9414	25	POLE3 CDK2 ORC4 MCM3 RPA1 ORC3 PRIM1
"reactome_Amino acid synthesis and interconversion (transamination)"	0.634277299908417	0.92781558357365	-0.305158380428442	-0.877353033851512	35320	17	PYCRL SERINC3 GOT2 GLUD1 GLUL
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.978221294363257	0.997976394417513	-0.166118460716433	-0.656302497819135	58570	68	CENPP CKAP5 SPDL1 SKA2 NUDC CLIP1
"reactome_Amplification of signal from the kinetochores"	0.978221294363257	0.997976394417513	-0.166118460716433	-0.656302497819135	58570	68	CENPP CKAP5 SPDL1 SKA2 NUDC CLIP1
"reactome_Amyloid fiber formation"	0.0736847101260115	0.462871392511464	0.374050998069962	1.36966577175366	3104	37	RPS27A SORL1 HIST1H2BN HIST1H3A UBA52 H3F3A HIST2H2AC SIAH1 UBC SIAH2 APP APH1B
"reactome_Anchoring of the basal body to the plasma membrane"	0.847190158960491	0.97494982963083	-0.197241929927518	-0.799340094654622	51376	78	CEP76 SSNA1 CKAP5 FBF1 CEP192 TUBB TMEM216 FGFR1OP CEP135 SEPT2 CCP110 PCNT YWHAG DYNC1H1 CNTRL RAB3IP CEP63 CDK5RAP2 IQCB1 HAUS6 SCLT1 CEP290 CLASP1 AHI1 DCTN1 CEP78 TMEM67 CENPJ CEP164 ALMS1 PPP2R1A
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.00102526029237595	0.0258023840247948	-0.618240451415486	-1.90606786253847	57	22	TAP1 HLA-E HLA-C HLA-A HLA-F TAPBP HLA-B
"reactome_Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	0.599918686252674	0.909970649375117	-0.292884088235844	-0.902977064598526	33937	22	CD79A DAPP1 CD79B ITPR1 SOS1 ORAI1 LYN ITPR2 VAV1
"reactome_Antigen processing-Cross presentation"	0.00884183488655448	0.142585317927835	-0.376734029781792	-1.53998050475991	536	82	TAP1 PSMB9 HLA-E VAMP8 HLA-C HLA-A TLR1 HLA-F TAPBP HLA-B PSME2 PSMB10 PSMB3 MYD88 CTSS LY96 PSME1 NCF4 PSMA6 SNAP23 PSMA4 PSMA7 PSMD8 CD14 CALR PSMC4 PSMB8 PSMC5 LNPEP CTSL CHUK PSMD1 PSMD11 UBB PDIA3
"reactome_Antigen processing: Ubiquitination & Proteasome degradation"	0.120520300035719	0.548449913313229	-0.246423929899152	-1.17524681611082	8097	241	TRIM69 UBE2L6 DTX3L HERC6 PSMB9 RBX1 RBCK1 RNF213 PSME2 ANAPC13 PSMB10 HERC5 PSMB3 FBXO6 VHL MGRN1 BTBD6 SOCS1 HERC4 RNF144B PSME1 FBXW2 BTBD1 UBE2W UBE2G2 FBXL8 UBE2F UBE2Z PSMA6 FBXO31 SOCS3 FBXW7 AREL1 SKP1 PSMA4 FBXO22 TRIM37 FBXW11 UBE2D3 PSMA7 KBTBD7 BTRC UBA5 PSMD8 TRIM32 UBE2V2 ANAPC11 FBXW5 UBE2Q2 CDC26 CDC16 PSMC4 CUL3 PSMB8 PSMC5 LNPEP KLHL5 SMURF1 UBE2D4 TPP2 FBXO32 KLHL21 PSMD1 UBE2L3 CDC27 UNKL PSMD11 UBB UBA7 SMURF2
"reactome_Antiviral mechanism by IFN-stimulated genes"	1.65390404048757e-05	0.00115123211639574	-0.521658990478871	-2.09852548282219	0	75	ISG15 OAS1 MX1 EIF2AK2 MX2 OAS2 TRIM25 UBE2L6 OAS3 DDX58 USP18 STAT1 TPR IRF3 KPNA3 HERC5
reactome_Apoptosis	0.068951396982392	0.448251547505883	-0.287488009115439	-1.27386214344424	4377	137	TRADD PSMB9 BCL2L1 TNFSF10 PSME2 PSMB10 CASP8 CFLAR PSMB3 FAS DFFA PAK2 PRKCD CASP6 BCL2 LY96 PSME1 PRKCQ XIAP SATB1 APC APIP BCL2L11 PSMA6 PTK2 PSMA4 SPTAN1 PSMA7 PSMD8 CD14 TICAM1 PSMC4 OMA1 YWHAG DBNL PSMB8 PSMC5 APPL1
"reactome_Apoptotic cleavage of cellular proteins"	0.0420851942733066	0.348334163349159	-0.48185547727862	-1.50193022778922	2383	23	CASP8 PRKCD CASP6 PRKCQ SATB1 APC PTK2 SPTAN1 DBNL CASP7
"reactome_Apoptotic execution phase"	0.14115693329643	0.585696841124275	-0.365089094557469	-1.26669720403613	8159	36	CASP8 DFFA PAK2 PRKCD CASP6 PRKCQ SATB1 APC PTK2 SPTAN1 DBNL CASP7 KPNB1
"reactome_Aquaporin-mediated transport"	0.145437219222217	0.591421768243752	0.425378037930814	1.29522526535776	6409	18	PRKAR1A ADCY7 GNG10 AQP9 RAB11A
