pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.364437388370709	0.814120651001397	-0.289522673275452	-1.05703908887607	18363	39	PSMA6 PSMB2 PSMD4 PSMC6 PSMB9 PSMA3 PSME3 PSMC3 SEL1L PSME2 PSMD7 PSMA7 VCP PSMB6 PSMD8 UBC
"reactome_ABC-family proteins mediated transport"	0.46276173857868	0.880407689424193	-0.266373569655787	-0.99391255781773	23337	43	PSMA6 PSMB2 PSMD4 PSMC6 PSMB9 PSMA3 PSME3 PSMC3 SEL1L PSME2 PSMD7 PSMA7 VCP PSMB6 PSMD8 UBC
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.68292054175177	0.94572592774482	-0.234078263203584	-0.869276116979012	34438	42	PSMA6 PSMB2 PSMD4 PSMC6 PSMB9 PSMA3 PSME3 PSMC3 PSME2 PSMD7 PSMA7 PSMB6 PSMD8 UBC
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.545028775550705	0.900668763942958	-0.258811528197573	-0.944913567084633	27463	39	PSMA6 PSMB2 PSMD4 PSMC6 PSMB9 PSMA3 PSME3 PSMC3 PSME2 PSMD7 PSMA7 PSMB6 PSMD8 UBC
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.547157430054286	0.900668763942958	-0.257108563469013	-0.943602286678053	27515	40	PSMA6 PSMB2 PSMD4 PSMC6 PSMB9 PSMA3 PSME3 PSMC3 PSME2 PSMD7 PSMA7 PSMB6 PSMD8 UBC
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.545028775550705	0.900668763942958	-0.258811528197573	-0.944913567084633	27463	39	PSMA6 PSMB2 PSMD4 PSMC6 PSMB9 PSMA3 PSME3 PSMC3 PSME2 PSMD7 PSMA7 PSMB6 PSMD8 UBC
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.547157430054286	0.900668763942958	-0.257108563469013	-0.943602286678053	27515	40	PSMA6 PSMB2 PSMD4 PSMC6 PSMB9 PSMA3 PSME3 PSMC3 PSME2 PSMD7 PSMA7 PSMB6 PSMD8 UBC
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.461373262542504	0.880407689424193	-0.270599510460371	-0.993114789329613	23201	40	HNRNPD PSMA6 PSMB2 PSMD4 PSMC6 PSMB9 PSMA3 PSME3 PSMC3 PSME2 PSMD7 PSMA7 PSMB6 PSMD8 UBC
"reactome_AURKA Activation by TPX2"	0.847107354864675	0.978313679153614	0.228830591709961	0.737535313541305	42096	23	YWHAE TUBA4A DCTN2 TUBB4B DCTN3
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.547157430054286	0.900668763942958	-0.257108563469013	-0.943602286678053	27515	40	PSMA6 PSMB2 PSMD4 PSMC6 PSMB9 PSMA3 PSME3 PSMC3 PSME2 PSMD7 PSMA7 PSMB6 PSMD8 UBC
