pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0957982476103778	0.450340115248785	-0.352991778001928	-1.3067373824001	6734	56	PSMA4 PSMB9 ERLEC1 PSMC2 PSMD1 PSMC6 PSMB8 PSMB3 PSMA3 PSMC4 PSME2 PSMA5 PSMA6 PSMB2 PSMB10 DERL3 DERL1 VCP PSMD11 PSMC3 RNF185 PSME4 ERLIN2
"reactome_ABC-family proteins mediated transport"	0.062109922740645	0.371616478366767	-0.343583180423557	-1.34294933885183	4517	76	PSMA4 PSMB9 ERLEC1 EIF2S1 PSMC2 PSMD1 PSMC6 PSMB8 ABCB8 PSMB3 PSMA3 PSMC4 ABCC10 ABCC1 PSME2 PSMA5 PSMA6 PSMB2 ABCA2 ABCF1 PSMB10 DERL3 DERL1 VCP PSMD11 ABCD3 ABCA7 ABCD1 PSMC3 RNF185 PSME4 ERLIN2
"reactome_ADP signalling through P2Y purinoceptor 1"	0.36128412456969	0.756047951005662	-0.388651040612313	-1.08030235173042	22563	16	GNGT2 GNB5 GNG5 SRC GNG11 MAPK14 GNG7
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.0371930208390308	0.279378312323499	0.482582519505694	1.54502331860414	1359	19	RPS27A ANAPC15 ANAPC5 UBA52 ANAPC16
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.198966695369573	0.601408016210281	-0.306470442148843	-1.17833459233963	14325	69	PSMA4 PSMB9 CUL1 PSMC2 PSMD1 PSMC6 PSMB8 PSMB3 PSMA3 PSMC4 CDC26 PSME2 PSMA5 PSMA6 PSMB2 ANAPC10 PSMB10 CDC27 ANAPC7
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.0326515089778068	0.26179906524228	0.497841847340615	1.56811765845426	1201	18	RPS27A ANAPC15 ANAPC5 UBA52 ANAPC16
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.189670022450334	0.595039187856657	-0.318005512539199	-1.19169329809132	13432	60	PSMA4 PSMB9 PSMC2 PSMD1 PSMC6 PSMB8 PSMB3 PSMA3 PSMC4 CDC26 PSME2 PSMA5 PSMA6 PSMB2 ANAPC10 PSMB10 CDC27 ANAPC7
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.201073481347909	0.602376306842436	-0.313863492774822	-1.18005955215418	14272	61	PSMA4 PSMB9 PSMC2 PSMD1 PSMC6 PSMB8 PSMB3 PSMA3 PSMC4 CDC26 PSME2 PSMA5 PSMA6 PSMB2 ANAPC10 PSMB10 CDC27 ANAPC7
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.222206625491297	0.631739633269281	-0.306861202229081	-1.16078935772407	15829	63	PSMA4 PSMB9 PSMC2 PSMD1 PSMC6 PSMB8 PSMB3 PSMA3 PSMC4 CDC26 PSME2 PSMA5 PSMA6 PSMB2 ANAPC10 PSMB10 CDC27 ANAPC7
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.197379382404021	0.60038332175409	-0.316188341449317	-1.1848836343468	13978	60	PSMA4 PSMB9 PSMC2 PSMD1 PSMC6 PSMB8 PSMB3 PSMA3 PSMC4 CDC26 PSME2 PSMA5 PSMA6 PSMB2 ANAPC10 PSMB10 CDC27 ANAPC7
"reactome_ATF4 activates genes"	0.560202827767495	0.877052957206854	-0.306294750512865	-0.933691394041136	36015	23	CCL2 EXOSC9 EXOSC1 EXOSC4
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.173457642725599	0.573583752775658	-0.335766941749721	-1.21624435027479	12055	50	PSMA4 PSMB9 HSPB1 PSMC2 PSMD1 PSMC6 PSMB8 PSMB3 PSMA3 PSMC4 PSME2 PSMA5 PSMA6 PSMB2
"reactome_AURKA Activation by TPX2"	0.550089660138656	0.873981279232063	-0.253107095502531	-0.948493084290626	38958	60	SFI1 CNTRL DYNLL1 NEDD1 TUBB4B HAUS3 CEP290 CEP152 CKAP5 HSP90AA1 CCP110 TUBA1A DYNC1I2 CSNK1D YWHAG CEP63 CEP164 CEP250 YWHAE OFD1 CEP135 CENPJ HAUS1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.620315636850323	0.901020466598356	0.268936273684913	0.895813750521719	22246	22	POLR2E POLR2G POLR2J POLR2L
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.332561900513049	0.735090605641248	0.324376722581582	1.08048321059953	11926	22	RPS27A UBA52 APH1A ARRB2
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.401491266788574	0.789039297243548	-0.359345259881732	-1.0453239018749	25468	19	H2AFJ HIST1H2AC PKN1 HIST1H2BN HIST1H2BD HIST2H2BE HIST1H2BK KDM4C HIST1H3A NCOA2
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.201073481347909	0.602376306842436	-0.313863492774822	-1.18005955215418	14272	61	PSMA4 PSMB9 PSMC2 PSMD1 PSMC6 PSMB8 PSMB3 PSMA3 PSMC4 CDC26 PSME2 PSMA5 PSMA6 PSMB2 ANAPC10 PSMB10 CDC27 ANAPC7
"reactome_Activation of ATR in response to replication stress"	0.983142449105318	0.999144405632579	0.167418884753811	0.564468649239347	35108	23	RPA1 RAD1 RAD17 ORC5 HUS1 RPA2 ORC2 ORC4 MCM7 RFC3 MCM5 DBF4
"reactome_Activation of BH3-only proteins"	0.592273283080781	0.890391188914673	-0.296346434369865	-0.912614233259614	38264	24	AKT3 DYNLL1 YWHAH BCL2 PPP3CC BCL2L11 YWHAG YWHAQ YWHAE
"reactome_Activation of E2F1 target genes at G1/S"	0.344418929975981	0.741186213603318	0.361455542589837	1.07941761168901	13048	15	RBBP4 RBL2 DHFR TFDP1 HDAC1 LIN37 E2F6 POLA1
"reactome_Activation of HOX genes during differentiation"	0.306042016518729	0.718086415385473	0.254153944220196	1.07646602643278	8929	60	YY1 H3F3A POLR2E POLR2G RBBP4 HIST2H2AC HDAC3 POLR2J POLR2L CTCF RARA
"reactome_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	0.552717956928989	0.874746471530934	-0.336530159444716	-0.935426088409707	34519	16	IRF7 LY96 IRF3 IKBKE
"reactome_Activation of NF-kappaB in B cells"	0.143370336977347	0.534765756667213	-0.32946434925343	-1.23871543323996	10176	61	PSMA4 PSMB9 CUL1 IKBKG PSMC2 PSMD1 PSMC6 PSMB8 PSMB3 PSMA3 PSMC4 PSME2 PSMA5 PSMA6 PSMB2 PSMB10 NFKBIB FBXW11 PSMD11 PSMC3 NFKBIE PSME4
"reactome_Activation of NMDA receptors and postsynaptic events"	0.932900834105653	0.994188820709559	0.183862530814431	0.707852575162717	30197	39	NRG1 NRGN CAMK2G PRKAR2A RPS6KA3 PDPK1
