pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.444670527469088	0.876700541763836	-0.24991131974288	-1.00240326213153	17045	50	PSMB9 PSME2 PSMA3 PSME1 PSMB5 PSMB8 PSMB10 UBC PSMB6 PSMD3 PSMD1 PSMB7 PSMA5 PSMD9 PSMD7 DERL1 PSMD2 PSMD11 PSMC5 PSMB4 PSMD4
"reactome_ABC-family proteins mediated transport"	0.686968611304208	0.982550671618142	-0.212950908380338	-0.886749776363459	25693	60	PSMB9 PSME2 PSMA3 PSME1 PSMB5 PSMB8 ABCC1 PSMB10 UBC PSMB6 EIF2S1 PSMD3 PSMD1 PSMB7 PSMA5 PSMD9 PSMD7
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.641284292931906	0.959151422192289	0.311097225833695	0.871676685479	37189	15	UBE2D1 RPS27A UBB UBE2E1 CDC27 ANAPC11 BUB3 ANAPC5
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.624006189637693	0.949546174551646	-0.220547561659853	-0.915291790061922	23388	59	PSMB9 PSME2 CDC26 PSMA3 PSME1 PSMB5 PSMB8 PSMB10 UBC PSMB6 PSMD3 PSMD1 ANAPC16 PSMB7 CDC16 PSMA5 PSMD9 PSMD7
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.3895465595603	0.846550087589992	-0.252305103139428	-1.03259468109604	14741	55	PSMB9 PSME2 CDC26 PSMA3 PSME1 PSMB5 PSMB8 PSMB10 UBC PSMB6 PSMD3 PSMD1 ANAPC16 PSMB7 CDC16 PSMA5 PSMD9 PSMD7
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.441521009069995	0.875366293870444	-0.2441416453368	-1.00331614498854	16696	56	PSMB9 PSME2 CDC26 PSMA3 PSME1 PSMB5 PSMB8 PSMB10 UBC PSMB6 PSMD3 PSMD1 ANAPC16 PSMB7 CDC16 PSMA5 PSMD9 PSMD7
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.3895465595603	0.846550087589992	-0.252305103139428	-1.03259468109604	14741	55	PSMB9 PSME2 CDC26 PSMA3 PSME1 PSMB5 PSMB8 PSMB10 UBC PSMB6 PSMD3 PSMD1 ANAPC16 PSMB7 CDC16 PSMA5 PSMD9 PSMD7
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.311409998943029	0.805550717186949	-0.263752095102343	-1.07944313112093	11784	55	PSMB9 PSME2 CDC26 PSMA3 PSME1 PSMB5 PSMB8 PSMB10 UBC PSMB6 PSMD3 PSMD1 ANAPC16 PSMB7 CDC16 PSMA5 PSMD9 PSMD7
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0829499077179027	0.47506027935384	-0.332750210996399	-1.32245285940375	3190	48	PSMB9 PSME2 PSMA3 PSME1 PSMB5 HNRNPD PSMB8 PSMB10 UBC PSMB6 PSMD3 PSMD1 PSMB7 PSMA5 PSMD9 PSMD7
"reactome_AURKA Activation by TPX2"	0.813245033112583	0.999919246298789	-0.210405050679411	-0.797736031476339	31927	39	DCTN1 OFD1 PCNT SSNA1 CKAP5
