pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.910048134777377	0.994549822944553	0.180281351992418	0.750269742399444	30249	53	OS9 DERL3 RPS27A PSMB4 DERL1 PSMD3 ERLEC1 PSMD6 PSMA3 PSMB1 PSMC3 UBC PSMF1 DERL2 PSMD4 PSMD13 PSMD7 PSMD12
"reactome_ABC-family proteins mediated transport"	0.884326959130109	0.991111691142164	0.18193888820376	0.781607962276021	28301	62	OS9 DERL3 RPS27A ABCB8 PSMB4 DERL1 PSMD3 ERLEC1 PSMD6 PSMA3 PSMB1 PSMC3 UBC ABCC4 PSMF1 DERL2 PSMD4 PSMD13 PSMD7 PSMD12
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.542256029307011	0.916738375289545	0.295231421032649	0.935556044317119	21314	18	ANAPC15 RPS27A ANAPC5 UBC ANAPC10 CDC16
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.865399295361127	0.991111691142164	-0.197488265201665	-0.766930735455547	58950	63	PSMD14 PSMA1 PSMD1 PSMB8 PSMB9 PSME1 CDC26 PSMB7 PSMA6 PSMD5 PSMB3 ANAPC7 PSMD10 PSMB2 PSMC1 PSMA7 ANAPC2 SKP1 ANAPC4 PSMC6 PSME2
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.521518155153232	0.915866084483415	0.304017261084436	0.946734537350553	20624	17	ANAPC15 RPS27A ANAPC5 UBC ANAPC10 CDC16
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.872646945831733	0.991111691142164	-0.197804020537047	-0.758730511749751	59058	59	PSMD14 PSMA1 PSMD1 PSMB8 PSMB9 PSME1 CDC26 PSMB7 PSMA6 PSMD5 PSMB3 ANAPC7 PSMD10 PSMB2 PSMC1 PSMA7 ANAPC2 ANAPC4 PSMC6 PSME2
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.881995815036397	0.991111691142164	-0.195513097236345	-0.752553710913431	59853	60	PSMD14 PSMA1 PSMD1 PSMB8 PSMB9 PSME1 CDC26 PSMB7 PSMA6 PSMD5 PSMB3 ANAPC7 PSMD10 PSMB2 PSMC1 PSMA7 ANAPC2 ANAPC4 PSMC6 PSME2
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.872646945831733	0.991111691142164	-0.197804020537047	-0.758730511749751	59058	59	PSMD14 PSMA1 PSMD1 PSMB8 PSMB9 PSME1 CDC26 PSMB7 PSMA6 PSMD5 PSMB3 ANAPC7 PSMD10 PSMB2 PSMC1 PSMA7 ANAPC2 ANAPC4 PSMC6 PSME2
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.852433582552676	0.989597895381607	-0.201672621590241	-0.77356957138502	57690	59	PSMD14 PSMA1 PSMD1 PSMB8 PSMB9 PSME1 CDC26 PSMB7 PSMA6 PSMD5 PSMB3 ANAPC7 PSMD10 PSMB2 PSMC1 PSMA7 ANAPC2 ANAPC4 PSMC6 PSME2
"reactome_ATF4 activates genes"	0.221124600960209	0.766682959825021	0.392359637719737	1.20174605144186	8796	16	HERPUD1 ATF4 EXOSC4 ATF3 DCP2 EXOSC1
