pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.00686606156010316	0.0732210394011848	-0.447972976773341	-1.63887111920707	409	46	PSMC5 PSMD3 PSMD2 PSMD4 PSMB9 PSMD9 PSMA4 PSMC4 PSMB10 PSMB5 PSMB8 PSME2 PSMC3 PSMB6 PSMB1 PSMD13 PSMD6 PSMD11 PSMA7 PSME1 PSMD1
"reactome_ABC-family proteins mediated transport"	0.0107564422277639	0.10137066516572	-0.42378794309916	-1.58365691716584	646	51	PSMC5 PSMD3 PSMD2 PSMD4 PSMB9 PSMD9 PSMA4 PSMC4 PSMB10 PSMB5 PSMB8 EIF2S2 PSME2 PSMC3 PSMB6 PSMB1 PSMD13 PSMD6 PSMD11 PSMA7 PSME1 PSMD1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.000149625935162095	0.00512524658502996	-0.51262413402648	-1.91562966567747	8	51	PSMC5 PSMD3 PSMD2 PSMD4 PSMB9 PSMD9 PSMA4 PSMC4 PSMB10 PSMB5 CDC27 PSMB8 PSME2 PSMC3 PSMB6 PSMB1 PSMD13 PSMD6 ANAPC15 PSMD11 ANAPC16 PSMA7 PSME1 CDC26 PSMD1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.000116933665202212	0.00470811862524695	-0.53581800749419	-1.96976560017786	6	47	PSMC5 PSMD3 PSMD2 PSMD4 PSMB9 PSMD9 PSMA4 PSMC4 PSMB10 PSMB5 CDC27 PSMB8 PSME2 PSMC3 PSMB6 PSMB1 PSMD13 PSMD6 ANAPC15 PSMD11 ANAPC16 PSMA7 PSME1 CDC26 PSMD1
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.000133469026843958	0.00494050671946587	-0.532524403331408	-1.96591442187981	7	48	PSMC5 PSMD3 PSMD2 PSMD4 PSMB9 PSMD9 PSMA4 PSMC4 PSMB10 PSMB5 CDC27 PSMB8 PSME2 PSMC3 PSMB6 PSMB1 PSMD13 PSMD6 ANAPC15 PSMD11 ANAPC16 PSMA7 PSME1 CDC26 PSMD1
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.000116933665202212	0.00470811862524695	-0.53581800749419	-1.96976560017786	6	47	PSMC5 PSMD3 PSMD2 PSMD4 PSMB9 PSMD9 PSMA4 PSMC4 PSMB10 PSMB5 CDC27 PSMB8 PSME2 PSMC3 PSMB6 PSMB1 PSMD13 PSMD6 ANAPC15 PSMD11 ANAPC16 PSMA7 PSME1 CDC26 PSMD1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.000133469026843958	0.00494050671946587	-0.532524403331408	-1.96591442187981	7	48	PSMC5 PSMD3 PSMD2 PSMD4 PSMB9 PSMD9 PSMA4 PSMC4 PSMB10 PSMB5 CDC27 PSMB8 PSME2 PSMC3 PSMB6 PSMB1 PSMD13 PSMD6 ANAPC15 PSMD11 ANAPC16 PSMA7 PSME1 CDC26 PSMD1
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.000486642502349309	0.010153132208106	-0.515940195395439	-1.8613462087556	28	43	PSMC5 PSMD3 PSMD2 PSMD4 PSMB9 PSMD9 HNRNPD PSMA4 PSMC4 PSMB10 PSMB5 PSMB8 PSME2 PSMC3 PSMB6 PSMB1 PSMD13 PSMD6 PSMD11 PSMA7 PSME1 PSMD1
"reactome_AURKA Activation by TPX2"	0.131828130947849	0.488697079241824	0.365920228206692	1.27601297011266	5540	29	TUBA1A DYNC1H1 HAUS3 DCTN3 MAPRE1 TUBB4B TUBA4A SFI1 HSP90AA1 CDK5RAP2
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.96166569371473	0.994130742863467	-0.204672573800485	-0.590190214587869	54361	17	POLR2C NCBP2 POLR2J
