pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.216195818110088	0.572112879394791	-0.319552452735544	-1.17100159489382	12603	45	PSME2 OS9 PSMD8 PSMB9 PSME1 PSMB10 PSMB3 PSMA6 PSMB2 PSMA7 PSMB1 PSMD13 PSMB8 PSMA3 PSMB5 DERL2 PSMB7
"reactome_ABC-family proteins mediated transport"	0.147895490824749	0.482700282984914	-0.332326274069467	-1.24009994770756	8671	49	PSME2 OS9 PSMD8 PSMB9 PSME1 PSMB10 PSMB3 PSMA6 PSMB2 ABCF1 ABCC1 PSMA7 PSMB1 PSMD13 PSMB8 PSMA3 PSMB5 DERL2 PSMB7
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.328916814642808	0.69562248855539	-0.290967932251388	-1.0808796900366	19263	48	PSME2 PSMD8 CDC14A PSMB9 PSME1 PSMB10 PSMB3 PSMA6 PSMB2 PSMA7 PSMB1 PSMD13 PSMB8 PSMA3 PSMB5 PSMB7
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.4153669291879	0.75295358284286	-0.280957926798591	-1.02513356390517	24207	44	PSME2 PSMD8 PSMB9 PSME1 PSMB10 PSMB3 PSMA6 PSMB2 PSMA7 PSMB1 PSMD13 PSMB8 PSMA3 PSMB5 PSMB7
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.438257946105422	0.761121368786756	-0.275517494088252	-1.00963526405943	25549	45	PSME2 PSMD8 PSMB9 PSME1 PSMB10 PSMB3 PSMA6 PSMB2 PSMA7 PSMB1 PSMD13 PSMB8 PSMA3 PSMB5 PSMB7
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.4153669291879	0.75295358284286	-0.280957926798591	-1.02513356390517	24207	44	PSME2 PSMD8 PSMB9 PSME1 PSMB10 PSMB3 PSMA6 PSMB2 PSMA7 PSMB1 PSMD13 PSMB8 PSMA3 PSMB5 PSMB7
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.438257946105422	0.761121368786756	-0.275517494088252	-1.00963526405943	25549	45	PSME2 PSMD8 PSMB9 PSME1 PSMB10 PSMB3 PSMA6 PSMB2 PSMA7 PSMB1 PSMD13 PSMB8 PSMA3 PSMB5 PSMB7
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.601580484452843	0.855685097167399	-0.252297630567163	-0.916128213812125	35017	43	PSME2 PSMD8 PSMB9 PSME1 PSMB10 PSMB3 PSMA6 PSMB2 PSMA7 PSMB1 PSMD13 PSMB8 PSMA3 PSMB5 PSMB7
"reactome_AURKA Activation by TPX2"	0.45957808622116	0.769214250412605	0.296056558819413	0.992811373050077	19998	25	DCTN3 TUBA1A TUBB4B HAUS3 MAPRE1 PCM1 PPP2R1A CSNK1D
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.438257946105422	0.761121368786756	-0.275517494088252	-1.00963526405943	25549	45	PSME2 PSMD8 PSMB9 PSME1 PSMB10 PSMB3 PSMA6 PSMB2 PSMA7 PSMB1 PSMD13 PSMB8 PSMA3 PSMB5 PSMB7
"reactome_Activation of HOX genes during differentiation"	0.649310381695713	0.886131420172905	-0.284731088776208	-0.87182683783557	36437	21	H2AFZ POLR2J YY1 POLR2C RBBP4
"reactome_Activation of NF-kappaB in B cells"	0.882762969527575	0.990908654042196	-0.200056287646149	-0.749479979721081	51796	50	PSME2 PSMD8 PSMB9 PSME1 PSMB10 PSMB3 PSMA6 PSMB2 PSMA7 PSMB1 PSMD13 PSMB8 PSMA3
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.649310381695713	0.886131420172905	-0.284731088776208	-0.87182683783557	36437	21	H2AFZ POLR2J YY1 POLR2C RBBP4
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	2.43380062305296e-05	0.000784921870626797	0.749085092105253	2.99662193888967	0	53	RPS26 RPS5 RPS3A RPS9 RPS14 RPS27A RPS19 RPS3 RPS18 RPS21 RPS23 RPS6 EIF3F RPS8 RPS4X RPS12 RPS2 RPSA RPS27 RPS28 RPS15A RPS29 PABPC1 RPS16 EIF4B RPS4Y1 EIF3K RPS13 RPS25 EIF4A1 RPS7 RPS20 EIF3L
