pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0525863881685007	0.312950247921933	-0.369435945985429	-1.39779757767226	3000	52	PSMB9 PSMB8 PSMB3 PSMB10 PSMC5 PSMB6 DERL1 PSMD4 PSMD13 PSMC1 UBB PSMB2 PSMD9 PSME1 PSMD5 PSME2
"reactome_ABC-family proteins mediated transport"	0.126424691783774	0.48152934076467	-0.316340839385364	-1.25088262554604	7331	65	PSMB9 PSMB8 PSMB3 PSMB10 PSMC5 PSMB6 DERL1 PSMD4 PSMD13 PSMC1 UBB PSMB2 PSMD9 PSME1 PSMD5 PSME2 ABCD3 ABCB7
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.45937789135128	0.799003426410132	0.316422383891944	0.993631347207068	20852	20	RPS27A ANAPC4 ANAPC5
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.132757550682664	0.493576325755324	-0.31301823623582	-1.2412387964217	7700	66	PSMB9 PSMB8 ANAPC15 PSMB3 PSMB10 CDC26 PSMC5 PSMB6 PSMD4 PSMD13 PSMC1 UBB PSMB2 PSMD9 PSME1 PSMD5 PSME2
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.444840558155811	0.791105337194698	0.329029001255662	1.00421336950991	20338	18	RPS27A ANAPC4 ANAPC5
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0700841356579062	0.353906374188968	-0.345063677498373	-1.34358571447281	4039	60	PSMB9 PSMB8 ANAPC15 PSMB3 PSMB10 CDC26 PSMC5 PSMB6 PSMD4 PSMD13 PSMC1 UBB PSMB2 PSMD9 PSME1 PSMD5 PSME2 ANAPC11 PSMB1
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0732479667762589	0.35864457390778	-0.340236659173238	-1.3337809540821	4232	62	PSMB9 PSMB8 ANAPC15 PSMB3 PSMB10 CDC26 PSMC5 PSMB6 PSMD4 PSMD13 PSMC1 UBB PSMB2 PSMD9 PSME1 PSMD5 PSME2 ANAPC11 PSMB1
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0700841356579062	0.353906374188968	-0.345063677498373	-1.34358571447281	4039	60	PSMB9 PSMB8 ANAPC15 PSMB3 PSMB10 CDC26 PSMC5 PSMB6 PSMD4 PSMD13 PSMC1 UBB PSMB2 PSMD9 PSME1 PSMD5 PSME2 ANAPC11 PSMB1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0571369172398261	0.322982296064017	-0.350633246278761	-1.37008978105319	3297	61	PSMB9 PSMB8 ANAPC15 PSMB3 PSMB10 CDC26 PSMC5 PSMB6 PSMD4 PSMD13 PSMC1 UBB PSMB2 PSMD9 PSME1 PSMD5 PSME2 ANAPC11 PSMB1
"reactome_ATF4 activates genes"	0.632928972895554	0.887598971658294	0.296429207067639	0.87577063224024	29165	16	ATF3 PARN EXOSC9 IL8 EXOSC8 EXOSC7
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0333835693256694	0.243247542222077	-0.38978369906346	-1.46421049169364	1904	50	PSMB9 PSMB8 PSMB3 HNRNPD PSMB10 PSMC5 PSMB6 PSMD4 PSMD13 PSMC1 UBB PSMB2 PSMD9 PSME1 PSMD5 PSME2 HSPA1A PSMB1
"reactome_AURKA Activation by TPX2"	0.945746252902681	0.986881399949052	-0.183685235349637	-0.684012094315406	53759	48	CLASP1 DYNLL1 CEP250 TUBB4B DCTN3 SSNA1 DCTN2 YWHAE CEP290 CEP164 CEP152
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.958264471915559	0.988627477765677	0.191960252065933	0.61123727208649	43486	21	POLR2B POLR2D POLR2A POLR2C POLR2H
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.453418979622838	0.795408636561179	0.338034207281443	0.998688470539774	20893	16	RPS27A PSEN1 DTX2 ADAM17 MIB2
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0732479667762589	0.35864457390778	-0.340236659173238	-1.3337809540821	4232	62	PSMB9 PSMB8 ANAPC15 PSMB3 PSMB10 CDC26 PSMC5 PSMB6 PSMD4 PSMD13 PSMC1 UBB PSMB2 PSMD9 PSME1 PSMD5 PSME2 ANAPC11 PSMB1
"reactome_Activation of ATR in response to replication stress"	0.590596506646161	0.86865742388597	0.293327988949699	0.907934185411865	26880	19	DBF4 ORC2 MCM6 MCM4 RFC2 RPA1 MCM3 HUS1
"reactome_Activation of BH3-only proteins"	0.628394047292979	0.885819077275866	-0.284892231601038	-0.885334416309756	34413	22	TFDP1 DYNLL1
"reactome_Activation of HOX genes during differentiation"	0.37840403853279	0.740943715312659	0.265374017548562	1.04101249843658	16340	49	PIAS2 JUN POLR2B ZNF335 PAGR1 POLR2D HIST1H2BK RBBP7 POLR2A HIST1H2BN POLR2C POLR2H HDAC3
"reactome_Activation of NF-kappaB in B cells"	0.0708061190901059	0.353906374188968	-0.343147360039733	-1.340838886145	4086	61	PSMB9 PSMB8 CHUK PSMB3 PSMB10 IKBKG PSMC5 PSMB6 PSMD4 PSMD13 PSMC1 UBB PSMB2 PSMD9 CARD11 PSME1 PSMD5 PSME2
"reactome_Activation of NMDA receptors and postsynaptic events"	0.14450110864745	0.513962120520082	0.387144407750984	1.27787154670235	6516	24	KPNA2 CAMK4 PRKAR2A PRKAA1 ARHGEF7 PDPK1 CAMK2G
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.37840403853279	0.740943715312659	0.265374017548562	1.04101249843658	16340	49	PIAS2 JUN POLR2B ZNF335 PAGR1 POLR2D HIST1H2BK RBBP7 POLR2A HIST1H2BN POLR2C POLR2H HDAC3
"reactome_Activation of gene expression by SREBF (SREBP)"	0.548805400124345	0.84791029552834	0.281221069110169	0.93872886456435	24715	25	CYP51A1 IDI1 TBL1X MTF1 CHD9 MVD NCOA6 TBL1XR1 TGS1 SREBF2 NCOA1
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	2.35460324935248e-05	0.000948708471110845	0.583070040014537	2.36024458848353	0	57	RPS3A RPS27A EIF3L EIF3D RPS26 RPS6 RPS27 RPS9 RPS5 RPS3 RPS14 RPS21 RPS12 EIF3A RPS2 RPS13 RPS8 RPS16 RPS20 RPS25 RPS23 EIF4B RPS7 RPS4X RPSA RPS18 EIF2S1
"reactome_Activation of the pre-replicative complex"	0.320123284077992	0.698320273969347	0.367559346968583	1.10344368679244	14644	17	DBF4 ORC2 MCM6 MCM4 PRIM2 RPA1 MCM3
"reactome_Adaptive Immune System"	0.000258420191230942	0.00598568394160124	-0.290820675348937	-1.48612730504294	17	426	UBE2L6 PSMB9 DTX3L PSMB8 IFITM1 RNF213 HLA-DPB1 TAP1 CHUK CTSC CD74 LAT HLA-A BTN3A2 UBE2L3 PSMB3 VAMP8 HLA-C VPRBP HLA-DPA1 RAB7A ASB7 TRIM69 HCST AP2S1 DYNLL1 CTSO HLA-E ZAP70 HLA-B RBCK1 PSMB10 HLA-DRB5 WAS NCF4 HLA-F CYBA FBXW2 LY96 FBXL20 SOS1 MICB TNFRSF14 KLHL9 IKBKG CDC26 CTSA KLHL22 PSMC5 LRRC41 CSK CD99 B2M CAPZB CD3D CD79B PSMB6 SELL DCTN3 HLA-DRB1 RAC1 LCK UNKL NFATC1 PIK3CB PTPN6 HLA-DRA PSMD4 TRIM21 PSMD13 PSMC1 UBB PSMB2 PSMD9 RAP1B DCTN2 ICAM2 CAPZA2 CTSH AP2M1 CD3G CARD11 NCR3 ASB6 PSME1 DNM2 VAV1 PSMD5 FBXL15 HLA-DMA UBR2 DZIP3 NCF2 PSME2 PIK3CA UBE2H AP1S2 ACTR1A FYB FKBP1A PPP2R5D ARF1 AP1S1 AP1M1 CD3E CD247 SEC13 ANAPC11 UBE3C KIF2A PSMB1 DYNC1LI1 RNF6 UBA1 UBE2K CBLB NFATC3 GRB2 CTSB MYD88 SH3KBP1 HECTD3 UBC IKBKB
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.363450847934698	0.734376926075146	0.260546350558206	1.0471479884431	15494	55	NUP98 NDEL1 TAOK1 CENPT RPS27 NUP37 PPP2R5C CENPP DYNC1LI2
"reactome_Amplification of signal from the kinetochores"	0.363450847934698	0.734376926075146	0.260546350558206	1.0471479884431	15494	55	NUP98 NDEL1 TAOK1 CENPT RPS27 NUP37 PPP2R5C CENPP DYNC1LI2
