pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.280868553702986	0.663169258079751	-0.302444963219235	-1.11984526138968	18108	50	PSMC4 VCP SEL1L PSMC3 PSMB9 PSMA4 PSMD9 PSMA5 PSMB7 PSMC2 PSMF1 PSMB10 PSMD11 PSMA1 PSME2 PSMB8 PSMC1 PSMD13 PSMA7 PSMD8 DERL2 RNF5
"reactome_ABC-family proteins mediated transport"	0.470354523227384	0.790715903371156	-0.259579455503527	-0.99297364077411	30779	59	PSMC4 VCP SEL1L PSMC3 PSMB9 PSMA4 PSMD9 PSMA5 PSMB7 PSMC2 PSMF1 PSMB10 PSMD11 PSMA1 EIF2S1 PSME2 PSMB8 PSMC1 PSMD13 PSMA7 PSMD8 DERL2 EIF2S2 RNF5 ABCA2
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.583567448072583	0.843572277080544	-0.246049137854371	-0.92875022108606	38012	55	PSMC4 CDC26 PSMC3 PSMB9 PSMA4 PSMD9 PSMA5 CDC27 PSMB7 PSMC2 SKP1 PSMF1 PSMB10 PSMD11 PSMA1 PSME2 PSMB8 PSMC1 PSMD13 PSMA7 PSMD8
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.569143582676556	0.838848314395297	-0.251910887809548	-0.936258392795802	36756	51	PSMC4 CDC26 PSMC3 PSMB9 PSMA4 PSMD9 PSMA5 CDC27 PSMB7 PSMC2 PSMF1 PSMB10 PSMD11 PSMA1 PSME2 PSMB8 PSMC1 PSMD13 PSMA7 PSMD8
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.585102438119959	0.843572277080544	-0.248553287569746	-0.927261488601997	37868	52	PSMC4 CDC26 PSMC3 PSMB9 PSMA4 PSMD9 PSMA5 CDC27 PSMB7 PSMC2 PSMF1 PSMB10 PSMD11 PSMA1 PSME2 PSMB8 PSMC1 PSMD13 PSMA7 PSMD8
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.569143582676556	0.838848314395297	-0.251910887809548	-0.936258392795802	36756	51	PSMC4 CDC26 PSMC3 PSMB9 PSMA4 PSMD9 PSMA5 CDC27 PSMB7 PSMC2 PSMF1 PSMB10 PSMD11 PSMA1 PSME2 PSMB8 PSMC1 PSMD13 PSMA7 PSMD8
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.585102438119959	0.843572277080544	-0.248553287569746	-0.927261488601997	37868	52	PSMC4 CDC26 PSMC3 PSMB9 PSMA4 PSMD9 PSMA5 CDC27 PSMB7 PSMC2 PSMF1 PSMB10 PSMD11 PSMA1 PSME2 PSMB8 PSMC1 PSMD13 PSMA7 PSMD8
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.596649926697651	0.848267047325516	-0.250982651818201	-0.917897531563784	38255	47	PSMC4 PSMC3 PSMB9 PSMA4 PSMD9 PSMA5 PSMB7 PSMC2 PSMF1 PSMB10 PSMD11 PSMA1 PSME2 PSMB8 PSMC1 PSMD13 PSMA7 PSMD8
"reactome_AURKA Activation by TPX2"	0.491380943360485	0.804224658285787	0.260049146209924	0.974455400164378	18157	36	HAUS3 TUBA4A HSP90AA1 PPP2R1A TUBA1A PCNT DCTN2 TUBB4B SDCCAG8 CKAP5
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.0973318114899178	0.418813407802902	-0.458955737311045	-1.37578701406204	5883	20	SUPT4H1 NELFCD GTF2F2 POLR2E NCBP1 POLR2F POLR2J POLR2D SUPT5H POLR2G NELFE POLR2C NELFA POLR2A POLR2I
