pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.272791693179846	0.619822764534676	-0.30228654833889	-1.12613888681339	18862	52	PSMA4 PSMB9 PSMC3 PSME2 PSMA3 PSMD11 PSMB3 PSMB6 PSMD6 PSMA1 PSMD1 PSMD4 PSMB7 PSMD3 PSMD8 PSME3 ERLEC1 DERL1 OS9 PSMB2 PSMD9 PSMD12 PSMA6 PSMC2 PSMB8 PSMC1 UBB
"reactome_ABC-family proteins mediated transport"	0.137750889679715	0.478014962266931	-0.326109179000644	-1.24895487501202	9676	60	PSMA4 ABCF1 PSMB9 PSMC3 PSME2 PSMA3 PSMD11 PSMB3 PSMB6 PSMD6 PSMA1 PSMD1 PSMD4 PSMB7 PSMD3 EIF2S1 EIF2S3 PSMD8 PSME3 ERLEC1 DERL1 ABCB8 ABCC1 OS9 PSMB2 PSMD9 PSMD12 PSMA6 PSMC2 PSMB8 PSMC1 UBB
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.426152519088847	0.745000447040215	-0.350682827207139	-1.02598518487526	26677	18	BUB3 ANAPC7 MAD2L1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0978084013639129	0.404708756727151	-0.336226906321178	-1.30020988834885	6912	63	PSMA4 BUB3 ANAPC7 MAD2L1 PSMB9 PSMC3 PSME2 PSMA3 SKP1 PSMD11 PSMB3 UBE2E1 PSMB6 PSMD6 UBE2D1 PSMA1 PSMD1 PSMD4 PSMB7 PSMD3 PSMD8 PSME3 PSMB2 ANAPC4 PSMD9 PSMD12 PSMA6 PSMC2 PSMB8 PSMC1 UBB
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.724233104644744	0.895409384234691	0.263353289189159	0.814668693104387	27551	16	UBA52 RPS27A UBC ANAPC15 CDC27 ANAPC16 ANAPC5
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.213290904420788	0.560111312875697	-0.30839304412881	-1.17401011807564	14946	58	PSMA4 ANAPC7 PSMB9 PSMC3 PSME2 PSMA3 PSMD11 PSMB3 UBE2E1 PSMB6 PSMD6 UBE2D1 PSMA1 PSMD1 PSMD4 PSMB7 PSMD3 PSMD8 PSME3 PSMB2 ANAPC4 PSMD9 PSMD12 PSMA6 PSMC2 PSMB8 PSMC1 UBB
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0955160142348755	0.399511151281054	-0.341069924662024	-1.30625254533475	6709	60	PSMA4 BUB3 ANAPC7 MAD2L1 PSMB9 PSMC3 PSME2 PSMA3 PSMD11 PSMB3 UBE2E1 PSMB6 PSMD6 UBE2D1 PSMA1 PSMD1 PSMD4 PSMB7 PSMD3 PSMD8 PSME3 PSMB2 ANAPC4 PSMD9 PSMD12 PSMA6 PSMC2 PSMB8 PSMC1 UBB
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.213290904420788	0.560111312875697	-0.30839304412881	-1.17401011807564	14946	58	PSMA4 ANAPC7 PSMB9 PSMC3 PSME2 PSMA3 PSMD11 PSMB3 UBE2E1 PSMB6 PSMD6 UBE2D1 PSMA1 PSMD1 PSMD4 PSMB7 PSMD3 PSMD8 PSME3 PSMB2 ANAPC4 PSMD9 PSMD12 PSMA6 PSMC2 PSMB8 PSMC1 UBB
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0715883031606535	0.365356007032812	-0.353210559346222	-1.34879785007809	5025	59	PSMA4 BUB3 ANAPC7 MAD2L1 PSMB9 PSMC3 PSME2 PSMA3 PSMD11 PSMB3 UBE2E1 PSMB6 PSMD6 UBE2D1 PSMA1 PSMD1 PSMD4 PSMB7 PSMD3 PSMD8 PSME3 PSMB2 ANAPC4 PSMD9 PSMD12 PSMA6 PSMC2 PSMB8 PSMC1 UBB
"reactome_ATF4 activates genes"	0.443228586646008	0.753300211879835	-0.357525645600204	-1.01328020594056	27461	16	EXOSC5 EXOSC7 DDIT3 EXOSC1 ATF6 EXOSC6 EXOSC9 NFYC EXOSC8
