pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0453678066302477	0.256296649756392	-0.366402371432224	-1.41250218535379	2424	52	PSMB9 PSMB3 PSMD5 PSME2 PSMB4 PSMD1 PSMB5 PSMC3 PSMB8 PSMD14 PSMF1 PSMB10 PSMA7 PSMC5
"reactome_ABC-family proteins mediated transport"	0.0589822309052005	0.294572176187467	-0.340688280007228	-1.36235544362452	3169	62	PSMB9 PSMB3 PSMD5 ABCC1 PSME2 PSMB4 PSMD1 PSMB5 PSMC3 PSMB8 PSMD14 PSMF1 PSMB10 PSMA7 PSMC5 PSMD12 PSMA4 ABCF1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0325353320654809	0.232382495053996	-0.366659173999975	-1.44596934858265	1744	58	PSMB9 PSMB3 PSMD5 PSME2 PSMB4 PSMD1 PSMB5 PSMC3 PSMB8 PSMD14 PSMF1 PSMB10 PSMA7 PSMC5 PSMD12 ANAPC11 PSMA4
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0246152696847453	0.201798767509846	-0.382126535055503	-1.48506322610129	1317	54	PSMB9 PSMB3 PSMD5 PSME2 PSMB4 PSMD1 PSMB5 PSMC3 PSMB8 PSMD14 PSMF1 PSMB10 PSMA7 PSMC5 PSMD12 ANAPC11 PSMA4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0243975396810559	0.201798767509846	-0.380437531200142	-1.48367275954477	1304	55	PSMB9 PSMB3 PSMD5 PSME2 PSMB4 PSMD1 PSMB5 PSMC3 PSMB8 PSMD14 PSMF1 PSMB10 PSMA7 PSMC5 PSMD12 ANAPC11 PSMA4
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0246152696847453	0.201798767509846	-0.382126535055503	-1.48506322610129	1317	54	PSMB9 PSMB3 PSMD5 PSME2 PSMB4 PSMD1 PSMB5 PSMC3 PSMB8 PSMD14 PSMF1 PSMB10 PSMA7 PSMC5 PSMD12 ANAPC11 PSMA4
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.022897056626326	0.197866533250434	-0.38430657181531	-1.49353553076097	1225	54	PSMB9 PSMB3 PSMD5 PSME2 PSMB4 PSMD1 PSMB5 PSMC3 PSMB8 PSMD14 PSMF1 PSMB10 PSMA7 PSMC5 PSMD12 ANAPC11 PSMA4
"reactome_ATF4 activates genes"	0.661142225778184	0.834582532275486	-0.300873697954528	-0.854992442560161	34705	15	ATF6 ATF4 EXOSC1 PARN KHSRP DCP2
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0453984748803828	0.256296649756392	-0.369905622430237	-1.41592041844575	2428	50	PSMB9 PSMB3 PSMD5 PSME2 PSMB4 PSMD1 PSMB5 PSMC3 PSMB8 PSMD14 PSMF1 PSMB10 PSMA7 PSMC5
"reactome_AURKA Activation by TPX2"	0.816530324400564	0.904876412005707	-0.2171441110932	-0.787329963231685	43418	39	SSNA1 HAUS4 YWHAG AKAP9 OFD1 CKAP5 CEP78 HAUS1 PAFAH1B1 DCTN3 NDE1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.338551119177254	0.675975972376957	-0.349068735419152	-1.08876262559934	17907	21	POLR2H NCBP2 POLR2F POLR2J
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0243975396810559	0.201798767509846	-0.380437531200142	-1.48367275954477	1304	55	PSMB9 PSMB3 PSMD5 PSME2 PSMB4 PSMD1 PSMB5 PSMC3 PSMB8 PSMD14 PSMF1 PSMB10 PSMA7 PSMC5 PSMD12 ANAPC11 PSMA4
"reactome_Activation of BH3-only proteins"	0.310561951182506	0.64815130423745	-0.361789671495023	-1.11343027187802	16374	20	TFDP2 BCL2L11 BCL2 YWHAG PPP3CC
"reactome_Activation of HOX genes during differentiation"	0.490228932901574	0.773150470184599	-0.263919357934036	-0.977804343509464	26038	43	POLR2H NCOA3 SUZ12 NCOR1 POLR2F EED POLR2J
"reactome_Activation of NF-kappaB in B cells"	0.0405632226781052	0.249723947183731	-0.36133379530673	-1.42028906675564	2174	57	PSMB9 PSMB3 FBXW11 PSMD5 PSME2 PSMB4 PSMD1 PSMB5 PSMC3 PSMB8 PSMD14 PSMF1 PSMB10 PSMA7 PSMC5
"reactome_Activation of NMDA receptors and postsynaptic events"	0.0746614019445506	0.340186474855458	0.448279054421453	1.41605506175789	3516	21	RPS6KA3 CALM1 PRKACB CAMK2G CAMK4 KPNA2 PRKAR2A
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.490228932901574	0.773150470184599	-0.263919357934036	-0.977804343509464	26038	43	POLR2H NCOA3 SUZ12 NCOR1 POLR2F EED POLR2J
"reactome_Activation of gene expression by SREBF (SREBP)"	0.466659619450317	0.762747102136036	0.331051796283806	0.988962621375706	22072	17	NCOA2 IDI1 FASN TBL1XR1 FDFT1 FDPS NFYC
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	2.14993657687098e-05	0.000815018091713451	0.744009797321762	2.96108515819717	0	55	RPS5 RPS27A RPS9 RPS3A RPS3 RPS12 RPS4X RPS19 RPS2 RPS27 RPS6 RPSA EIF3L RPS23 RPS20 RPS14 RPS13 RPS18 EIF3F RPS16 RPS26 RPS7 RPS8 RPS15A EIF4B PABPC1 EIF3E EIF4H RPS28 EIF3M RPS25 EIF3K EIF3D RPS29 RPS21 EIF3H RPS11 EIF2S3
"reactome_Adaptive Immune System"	0.558882716155553	0.801875201440576	-0.186177483090459	-0.96879920189919	32493	381	PSMB9 CBLB HLA-DPA1 UBE2L6 PSMB3 CTSC UBA3 UBE2E3 AP2B1 FBXW11 RBX1 PSMD5 SEC24B ICAM2 RNF213 IFITM1 PSME2 PSMB4 PSMD1 PSMB5 NFATC2 PSMC3 HUWE1 DAPP1 AP2S1 SELL UBE2N HLA-DRA PSMB8 PSMD14 HLA-DPB1 CLEC2D PSMF1 LAG3 PSMB10 PSMA7 HLA-DMA PSMC5 SEC13 BTN3A2 UBA7 HECTD1 HLA-DRB1 PPIA CSK PSMD12 ANAPC11 ITCH PSMA4 UBE2G1 RAB7A PPP3CB AP1S1 MTOR TAP1 TRIM11 PSMD4 LCP2 WWP1 NCF4 KLRG1 TRIM4 PDPK1 DTX3L FYN ERAP1 CUL3 UBE2A FBXO31 NFKBIB FBXO44 FBXL5 CD226 TRIM69 UBA1 FBXO11 AP2A2 CUL2 KIF22 CD74 PPP3CA NFKBIA PIK3CB UBE2K IKBKB UBR4 BTN3A1 UNKL DCTN3 RNF111 ASB7 IKBKG NFKB1 HERC2 DYNC1LI1 EVL ANAPC13 PIK3CD PSME1 UBE2V2 CYBA PSME4 CD81 UBE2E1 PSMA3 DYNLL2 RNF19A ORAI2 LNPEP TRAF7 HERC5 CD3D PJA2 MYD88 CD40LG ITK CUL5 ITGAL DYNLL1 HERC4 PSMB1 TPP2 PRKCB GRB2 HLA-DRB5 PDCD1 ITPR2
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.59680928208847	0.816307344388584	0.243470557401728	0.918314742946363	27981	43	RPS27 CLIP1 MAPRE1 NUP98 CLASP2
"reactome_Amplification of signal from the kinetochores"	0.59680928208847	0.816307344388584	0.243470557401728	0.918314742946363	27981	43	RPS27 CLIP1 MAPRE1 NUP98 CLASP2
"reactome_Amyloid fiber formation"	0.0391781521184278	0.246433391468915	0.435183186191585	1.4952361967924	1841	29	RPS27A NCSTN UBA52 UBC H2AFX GGA1 HIST2H2AC APH1A ITM2B HIST1H2BK
"reactome_Anchoring of the basal body to the plasma membrane"	0.658288719827181	0.834044366657463	-0.235918120984209	-0.886847668278613	35043	46	SSNA1 SEPT2 HAUS4 YWHAG AHI1 AKAP9 OFD1 CKAP5 CEP78 HAUS1 PAFAH1B1
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.598713539676474	0.817196962270455	0.286264360374714	0.904271775607858	28202	21	HSPA5 CALR SEC23A ERAP2 SEC24D
"reactome_Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	0.870211416490486	0.933670341608164	0.235670458854129	0.704026612709835	41160	17	CALM1 PIK3R1 CD79B ORAI1 NCK1 CD79A
"reactome_Antigen processing-Cross presentation"	0.135413774594184	0.463285709143095	-0.300552450260658	-1.2303686260038	7315	70	PSMB9 PSMB3 PSMD5 PSME2 PSMB4 PSMD1 PSMB5 PSMC3 PSMB8 PSMD14 PSMF1 PSMB10 PSMA7 PSMC5 PSMD12 PSMA4 TAP1 PSMD4 NCF4
