pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0112321112948287	0.119790031522271	-0.413247342370023	-1.57565508688149	590	52	PSMB9 PSME2 PSMB8 PSMA5 PSMB10 RNF5 PSMA7 PSMB3 PSMD1 PSMD4 PSMC3 UBB ERLEC1 PSMD13 PSMB5
"reactome_ABC-family proteins mediated transport"	0.021485481252124	0.164215185939311	-0.382749942645258	-1.4925198018939	1137	58	PSMB9 PSME2 PSMB8 PSMA5 PSMB10 RNF5 PSMA7 PSMB3 PSMD1 PSMD4 PSMC3 UBB ABCC1 ERLEC1 PSMD13 PSMB5
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0365517501793603	0.219310501076162	-0.366078563686396	-1.42751035199298	1935	58	PSMB9 PSME2 PSMB8 PSMA5 PSMB10 PSMA7 PSMB3 PSMD1 PSMD4 PSMC3 UBB ANAPC11 PSMD13 PSMB5 ANAPC16 PSMA1 ANAPC15 BUB3 CUL1 PSMB1 PSMD8 PSMB2 PSME1 PSMC2 SKP1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0373876095451269	0.221121005024036	-0.372500008281426	-1.43132962870526	1970	54	PSMB9 PSME2 PSMB8 PSMA5 PSMB10 PSMA7 PSMB3 PSMD1 PSMD4 PSMC3 UBB ANAPC11 PSMD13 PSMB5 ANAPC16 PSMA1 ANAPC15 PSMB1 PSMD8 PSMB2 PSME1 PSMC2
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0300034094783498	0.195612779906092	-0.378155417555438	-1.45840165008091	1583	55	PSMB9 PSME2 PSMB8 PSMA5 PSMB10 PSMA7 PSMB3 PSMD1 PSMD4 PSMC3 UBB ANAPC11 PSMD13 PSMB5 ANAPC16 PSMA1 ANAPC15 BUB3 PSMB1 PSMD8 PSMB2 PSME1 PSMC2
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0373876095451269	0.221121005024036	-0.372500008281426	-1.43132962870526	1970	54	PSMB9 PSME2 PSMB8 PSMA5 PSMB10 PSMA7 PSMB3 PSMD1 PSMD4 PSMC3 UBB ANAPC11 PSMD13 PSMB5 ANAPC16 PSMA1 ANAPC15 PSMB1 PSMD8 PSMB2 PSME1 PSMC2
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0198224515345802	0.163584072785683	-0.391617390904911	-1.50478808659506	1044	54	PSMB9 PSME2 PSMB8 PSMA5 PSMB10 PSMA7 PSMB3 PSMD1 PSMD4 PSMC3 UBB ANAPC11 PSMD13 PSMB5 ANAPC16 PSMA1 ANAPC15 BUB3 PSMB1 PSMD8 PSMB2 PSME1 PSMC2
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0360956448783464	0.218686785067835	-0.382491551255969	-1.446266251675	1892	50	PSMB9 PSME2 PSMB8 PSMA5 PSMB10 PSMA7 PSMB3 PSMD1 PSMD4 PSMC3 UBB PSMD13 PSMB5 HSPB1
"reactome_AURKA Activation by TPX2"	0.126599691525282	0.427525832376579	0.350516241877775	1.27283101771097	6073	38	TUBA1A CSNK1E DCTN2 HSP90AA1 PAFAH1B1 TUBB SFI1 DYNLL1 SDCCAG8 CSNK1D TUBA4A PCM1 AKAP9 CDK5RAP2
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.656217281517522	0.840133347426627	0.28056869713573	0.867675529273335	31964	20	POLR2A POLR2B POLR2D SUPT5H NCBP1 NCBP2 GTF2F2
