pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.536113193763577	0.797662792142019	0.250939220455181	0.955656087226297	27886	49	DERL2 RNF5 PSMD2 PSMD12 PSMD6 PSMA3 PSMA1 PSMB4 PSME2 PSMB6 PSMB8 UBB PSMD4 PSMB7 PSMA4 PSMD8 PSMD3 PSME3 PSMC2 DERL1 PSMB3
"reactome_ABC-family proteins mediated transport"	0.202678845563402	0.516563832556622	0.297469503819057	1.16795597894984	10561	57	ABCF1 ABCC1 DERL2 RNF5 PSMD2 PSMD12 EIF2S2 PSMD6 PSMA3 PSMA1 PSMB4 PSME2 PSMB6 PSMB8 UBB PSMD4 PSMB7 PSMA4 PSMD8 ABCC4 PSMD3 ABCG1 PSME3 PSMC2 DERL1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.726444995101712	0.90065329556287	0.22072666827737	0.857414999110744	37817	54	PSMD2 PSMD12 PSMD6 PSMA3 SKP1 PSMA1 PSMB4 PSME2 PSMB6 PSMB8 UBB PSMD4 CDC14A PSMB7 PSMA4 PSMD8 CUL1 PSMD3 PSME3 BUB3 PSMC2 PSMB3 UBA52 UBE2D1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.936681096681097	0.991069512934199	0.18473864997334	0.706150163752269	48683	50	PSMD2 PSMD12 PSMD6 PSMA3 PSMA1 PSMB4 PSME2 PSMB6 PSMB8 UBB PSMD4 PSMB7 PSMA4 PSMD8 PSMD3 PSME3 PSMC2 PSMB3 UBA52 UBE2D1
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.924289311319123	0.988376575235821	0.188202517678795	0.722503848475279	48087	51	PSMD2 PSMD12 PSMD6 PSMA3 PSMA1 PSMB4 PSME2 PSMB6 PSMB8 UBB PSMD4 PSMB7 PSMA4 PSMD8 PSMD3 PSME3 BUB3 PSMC2 PSMB3 UBA52 UBE2D1
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.936681096681097	0.991069512934199	0.18473864997334	0.706150163752269	48683	50	PSMD2 PSMD12 PSMD6 PSMA3 PSMA1 PSMB4 PSME2 PSMB6 PSMB8 UBB PSMD4 PSMB7 PSMA4 PSMD8 PSMD3 PSME3 PSMC2 PSMB3 UBA52 UBE2D1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.924289311319123	0.988376575235821	0.188202517678795	0.722503848475279	48087	51	PSMD2 PSMD12 PSMD6 PSMA3 PSMA1 PSMB4 PSME2 PSMB6 PSMB8 UBB PSMD4 PSMB7 PSMA4 PSMD8 PSMD3 PSME3 BUB3 PSMC2 PSMB3 UBA52 UBE2D1
"reactome_ATF4 activates genes"	0.000742086042923819	0.0182279766438182	0.685989871716277	1.94414375922919	37	15	ATF3 EXOSC6 DCP2 DIS3 EXOSC9 EXOSC1
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.255580637070479	0.5655371517852	0.303457744539843	1.13431487123555	13246	45	PSMD2 PSMD12 PSMD6 PSMA3 PSMA1 PSMB4 HNRNPD PSME2 PSMB6 PSMB8 UBB PSMD4 HSPB1 PSMB7 PSMA4 PSMD8 PSMD3 PSME3 PSMC2 PSMB3
"reactome_AURKA Activation by TPX2"	0.950384375649283	0.996003133583504	-0.184088015515209	-0.670333271663626	45741	38	DYNLL1 SDCCAG8 HAUS3 TUBA4A CSNK1E ODF2 CEP63 PCNT CNTRL
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.365755561027662	0.672872419372265	-0.34346093345735	-1.06399905332961	17823	20	POLR2I GTF2F2 POLR2L POLR2E
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.924289311319123	0.988376575235821	0.188202517678795	0.722503848475279	48087	51	PSMD2 PSMD12 PSMD6 PSMA3 PSMA1 PSMB4 PSME2 PSMB6 PSMB8 UBB PSMD4 PSMB7 PSMA4 PSMD8 PSMD3 PSME3 BUB3 PSMC2 PSMB3 UBA52 UBE2D1
"reactome_Activation of BH3-only proteins"	0.239875936329588	0.56006902960308	0.396034361730579	1.18106455827473	12296	18	AKT2 BBC3 PMAIP1 BCL2L11 BID BCL2 YWHAQ TFDP2
"reactome_Activation of HOX genes during differentiation"	0.61576850168285	0.850294628709306	0.250615493701298	0.906848935477694	31833	39	JUN RARA ZNF335 POLR2F POLR2K POLR2C RQCD1
"reactome_Activation of NF-kappaB in B cells"	0.03532681617788	0.205026071720583	0.365578855153515	1.43060245023107	1842	56	NFKBIA REL PSMD2 PSMD12 CARD11 MALT1 NFKB1 PSMD6 PSMA3 SKP1 PSMA1 PSMB4 PSME2 PSMB6 PSMB8 UBB PSMD4 NFKBIE PSMB7 PSMA4 PSMD8 NFKBIB CUL1 PSMD3 FBXW11 PSME3 PSMC2
"reactome_Activation of NMDA receptors and postsynaptic events"	0.690913701622971	0.884017747009674	0.281889542217574	0.840658740334142	35418	18	KRAS NRAS PRKAR2A RAC1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.61576850168285	0.850294628709306	0.250615493701298	0.906848935477694	31833	39	JUN RARA ZNF335 POLR2F POLR2K POLR2C RQCD1
"reactome_Activation of gene expression by SREBF (SREBP)"	0.189344150398814	0.495372893672397	0.407515904919158	1.23451210963696	9708	19	SC5D SREBF2 SQLE MED1 HMGCS1 CREBBP PMVK TGS1
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.990863856832246	1	-0.152924623925073	-0.605897874710001	47394	56	RPS26 EIF4B EIF3F EIF4EBP1 EIF3A
"reactome_Adaptive Immune System"	0.0369298936228647	0.208960548767929	0.240190586450856	1.23520717222827	2016	351	ICAM1 CD40 NFKBIA AP1S3 TAPBP LYN PAK1 HLA-F CALR TLR1 REL KRAS CD80 TAP1 NRAS AKT2 TNFRSF14 IFITM1 UBE2V2 HLA-DRA SIPA1 CD86 PJA2 HERC5 PSMD2 UBE2J2 HLA-A DYNC1LI1 SEC61G AP1G1 RAP1B UBE2L6 LTN1 PSMD12 HLA-B DCTN2 CARD11 HLA-DRB1 MLST8 MALT1 HLA-C RAC1 MGRN1 NFKB1 UBE2D3 UBE3A TYROBP ICOSLG FBXL5 SNAP23 PAK2 PSMD6 RICTOR PLCG2 NPEPPS CUL2 PPP2R1A SEC61B RNF6 BTN2A2 WSB1 PSMA3 SEC24A SKP1 BLK ANAPC13 PSMA1 UBE2B MYD88 BTK PSMB4 ACTR1A PIK3CD PSME2 PSMB6 SAR1B KLHL5 RNF213 CYBB UBE2A UBR4 WWP1 PSMB8 RAB7A HLA-DRB5 STX4
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.838753894080997	0.966875475149333	-0.215923859881154	-0.771700275323123	40385	35	DYNLL1 MAD1L1 PPP2R5A NDEL1 NUP107 PPP2R5C NSL1
