pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	7.8082298742875e-05	0.00346402522148905	0.587475164669196	2.7103507698893	0	55	PSMA4 PSMD13 PSMA5 PSMB3 PSME1 PSMB7 PSMC4 PSMB8 PSMA3 PSMD2 DERL1 PSME2 PSMA7 PSMD7 PSMD11 PSME3 PSMB10 UBA52 PSMD5 SEL1L PSMB9 PSMD3 PSMD12 RNF185 PSMD9 PSMA6 PSMC3 RNF5 PSMA1 PSMD8 PSMB4 ERLEC1
"reactome_ABC-family proteins mediated transport"	0.00010558547143913	0.00346402522148905	0.461348182100772	2.28293724057905	0	78	PSMA4 PSMD13 PSMA5 ABCB1 ABCF1 PSMB3 EIF2S1 PSME1 PSMB7 ABCC1 PSMC4 PSMB8 PSMA3 PSMD2 DERL1 PSME2 PSMA7 PSMD7 PSMD11 PSME3 ABCG1 PSMB10 UBA52 PSMD5 SEL1L EIF2S2 PSMB9 PSMD3 PSMD12 RNF185 ABCD3 PSMD9 PSMA6 PEX3 PSMC3 RNF5 PSMA1 PSMD8 PSMB4 ERLEC1
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.426770895658282	0.900022235882141	-0.35901845751143	-1.03514262818628	32810	20	ANAPC16 CDC16 CDC26 MAD2L1
"reactome_APC/C-mediated degradation of cell cycle proteins"	9.64599209028649e-05	0.00346402522148905	0.405957511113064	1.96387558201879	0	70	PSMA4 PSMD13 CDC27 PSMA5 PSMB3 PSME1 PSMB7 PSMC4 PSMB8 PSMA3 PSMD2 PSME2 PSMA7 SKP1 SKP2 PSMD7 PSMD11 ANAPC7 PSME3 BUB3 PSMB10 UBA52 PSMD5 PSMB9 PSMD3 PSMD12 PSMD9 PSMA6 FZR1 PSMC3 PSMA1 PSMD8 PSMB4 UBE2E1
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.501475625823452	0.93244706330094	-0.34816358559726	-0.979538688655872	38061	18	ANAPC16 CDC16 CDC26
"reactome_APC/C:Cdc20 mediated degradation of Securin"	8.42815002107037e-05	0.00346402522148905	0.458794502069247	2.15476066012367	0	60	PSMA4 PSMD13 CDC27 PSMA5 PSMB3 PSME1 PSMB7 PSMC4 PSMB8 PSMA3 PSMD2 PSME2 PSMA7 PSMD7 PSMD11 ANAPC7 PSME3 PSMB10 UBA52 PSMD5 PSMB9 PSMD3 PSMD12 PSMD9 PSMA6 PSMC3 PSMA1 PSMD8 PSMB4 UBE2E1
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	8.62143288214501e-05	0.00346402522148905	0.444129306178622	2.10163360188926	0	62	PSMA4 PSMD13 CDC27 PSMA5 PSMB3 PSME1 PSMB7 PSMC4 PSMB8 PSMA3 PSMD2 PSME2 PSMA7 PSMD7 PSMD11 ANAPC7 PSME3 BUB3 PSMB10 UBA52 PSMD5 PSMB9 PSMD3 PSMD12 PSMD9 PSMA6 PSMC3 PSMA1 PSMD8 PSMB4 UBE2E1
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	8.62143288214501e-05	0.00346402522148905	0.469646892684895	2.22238360981405	0	62	PSMA4 PSMD13 CDC27 PSMA5 PSMB3 PSME1 PSMB7 PSMC4 PSMB8 PSMA3 PSMD2 PSME2 PSMA7 SKP2 PSMD7 PSMD11 ANAPC7 PSME3 PSMB10 UBA52 PSMD5 PSMB9 PSMD3 PSMD12 PSMD9 PSMA6 FZR1 PSMC3 PSMA1 PSMD8 PSMB4 UBE2E1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	8.5426277122843e-05	0.00346402522148905	0.445212420144908	2.09843667895809	0	61	PSMA4 PSMD13 CDC27 PSMA5 PSMB3 PSME1 PSMB7 PSMC4 PSMB8 PSMA3 PSMD2 PSME2 PSMA7 PSMD7 PSMD11 ANAPC7 PSME3 BUB3 PSMB10 UBA52 PSMD5 PSMB9 PSMD3 PSMD12 PSMD9 PSMA6 PSMC3 PSMA1 PSMD8 PSMB4 UBE2E1
"reactome_ATF4 activates genes"	0.952759750690741	0.99995420616385	-0.203344918131043	-0.599110166545423	74138	22	NFYB
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	7.23170378941279e-05	0.00346402522148905	0.598770812447158	2.70045406095467	0	50	PSMA4 PSMD13 HNRNPD PSMA5 PSMB3 PSME1 PABPC1 PSMB7 PSMC4 PSMB8 PSMA3 PSMD2 PSME2 PSMA7 PSMD7 PSMD11 PSME3 PSMB10 UBA52 PSMD5 PSMB9 PSMD3 PSMD12 HSPA8 PSMD9 PSMA6 PSMC3 PSMA1 PSMD8 PSMB4
"reactome_AURKA Activation by TPX2"	0.654417160598363	0.984236102922909	-0.24920878962293	-0.89473856691823	57964	63	SDCCAG8 CEP164 CEP41 HAUS1 DYNC1I2 DCTN1 CEP70 ODF2 TPX2 OFD1 CNTRL PCNT CEP290 TUBA1A CEP78 HSP90AA1 HAUS5 NDE1 PRKAR2B HAUS4 CSNK1E
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.499338173873932	0.931249268984512	-0.333459446358207	-0.982463423625201	38855	22	POLR2E GTF2F2 NELFE POLR2L NELFB POLR2A POLR2K
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.150426500601811	0.599740850075369	-0.453105893271221	-1.29090210045721	11497	19	NUMB DTX2 PSENEN NCSTN NEURL1 ARRB1 ITCH MIB2 MIB1 APH1B
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.0318540100413621	0.233008694728091	-0.528581792687022	-1.52403737090881	2448	20	HIST1H2BN HIST1H3A HIST2H2AA3 HIST1H2BH HIST1H2BB KDM4C PKN1 HIST1H2BJ KDM1A HIST2H2AC
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	8.62143288214501e-05	0.00346402522148905	0.444129306178622	2.10163360188926	0	62	PSMA4 PSMD13 CDC27 PSMA5 PSMB3 PSME1 PSMB7 PSMC4 PSMB8 PSMA3 PSMD2 PSME2 PSMA7 PSMD7 PSMD11 ANAPC7 PSME3 BUB3 PSMB10 UBA52 PSMD5 PSMB9 PSMD3 PSMD12 PSMD9 PSMA6 PSMC3 PSMA1 PSMD8 PSMB4 UBE2E1
"reactome_Activation of ATR in response to replication stress"	0.521242670507149	0.94416875722001	0.242970498996553	0.9595282850649	10133	29	MCM8 CDC7 MCM6 RPA3 RAD1 CLSPN
"reactome_Activation of BH3-only proteins"	0.815625	0.99995420616385	-0.25040881778758	-0.751864225795963	64205	24	TP53BP2 BAD PPP1R13B YWHAH YWHAB BCL2 TFDP1 PPP3CC TFDP2
"reactome_Activation of E2F1 target genes at G1/S"	0.108159098544956	0.50806660899654	-0.461950774377591	-1.34710678298954	8369	21	POLA1 LIN37 RBL2 LIN9 TK1 CCNE1 TFDP1 LIN52
"reactome_Activation of HOX genes during differentiation"	0.424866358611942	0.900022235882141	-0.289120096662712	-1.03312882047981	37513	61	HIST1H2BN HIST1H3A HIST2H2AA3 POLR2E MAFB HIST1H2BH PAXIP1 HIST1H2BB PKNOX1 SUZ12 POLR2L NCOA6 POLR2A HIST1H2BJ
