pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	9.1726288754357e-05	0.00410234878609005	0.458082390383376	2.00078990236421	1	55	PSME1 RNF185 PSMB3 PSMC4 RNF5 PSMA4 PSMB10 PSMD13 PSME2 PSMA3 PSMB9 DERL1 SEL1L PSMB8 PSMA6 PSMA5 PSMD11 PSMA7 PSMD2 UBA52 PSMB1 PSMD12 PSMD7 PSMC1 PSMF1 DERL2
"reactome_ABC-family proteins mediated transport"	5.38155203960822e-05	0.00403273777007325	0.418359383772643	1.94254178259002	0	74	PSME1 RNF185 PSMB3 PSMC4 RNF5 PSMA4 PSMB10 PSMD13 PSME2 PSMA3 PSMB9 DERL1 EIF2S2 SEL1L PSMB8 PSMA6 PSMA5 PSMD11 PSMA7 PSMD2 EIF2S3 PEX3 UBA52 PSMB1 PSMD12 EIF2S1 PSMD7 ABCF1 PSMC1 PSMF1 DERL2
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.486640423353665	0.893653668535585	-0.335900024778548	-0.985663370694838	33748	20	ANAPC16 CDC26 ANAPC15 ANAPC2 ANAPC4 UBC
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.000830952999220982	0.0142289992959387	0.381629543084497	1.74721986308201	15	69	PSME1 PSMB3 PSMC4 CDC27 PSMA4 PSMB10 PSMD13 PSME2 PSMA3 PSMB9 BUB3 PSMB8 PSMA6 PSMA5 PSMD11 PSMA7 FZR1 CDC16 PSMD2 UBA52 UBE2E1 PSMB1 PSMD12 PSMD7 CDK2
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.323006461587829	0.789974630452606	-0.389802338455554	-1.11415342598256	22144	18	ANAPC16 CDC26 ANAPC15 ANAPC2 ANAPC4 UBC
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0012969545585551	0.020516585921524	0.386127768373448	1.71752855468705	26	60	PSME1 PSMB3 PSMC4 CDC27 PSMA4 PSMB10 PSMD13 PSME2 PSMA3 PSMB9 PSMB8 PSMA6 PSMA5 PSMD11 PSMA7 CDC16 PSMD2 UBA52 UBE2E1 PSMB1 PSMD12
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.000731493221496147	0.0133647911198209	0.39308362730967	1.76278320158009	14	62	PSME1 PSMB3 PSMC4 CDC27 PSMA4 PSMB10 PSMD13 PSME2 PSMA3 PSMB9 BUB3 PSMB8 PSMA6 PSMA5 PSMD11 PSMA7 CDC16 PSMD2 UBA52 UBE2E1 PSMB1 PSMD12
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.000926558080561787	0.0153901297181313	0.390697631118187	1.75208320363266	18	62	PSME1 PSMB3 PSMC4 CDC27 PSMA4 PSMB10 PSMD13 PSME2 PSMA3 PSMB9 PSMB8 PSMA6 PSMA5 PSMD11 PSMA7 FZR1 CDC16 PSMD2 UBA52 UBE2E1 PSMB1 PSMD12
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.000775945683802134	0.0138585567827456	0.396260759088256	1.76997735648051	15	61	PSME1 PSMB3 PSMC4 CDC27 PSMA4 PSMB10 PSMD13 PSME2 PSMA3 PSMB9 BUB3 PSMB8 PSMA6 PSMA5 PSMD11 PSMA7 CDC16 PSMD2 UBA52 UBE2E1 PSMB1 PSMD12
"reactome_ATF4 activates genes"	0.89155136688724	0.991212733648443	0.204941430192832	0.713681466629363	26676	22	EXOSC4 HERPUD1 DIS3 EXOSC7 EXOSC8
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.000219269394377933	0.00612111704305456	0.455019799760467	1.94800663190169	4	50	PSME1 PSMB3 PSMC4 PSMA4 PSMB10 HNRNPD PSMD13 PSME2 PSMA3 PSMB9 PSMB8 PSMA6 PSMA5 PSMD11 PSMA7 PSMD2 UBA52 PSMB1 PSMD12 PSMD7 HSPA8 PSMC1 PSMF1 PSMB5 PSMD6 PABPC1 PSMD14 PSMB2 PSMC2
"reactome_AURKA Activation by TPX2"	0.680261736865511	0.948994753543328	-0.238511155709049	-0.875378956813484	53539	58	CNTRL CEP250 HAUS2 HAUS1 CEP41 CEP78 ODF2 OFD1 DCTN3 DYNC1I2 DCTN1 HAUS5 PRKACA CEP70 TUBA1A CEP72 SDCCAG8 NDE1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.423573059360731	0.868222574829494	-0.343320812676282	-1.03094693419204	29683	22	POLR2F POLR2I POLR2L SUPT5H POLR2E POLR2D POLR2H NELFB POLR2J
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.481756060759934	0.892229689534865	-0.341476469715761	-0.988964643619878	33205	19	NEURL1 APH1B PSENEN DTX2 UBC MIB2 NUMB APH1A RPS27A ARRB1 ITCH
"reactome_Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	0.482067292042731	0.892229689534865	-0.356960499300277	-0.989752634127804	32580	16	KDM4C PKN1 HIST2H2AC HIST1H2BN HIST1H3A HIST1H2BC
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.000731493221496147	0.0133647911198209	0.39308362730967	1.76278320158009	14	62	PSME1 PSMB3 PSMC4 CDC27 PSMA4 PSMB10 PSMD13 PSME2 PSMA3 PSMB9 BUB3 PSMB8 PSMA6 PSMA5 PSMD11 PSMA7 CDC16 PSMD2 UBA52 UBE2E1 PSMB1 PSMD12
"reactome_Activation of ATR in response to replication stress"	0.806714239830189	0.985379073849595	-0.245476551402671	-0.766290736692215	57767	26	ATRIP RFC3 MCM8 RAD9A MCM7 DBF4 MCM4
"reactome_Activation of BH3-only proteins"	0.52520865269971	0.909583787153305	-0.315853787730076	-0.958680827232721	37001	23	YWHAB YWHAQ PPP3CC BCL2 TP53BP2 BCL2L11 TP53 AKT3 TFDP1 YWHAH BAD BID
"reactome_Activation of E2F1 target genes at G1/S"	0.683236925456141	0.948994753543328	-0.308654581308466	-0.841864772709294	45946	15	RBL2 LIN37 RBL1 HDAC1
"reactome_Activation of HOX genes during differentiation"	0.365850302696753	0.830751022272287	0.238634616755321	1.04229662956266	7976	55	ASH2L RQCD1 POLR2B KDM6A RBBP4 RARA EZH2 NCOA3 RARG HOXB2 WDR5 CTCF H3F3A NCOA6 CNOT6 POLR2G EED H2AFZ
"reactome_Activation of NF-kappaB in B cells"	0.00014629864429923	0.00495922547308205	0.421110922950336	1.88847158570137	2	62	PSME1 NFKBIE PSMB3 PSMC4 PSMA4 PSMB10 PSMD13 PSME2 PSMA3 PSMB9 PSMB8 PSMA6 PSMA5 PSMD11 PSMA7 REL PSMD2 NFKBIA UBA52 PSMB1 PSMD12 CARD11 PSMD7 PSMC1 PSMF1
"reactome_Activation of NMDA receptors and postsynaptic events"	0.251331160557411	0.709967785180033	-0.343177579347047	-1.15778062233159	18738	37	RPS6KA3 RPS6KA1 RPS6KA2 PRKAB1 PRKAB2 CAMK2D PRKX DLG4 MAPK1 PRKACA CAMK2G MAPK3 CAMKK1 CREB1 PRKAR1B PRKACB PDPK1 NRGN CAMKK2
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.365850302696753	0.830751022272287	0.238634616755321	1.04229662956266	7976	55	ASH2L RQCD1 POLR2B KDM6A RBBP4 RARA EZH2 NCOA3 RARG HOXB2 WDR5 CTCF H3F3A NCOA6 CNOT6 POLR2G EED H2AFZ
"reactome_Activation of gene expression by SREBF (SREBP)"	0.137562394371733	0.544175008828141	0.311643547950588	1.24147576636406	3499	37	GGPS1 FDFT1 SQLE HELZ2 MTF1 SREBF2 HMGCR MED1 TGS1 HMGCS1 NCOA6 DHCR7
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.0298896596675823	0.217748792578308	0.323366906091531	1.42374330831454	641	57	RPS24 RPS2 RPS11 EIF2S2 RPS29 RPS20 RPS8 EIF2S3 RPS7 RPS28 RPSA EIF2S1 EIF3J EIF3B EIF3F EIF4A1 FAU EIF3D RPS27L PABPC1 RPS16 RPS15
"reactome_Activation of the pre-replicative complex"	0.865541833362324	0.991212733648443	0.207468677600569	0.747498531331286	24879	25	RPA3 MCM6 ORC4 GMNN CDK2 MCM3 MCM5 POLE3
"reactome_Amino acid synthesis and interconversion (transamination)"	0.428514740895329	0.868222574829494	-0.365587439794402	-1.0295067901343	29156	17	RIMKLB GLS ASNS PSPH
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.446288612263716	0.879863958421403	0.219539064393976	1.00302112781247	8711	68	SPDL1 NUDC CENPP RANGAP1 PPP2R1A CKAP5 KIF2A SEC13 BUB3 CLIP1
"reactome_Amplification of signal from the kinetochores"	0.446288612263716	0.879863958421403	0.219539064393976	1.00302112781247	8711	68	SPDL1 NUDC CENPP RANGAP1 PPP2R1A CKAP5 KIF2A SEC13 BUB3 CLIP1
"reactome_Amyloid fiber formation"	0.948175270591076	0.991212733648443	-0.191529178801129	-0.646163342747925	70694	37	SORL1 MFGE8 APH1B PSENEN UBC HIST2H2AC SIAH1 HIST1H2BN HIST1H3A APH1A GSN HIST1H2BC RPS27A APP LYZ PARK2
"reactome_Anchoring of the basal body to the plasma membrane"	0.377559965907707	0.835843953849131	-0.273257227755574	-1.05421956841047	31008	78	CEP97 CNTRL CEP89 CEP250 RAB3IP HAUS2 MKS1 HAUS1 CEP41 CEP78 ODF2 OFD1 TTBK2 TCTN2 DCTN3 DYNC1I2 DCTN1 RAB11A HAUS5 PRKACA CEP70 B9D2 TUBA1A CEP72 SDCCAG8 NDE1
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.00120312813314618	0.0193081722623749	0.576670735771055	2.00817968372759	35	22	TAP1 TAPBP HLA-C CALR PDIA3 HLA-A SEC13 HLA-B HLA-E HLA-G
"reactome_Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	0.459432077625571	0.889290292686776	-0.334525608449734	-1.00453610065628	32196	22	PIK3R1 STIM1 ORAI2 FYN SOS1 PTPN6 CD79B
"reactome_Antigen processing-Cross presentation"	5.77700751010976e-05	0.00403273777007325	0.413497226428885	1.95570071304519	0	82	TAP1 PSME1 TAPBP PSMB3 HLA-C CALR PSMC4 PSMA4 PSMB10 PDIA3 PSMD13 HLA-A PSME2 CTSL PSMA3 CTSS PSMB9 HLA-B PSMB8 PSMA6 PSMA5 PSMD11 PSMA7 PSMD2 HLA-E NCF4 UBA52 PSMB1 PSMD12 MYD88 HLA-G PSMD7 TLR1
"reactome_Antigen processing: Ubiquitination & Proteasome degradation"	0.00262424143021158	0.0354379269559466	0.245105504011963	1.36295666719648	15	241	RBX1 UBE2L6 KLHL21 PSME1 FBXW2 TPP2 TRIM69 PSMB3 DTX3L UBE2D3 PSMC4 CDC27 UNKL PSMA4 PSMB10 PSMD13 ANAPC13 PSME2 PSMA3 RNF25 RBCK1 SOCS3 PSMB9 PSMB8 SMURF2 PSMA6 PSMA5 PSMD11 UBE2Z BLMH PSMA7 FBXW7 FBXO31 UBE2D2 FZR1 SMURF1 RNF144B RNF114 HERC1 CDC16 UFL1 PSMD2 UBE2V2 UBA52 UBE2E1 PSMB1 PSMD12 BTBD6 FBXO21 BTBD1 SOCS1 VHL PSMD7 UBE2E2 HERC5 RNF34 UBE2H UBE2R2 RNF4 UBE2B UBOX5 CBLB GAN PSMC1 FBXO6 PSMF1 RNF6 UBE2W RNF213 FBXW4 PSMB5 GLMN MKRN1 LRRC41 CDC34 HERC6 RCHY1 UBE2D4 ARIH2 TRIM21 KLHL5 PSMD6
"reactome_Antiviral mechanism by IFN-stimulated genes"	5.44721647238261e-05	0.00403273777007325	0.448514354503085	2.08767226826657	0	75	ISG15 EIF2AK2 UBE2L6 MX1 STAT1 MX2 KPNB1 OAS1 NUP93 OAS2 TRIM25 TPR USP18 ARIH1 SEC13 NUP88 OAS3 ABCE1 KPNA3 IRF3 NUP35 DDX58 UBA52 UBE2E1
