pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.596941008453689	0.972990486665573	0.265850916580012	0.910740850220682	25914	27	DERL2 PSMB6 PSMC1 UBC UBB PSMD6
"reactome_ABC-family proteins mediated transport"	0.2711805313437	0.839765645413787	0.317791598592246	1.12647308724978	11666	31	DERL2 PSMB6 PSMC1 EIF2S2 UBC ABCF1 UBB PSMD6
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.710809521285055	0.980527718357811	-0.256323504269472	-0.839399445020192	40223	27	PSMA1 PSME2 PSMF1 PSME1 BUB3 PSMA7 ANAPC16 PSMD2
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.801248293348937	0.990598659352199	-0.2416093269065	-0.776965789584297	45187	25	PSMA1 PSME2 PSMF1 PSME1 PSMA7 ANAPC16 PSMD2
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.664079802973121	0.972990486665573	-0.267277360328028	-0.867112053315124	37479	26	PSMA1 PSME2 PSMF1 PSME1 BUB3 PSMA7 ANAPC16 PSMD2
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.801248293348937	0.990598659352199	-0.2416093269065	-0.776965789584297	45187	25	PSMA1 PSME2 PSMF1 PSME1 PSMA7 ANAPC16 PSMD2
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.664079802973121	0.972990486665573	-0.267277360328028	-0.867112053315124	37479	26	PSMA1 PSME2 PSMF1 PSME1 BUB3 PSMA7 ANAPC16 PSMD2
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.56040926681864	0.969231841034448	-0.284374209824009	-0.931258936181599	31712	27	PSMA1 HSPB1 PSME2 PSMF1 HSPA8
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.664079802973121	0.972990486665573	-0.267277360328028	-0.867112053315124	37479	26	PSMA1 PSME2 PSMF1 PSME1 BUB3 PSMA7 ANAPC16 PSMD2
"reactome_Activation of HOX genes during differentiation"	0.29072631769607	0.862255891431278	-0.389466322196793	-1.13279550513466	16050	17	JUN POLR2L NCOA3 POLR2K
"reactome_Activation of NF-kappaB in B cells"	0.937438094579965	1	0.193690624454634	0.663537166863582	40696	27	PSMB6 PSMC1 UBC UBB PSMD6 RELA
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.29072631769607	0.862255891431278	-0.389466322196793	-1.13279550513466	16050	17	JUN POLR2L NCOA3 POLR2K
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.369708485664807	0.896929458230877	0.263068937503697	1.04455372363676	15370	51	RPS26 PABPC1 EIF2S2 RPS24
"reactome_Adaptive Immune System"	0.0794713300615022	0.611770030927377	-0.275245460896897	-1.24818103193508	5116	154	AP2S1 UBE2K LAT CD8B ITGA4 PSMA1 LCP2 HCST CTSD ICOS PSME2 FYB RNF213 WAS PSMF1 SEC24B HLA-B RNF19A ITGB1 CD74 RBCK1 UBE2L3 DYNC1H1 CAPZB SOCS3 PTPRC CBLB SH3KBP1 CD3G AP2M1 PSME1 SEC61B HLA-DPB1 PPP2R5C HLA-F RBBP6 HLA-A CYBA CD8A HLA-DRA WSB1 TPP2 PSMA7 PSMD2 CD3D EVL SEC61A1 NFKBIA ARIH2 CD99 KIF2A FBXO9 CUL2 FBXO21
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.563697456552215	0.969231841034448	0.310225525707853	0.921453377871614	25331	16	MAD1L1 MAPRE1 NDEL1
"reactome_Amplification of signal from the kinetochores"	0.563697456552215	0.969231841034448	0.310225525707853	0.921453377871614	25331	16	MAD1L1 MAPRE1 NDEL1
"reactome_Anchoring of the basal body to the plasma membrane"	0.0157617431684229	0.439826638013821	0.553553970908367	1.67297572236266	705	17	TUBA1A AKAP9 MAPRE1 TUBA4A CEP57 TUBB4B SEPT2 SSNA1 RAB8A
"reactome_Antigen processing-Cross presentation"	0.655213828183873	0.972990486665573	0.239571987647302	0.885517898013391	27822	37	CALR PSMB6 PSMC1 PDIA3 UBC SEC61G UBB PSMD6
