pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.2556833160958	0.773767743181528	0.31114568857581	1.14097482329454	12607	39	PSMA6 PSMD4 PSMA3 SEL1L PSMA7 PSMC6 PSMD7 PSME3 PSME2 PSMB2 PSMC3 PSMB9 PSMD8 VCP PSMB4 PSMB8 PSMB6
"reactome_ABC-family proteins mediated transport"	0.282149945319778	0.793531828047908	0.29706712049943	1.11412869798615	13931	43	PSMA6 PSMD4 PSMA3 SEL1L PSMA7 PSMC6 PSMD7 PSME3 PSME2 PSMB2 PSMC3 PSMB9 PSMD8 VCP PSMB4 PSMB8 PSMB6 UBC PSMD1 PSMA4 PSMD6 PSME1 ABCF1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.579029385574355	0.936916487281692	0.248523756691913	0.927410490467033	28610	42	PSMA6 PSMD4 PSMA3 PSMA7 PSMC6 PSMD7 PSME3 PSME2 PSMB2 PSMC3 PSMB9 PSMD8 PSMB4 PSMB8 PSMB6 CDC14A UBC PSMD1 PSMA4 PSMD6 PSME1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.464318306260267	0.885935034672073	0.270833910511606	0.9931510688854	22895	39	PSMA6 PSMD4 PSMA3 PSMA7 PSMC6 PSMD7 PSME3 PSME2 PSMB2 PSMC3 PSMB9 PSMD8 PSMB4 PSMB8 PSMB6
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.473337788849059	0.886810875987702	0.26760635302349	0.987216579452034	23371	40	PSMA6 PSMD4 PSMA3 PSMA7 PSMC6 PSMD7 PSME3 PSME2 PSMB2 PSMC3 PSMB9 PSMD8 PSMB4 PSMB8 PSMB6
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.464318306260267	0.885935034672073	0.270833910511606	0.9931510688854	22895	39	PSMA6 PSMD4 PSMA3 PSMA7 PSMC6 PSMD7 PSME3 PSME2 PSMB2 PSMC3 PSMB9 PSMD8 PSMB4 PSMB8 PSMB6
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.473337788849059	0.886810875987702	0.26760635302349	0.987216579452034	23371	40	PSMA6 PSMD4 PSMA3 PSMA7 PSMC6 PSMD7 PSME3 PSME2 PSMB2 PSMC3 PSMB9 PSMD8 PSMB4 PSMB8 PSMB6
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.345342973449177	0.853895982295567	0.289942621362022	1.0696164708513	17051	40	HNRNPD PSMA6 PSMD4 PSMA3 PSMA7 PSMC6 PSMD7 PSME3 PSME2 PSMB2 PSMC3 PSMB9 PSMD8 PSMB4 PSMB8 PSMB6
"reactome_AURKA Activation by TPX2"	0.769286854395334	0.974487687565627	-0.247031602622287	-0.796016029649017	39038	23	YWHAE TUBA4A DCTN2 TUBB4B DCTN3 OFD1 PAFAH1B1
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.473337788849059	0.886810875987702	0.26760635302349	0.987216579452034	23371	40	PSMA6 PSMD4 PSMA3 PSMA7 PSMC6 PSMD7 PSME3 PSME2 PSMB2 PSMC3 PSMB9 PSMD8 PSMB4 PSMB8 PSMB6
"reactome_Activation of HOX genes during differentiation"	0.482527119878724	0.89146514982712	-0.320240991781233	-0.980492515502777	24508	19	H2AFZ POLR2J POLR2E H2AFV POLR2K RBBP4 CREBBP H3F3A
"reactome_Activation of NF-kappaB in B cells"	0.43712053752125	0.885935034672073	0.270486608889579	1.00936877002879	21598	42	PSMA6 PSMD4 PSMA3 PSMA7 PSMC6 PSMD7 PSME3 PSME2 PSMB2 PSMC3 PSMB9 PSMD8 PSMB4 PSMB8 PSMB6 REL RELA UBC PSMD1 PSMA4 PSMD6 PSME1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.482527119878724	0.89146514982712	-0.320240991781233	-0.980492515502777	24508	19	H2AFZ POLR2J POLR2E H2AFV POLR2K RBBP4 CREBBP H3F3A
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	1.97562083884861e-05	0.000470594737890463	-0.567328292336558	-2.22569739725937	0	53	EIF3L RPS27A RPS3A RPS4X EIF4B RPS13 RPS15A RPS12 RPS8 RPS2 RPS27 RPS7 RPS29 RPS3 RPS28 RPS6 RPS16 FAU RPS14 RPS25 RPS21 RPSA RPS9 RPS23 RPS11 EIF4A1 EIF4E RPS5 RPS18 EIF3A
"reactome_Adaptive Immune System"	0.00686106346483705	0.0903957631681086	0.284184907179003	1.41109135238176	339	222	ITGAL CD8A IFITM1 NCF1 LNPEP KLRD1 RNF213 HLA-DPB1 ZAP70 UBR1 TYROBP ITGB2 PPP3CA PSMA6 CTSD CALR FCGR3A LYN HUWE1 PSMD4 KLRB1 HLA-F VAMP8 PSMA3 HCST CLTA NCK1 ERAP2 PSMA7 ICAM3 PSMC6 TRIP12 PSMD7 FYN PSME3 HLA-A PSME2 TAPBP CDC42 KIF22 PPP2R5C PSMB2 HLA-DRB1 CD74 B2M RNF4 DCTN4 PSMC3 RICTOR UBE2Q2 VASP PPP2R5E PSMB9 WWP1 CLTC KRAS STUB1 CD3G PSMD8 RNF114 CTSS
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.565746641150591	0.936916487281692	-0.293973666123614	-0.924680750425581	28675	21	RPS27 MAD1L1 KIF2A PPP2CA NUP133 PAFAH1B1
"reactome_Amplification of signal from the kinetochores"	0.565746641150591	0.936916487281692	-0.293973666123614	-0.924680750425581	28675	21	RPS27 MAD1L1 KIF2A PPP2CA NUP133 PAFAH1B1
