pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.471864819892662	0.789161509566161	-0.273360413772719	-0.986543064898944	20133	32	PSMA1 UBA52 PSMB7 PSMC5 PSMA6 PSMD11
"reactome_ABC-family proteins mediated transport"	0.603625235404897	0.842980983771789	-0.249099016827986	-0.912870142887255	25641	34	PSMA1 UBA52 PSMB7 PSMC5 PSMA6 PSMD11
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0358348480914048	0.259766890406137	-0.397443573996267	-1.476618398325	1517	36	ANAPC16 ANAPC11 PSMA1 UBA52 PSMB7 PSMC5 PSMA6
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0366581013225206	0.259766890406137	-0.400484773911157	-1.47798266023059	1554	35	ANAPC16 ANAPC11 PSMA1 UBA52 PSMB7 PSMC5 PSMA6
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0366581013225206	0.259766890406137	-0.400484773911157	-1.47798266023059	1554	35	ANAPC16 ANAPC11 PSMA1 UBA52 PSMB7 PSMC5 PSMA6
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0366581013225206	0.259766890406137	-0.400484773911157	-1.47798266023059	1554	35	ANAPC16 ANAPC11 PSMA1 UBA52 PSMB7 PSMC5 PSMA6
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0366581013225206	0.259766890406137	-0.400484773911157	-1.47798266023059	1554	35	ANAPC16 ANAPC11 PSMA1 UBA52 PSMB7 PSMC5 PSMA6
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.346856031310788	0.708361882577559	-0.29582755432876	-1.06762576958822	14799	32	PSMA1 UBA52 PSMB7 PSMC5 PSMA6 HNRNPD PSMD11
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0366581013225206	0.259766890406137	-0.400484773911157	-1.47798266023059	1554	35	ANAPC16 ANAPC11 PSMA1 UBA52 PSMB7 PSMC5 PSMA6
"reactome_Activation of HOX genes during differentiation"	0.51727556188382	0.80075425963936	0.32125440459845	0.956784793040664	28699	18	KMT2C NCOA3 POLR2J JUN RARA POLR2F H2AFZ
