pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0544303558980349	0.380487861349878	-0.352723468460523	-1.3834743292536	2888	53	RNF5 PSMC5 PSMB4 PSMA7 PSMB8 PSMB6 PSMA6 RPS27A PSMD3 PSMC3 VCP PSMC6 PSMB5 PSMD13 PSME1 SEL1L PSMD9 PSMA1 DERL2 PSMB7
"reactome_ABC-family proteins mediated transport"	0.35330212432624	0.733095404258979	-0.258030351111402	-1.05565603336497	18942	65	RNF5 PSMC5 PSMB4 PSMA7 PSMB8 PSMB6 PSMA6 RPS27A PSMD3 PSMC3 VCP PSMC6 PSMB5 PSMD13 ABCC1 PSME1 SEL1L PSMD9 PSMA1 DERL2 PSMB7
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.274835264057787	0.682033448273431	-0.385871648040077	-1.14903666509051	14305	17	ANAPC4 UBE2D1 RPS27A ANAPC16 ANAPC11
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0657744715052055	0.39878567245146	-0.330515684754296	-1.34375569971183	3518	63	ANAPC4 UBE2D1 PSMC5 PSMB4 PSMA7 PSMB8 PSMB6 PSMA6 RPS27A PSMD3 PSMC3 PSMC6 PSMB5 PSMD13 PSME1 FZR1 ANAPC16 ANAPC11 PSMD9 PSMA1 PSMB7
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.290101469087548	0.693232587992568	-0.388373378290646	-1.13608186061717	15066	16	ANAPC4 UBE2D1 RPS27A ANAPC16 ANAPC11
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0485694400030097	0.355807943052352	-0.348040437013322	-1.39024282063849	2581	58	ANAPC4 UBE2D1 PSMC5 PSMB4 PSMA7 PSMB8 PSMB6 PSMA6 RPS27A PSMD3 PSMC3 PSMC6 PSMB5 PSMD13 PSME1 ANAPC16 ANAPC11 PSMD9 PSMA1 PSMB7
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0479432783748804	0.353901909835949	-0.347236277397428	-1.39244124782523	2555	59	ANAPC4 UBE2D1 PSMC5 PSMB4 PSMA7 PSMB8 PSMB6 PSMA6 RPS27A PSMD3 PSMC3 PSMC6 PSMB5 PSMD13 PSME1 ANAPC16 ANAPC11 PSMD9 PSMA1 PSMB7
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0351133869787857	0.313852798241299	-0.356502934893111	-1.42960117887613	1871	59	ANAPC4 UBE2D1 PSMC5 PSMB4 PSMA7 PSMB8 PSMB6 PSMA6 RPS27A PSMD3 PSMC3 PSMC6 PSMB5 PSMD13 PSME1 FZR1 ANAPC16 ANAPC11 PSMD9 PSMA1 PSMB7
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0436974473768364	0.343502037031487	-0.351300180636019	-1.40326382247226	2322	58	ANAPC4 UBE2D1 PSMC5 PSMB4 PSMA7 PSMB8 PSMB6 PSMA6 RPS27A PSMD3 PSMC3 PSMC6 PSMB5 PSMD13 PSME1 ANAPC16 ANAPC11 PSMD9 PSMA1 PSMB7
"reactome_ATF4 activates genes"	0.780070312950262	0.965394510327726	-0.257813653696167	-0.779452682631891	40604	18	EXOSC5 DDIT3 HERPUD1
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.062782217687846	0.394880097784694	-0.352876374491354	-1.36767879290558	3322	50	PSMC5 PSMB4 PSMA7 PSMB8 PSMB6 HSPA1A PSMA6 RPS27A PSMD3 PSMC3 PSMC6 PSMB5 PSMD13 PSME1 HSPA8 PSMD9 PSMA1 PSMB7
"reactome_AURKA Activation by TPX2"	0.731148510251916	0.949471287975464	0.224689447869558	0.844984361704021	34624	40	PAFAH1B1 CNTRL CEP135 ODF2 CLASP1 CEP164 DCTN3 TUBB TUBA1A CEP57
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.141030065961037	0.536252977549493	-0.411549005319546	-1.29683926384607	7354	21	NELFE POLR2E POLR2I GTF2F1 POLR2F POLR2L POLR2H POLR2A POLR2J POLR2G
"reactome_Activated NOTCH1 Transmits Signal to the Nucleus"	0.721605839416058	0.945693322696305	0.271700339770613	0.818345213097003	34600	17	APH1B ARRB1 ADAM17 PSEN1 ITCH
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0479432783748804	0.353901909835949	-0.347236277397428	-1.39244124782523	2555	59	ANAPC4 UBE2D1 PSMC5 PSMB4 PSMA7 PSMB8 PSMB6 PSMA6 RPS27A PSMD3 PSMC3 PSMC6 PSMB5 PSMD13 PSME1 ANAPC16 ANAPC11 PSMD9 PSMA1 PSMB7
"reactome_Activation of BH3-only proteins"	0.78174869894187	0.965394510327726	-0.25174195870492	-0.782367959822874	40707	20	BBC3 TFDP1 YWHAE
"reactome_Activation of HOX genes during differentiation"	0.25512929809605	0.670100820165169	-0.2996162794116	-1.13596655839818	13466	45	POLR2E PAGR1 POLR2I POLR2F YY1 SUZ12 HDAC3 POLR2L H2AFJ POLR2H POLR2A NCOA6 HIST2H2AC MAFB POLR2J WDR5 JUN POLR2G KDM6A H3F3A
"reactome_Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon"	0.131475096581232	0.522329403717712	0.456612279030124	1.32831461835533	6329	15	TANK IRF7 PTPN11 TLR4 TBK1
"reactome_Activation of NF-kappaB in B cells"	0.395793104741193	0.762414969454478	-0.256066845835274	-1.03069481212116	21111	60	PSMC5 PSMB4 PSMA7 PSMB8 PSMB6 PSMA6 RPS27A PSMD3 PSMC3 NFKBIE RELA PSMC6 PSMB5 PSMD13 FBXW11 PSME1 CHUK PSMD9 PSMA1 PSMB7
"reactome_Activation of NMDA receptors and postsynaptic events"	0.918834788095488	0.986021011853851	0.197145786151928	0.691605993440373	43685	30	KRAS PDPK1 ARHGEF7 PRKAR1A CAMKK1 PRKAA1 HRAS CALM1 NRAS
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.25512929809605	0.670100820165169	-0.2996162794116	-1.13596655839818	13466	45	POLR2E PAGR1 POLR2I POLR2F YY1 SUZ12 HDAC3 POLR2L H2AFJ POLR2H POLR2A NCOA6 HIST2H2AC MAFB POLR2J WDR5 JUN POLR2G KDM6A H3F3A
"reactome_Activation of gene expression by SREBF (SREBP)"	0.629359763139659	0.899420104304173	0.267775766534119	0.88630493868862	29971	24	IDI1 SREBF2 SP1 TBL1X MVD MTF1 TBL1XR1 NCOA2
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	7.52374682591931e-05	0.00404192398925776	-0.496568654750468	-1.97002797407715	3	56	EIF3B RPS9 EIF4EBP1 RPS5 RPS18 EIF3D RPS11 RPS2 RPS26 RPSA RPS12 RPS3 RPS27A RPS14 RPS6 RPS8 RPS15A RPS21 RPS27 RPS4Y1 EIF3K EIF4A2 RPS28 EIF3H RPS3A RPS4X RPS24 EIF4A1 RPS19 RPS13 RPS20 RPS16 RPS25 RPS23 EIF4G1 RPS15
"reactome_Adaptive Immune System"	0.374174789675636	0.75089950591949	0.186689525805563	1.02239457421424	15699	433	CBLB REL CAPZA1 KRAS LCP2 CTSL PSMD12 LTN1 HLA-F KIF22 ASB1 UBE2A CDC26 MALT1 ICAM4 ITGAV DCTN4 RNF34 LONRF1 ANAPC13 HLA-C PIK3CD PSMD11 PAK2 TPP2 HERC5 RNF111 KIF3B BTN2A1 CTSO PTPN6 TAB2 TRIM69 CD86 RNF6 PTPN11 RICTOR LYN RNF4 PILRA FBXL20 RNF14 UBE2D2 UBE2N CD300LF MAP3K7 HECTD1 HLA-DPA1 DNM2 IFITM1 TLR4 CD1D CUL5 UBE3A PDPK1 B2M SYK TAP1 RNF114 UBE3B DCTN5 YWHAZ MGRN1 TRIM4 ERAP1 KLHL20 CLEC2B TRIM11 UBE2Q2 AP2B1 RAP1B TLR1 HRAS LILRB1 ASB8 PIK3R1 DCTN3 FBXW7 PSMD6 RAP1A HLA-A FBXO21 PAG1 IFI30 NFKB1 BTBD1 CALM1 BCL10 RNF115 ITCH CD74 RNF19A UBE2D4
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.767869959890226	0.960582472462935	0.220052465901107	0.822758693889038	36373	39	PAFAH1B1 CLIP1 CLASP2 RANBP2 CLASP1
"reactome_Amplification of signal from the kinetochores"	0.767869959890226	0.960582472462935	0.220052465901107	0.822758693889038	36373	39	PAFAH1B1 CLIP1 CLASP2 RANBP2 CLASP1
"reactome_Amyloid fiber formation"	0.850811140553215	0.978115163233546	-0.217417305077522	-0.75024408061114	44630	30	FURIN TGFBI PSENEN RPS27A NCSTN CST3 SIAH2 APP HIST2H2AC H3F3A GGA3
