pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	4.63198851266849e-05	0.0051622040136642	0.502322007368509	2.04999234296648	1	55	PSMD11 PSMF1 DERL1 PSMD2 UBC PSMA7 PSMD3 PSMA1 DERL2 ERLIN1 PSMC4 PSMA4 RNF5 RNF185 PSMD5 PSMD12 PSMC1 PSME1 PSMA6 PSMB2 PSMC2 PSMD6 ERLEC1 PSMA3 VCP PSMD7 PSME2 PSME4 PSMA5 PSMB8 UBB PSMD9 PSMB7
"reactome_ABC-family proteins mediated transport"	0.000616566672199957	0.0292164521669608	0.412232916679293	1.79142522565466	25	75	ABCC1 PSMD11 PSMF1 DERL1 PSMD2 ABCF1 EIF2S1 UBC PSMA7 PSMD3 PSMA1 EIF2S2 DERL2 ERLIN1 PSMC4 PSMA4 RNF5 RNF185 PSMD5 PSMD12 ABCB1 PSMC1 ABCD3 PSME1 PSMA6 PEX3 PSMB2 PSMC2 PSMD6 ERLEC1 ABCB7 PSMA3 VCP PSMD7 PSME2 PSME4 PSMA5 PSMB8 PEX19 UBB PSMD9 PSMB7
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.884934822066993	0.961927745182412	-0.224674391318264	-0.69569503895435	48266	20	ANAPC16 CDC26 ANAPC2 ANAPC11 UBA52 UBE2E1 CDC16 RPS27A MAD2L1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.00542350499905678	0.104948568479521	0.374784644448524	1.60654142648304	229	70	CDC23 PSMD11 PSMF1 FZR1 PSMD2 UBC PSMA7 PSMD3 PSMA1 BTRC PSMC4 FBXO5 PTTG1 PSMA4 CDK2 PSMD5 PSMD12 CDC27 PSMC1 SKP1 PSME1 PSMA6 PSMB2 ANAPC7
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.856639226254199	0.950643129302502	-0.238613197288209	-0.717206348282564	46410	18	ANAPC16 CDC26 ANAPC2
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0237850707249895	0.230932992640092	0.353915659514361	1.47094949380665	1018	60	CDC23 PSMD11 PSMF1 PSMD2 UBC PSMA7 PSMD3 PSMA1 PSMC4 PTTG1 PSMA4 PSMD5 PSMD12 CDC27 PSMC1 PSME1 PSMA6 PSMB2 ANAPC7 PSMC2 PSMD6 PSMA3 PSMD7 PSME2 PSME4 PSMA5 PSMB8 UBB PSMD9 PSMB7
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0283565355507802	0.246873040477527	0.344637004633567	1.44304164903982	1213	62	CDC23 PSMD11 PSMF1 PSMD2 UBC PSMA7 PSMD3 PSMA1 PSMC4 PTTG1 PSMA4 PSMD5 PSMD12 CDC27 PSMC1 PSME1 PSMA6 PSMB2 ANAPC7 PSMC2 PSMD6 PSMA3 PSMD7 PSME2 PSME4 PSMA5 PSMB8 UBB PSMD9 PSMB7
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0112818835840419	0.15769724475964	0.37004674489859	1.54943566071219	482	62	CDC23 PSMD11 PSMF1 FZR1 PSMD2 UBC PSMA7 PSMD3 PSMA1 PSMC4 PTTG1 PSMA4 PSMD5 PSMD12 CDC27 PSMC1 PSME1 PSMA6 PSMB2 ANAPC7 PSMC2 PSMD6 PSMA3 PSMD7 PSME2 PSME4 PSMA5 PSMB8 SKP2 UBB PSMD9 PSMB7
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0412960758223031	0.295122333895703	0.335471087167831	1.39994683722716	1768	61	CDC23 PSMD11 PSMF1 PSMD2 UBC PSMA7 PSMD3 PSMA1 PSMC4 PSMA4 PSMD5 PSMD12 CDC27 PSMC1 PSME1 PSMA6 PSMB2 ANAPC7 PSMC2 PSMD6 PSMA3 PSMD7 PSME2 PSME4 PSMA5 PSMB8 UBB PSMD9 PSMB7
"reactome_ATF4 activates genes"	0.934079245864811	0.976619371602551	0.199729404201598	0.653651641427073	42409	22	EXOSC5 IL8 ATF4 DIS3 EXOSC8 ATF6 EXOSC2 NFYB NFYC KHSRP EXOSC4 NFYA
