pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.527954706298655	0.823145651255726	0.241435826325194	0.957045203605615	21633	50	PSMC1 PSMB9 PSMD11 PSMB10 UBB PSMD6 PSMC2 PSMB2 PSMC3 PSMA3 RNF5 PSMA1 PSMB7 UBC PSMD3 PSMD7 PSME2 RPS27A PSME1 PSMD5 PSMC6 PSMA6
"reactome_ABC-family proteins mediated transport"	0.88663696358581	0.970121517135253	-0.194239484891065	-0.756744788095085	52933	59	ABCG1 PSMF1 PSMB4 PSME3 PSMD12 ABCA2 PSMB6 EIF2S2 PSMD4 PSMC5
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.158991287407327	0.539866681307038	-0.4591496183478	-1.2882830289701	8813	15	ANAPC5 ANAPC10 CDC16 ANAPC11 UBE2D1 ANAPC15
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.494614093959732	0.815498724426555	-0.251933711129061	-0.978043463546789	29478	58	ANAPC5 ANAPC10 PSMF1 PSMB4 PSME3 CDC16 PSMD12 PSMB6 ANAPC11 UBE2D1 PSMD4 ANAPC15 PSMC5
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.352925275802065	0.730093897307773	-0.278740478808804	-1.06220188084039	20889	53	ANAPC5 ANAPC10 PSMF1 PSMB4 PSME3 CDC16 PSMD12 PSMB6 ANAPC11 UBE2D1 PSMD4 ANAPC15 PSMC5
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.388693654119078	0.75625377863461	-0.27172275437207	-1.03913445075747	23005	54	ANAPC5 ANAPC10 PSMF1 PSMB4 PSME3 CDC16 PSMD12 PSMB6 ANAPC11 UBE2D1 PSMD4 ANAPC15 PSMC5
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.35758937622491	0.734433000777125	-0.276924709278566	-1.0590280020617	21164	54	ANAPC5 ANAPC10 PSMF1 PSMB4 PSME3 CDC16 PSMD12 PSMB6 ANAPC11 UBE2D1 PSMD4 ANAPC15 PSMC5
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.388693654119078	0.75625377863461	-0.27172275437207	-1.03913445075747	23005	54	ANAPC5 ANAPC10 PSMF1 PSMB4 PSME3 CDC16 PSMD12 PSMB6 ANAPC11 UBE2D1 PSMD4 ANAPC15 PSMC5
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.677706173078787	0.881634361671693	0.225540673083826	0.882799501093012	27972	47	PSMC1 PSMB9 PSMD11 PSMB10 UBB PSMD6 PSMC2 PSMB2 PABPC1 PSMC3 PSMA3 PSMA1 PSMB7 UBC PSMD3 PSMD7 PSME2 RPS27A PSME1 PSMD5
"reactome_AURKA Activation by TPX2"	0.282736439499305	0.680507802912542	-0.327331181853682	-1.12422142259819	16262	33	ODF2 DYNC1H1 DCTN2 DCTN1 TUBB PPP2R1A OFD1 CSNK1D CEP78 TUBB4B
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.635295165167839	0.864550792952907	-0.289740519506858	-0.879705294404671	35674	20	POLR2J POLR2E POLR2L NCBP2 POLR2I GTF2F1 NELFE POLR2C POLR2H POLR2F
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.388693654119078	0.75625377863461	-0.27172275437207	-1.03913445075747	23005	54	ANAPC5 ANAPC10 PSMF1 PSMB4 PSME3 CDC16 PSMD12 PSMB6 ANAPC11 UBE2D1 PSMD4 ANAPC15 PSMC5
"reactome_Activation of BH3-only proteins"	0.77724575128136	0.923368389041736	0.262151138071172	0.778274092381773	34574	16	MAPK8 BID
"reactome_Activation of HOX genes during differentiation"	0.077026352479474	0.392956057854016	-0.383883505678147	-1.36252146703712	4474	38	HDAC3 NCOR1 HIST2H2AC POLR2J POLR2E POLR2L RBBP4 CTCF H2AFV EP300 H3F3A YY1 POLR2I CREBBP HIST1H3A POLR2C POLR2H EZH2 POLR2F
"reactome_Activation of NF-kappaB in B cells"	0.483319752080401	0.804440672106701	0.240592481226986	0.981814936108412	19572	57	PSMC1 NFKBIA MALT1 IKBKG PSMB9 PSMD11 REL PSMB10 UBB PSMD6 PSMC2 PSMB2 PSMC3 PSMA3 SKP1 PSMA1 PSMB7 UBC PSMD3 PSMD7 PSME2 RPS27A PSME1 PSMD5 CUL1 PSMC6 PSMA6
"reactome_Activation of NMDA receptors and postsynaptic events"	0.344444046424989	0.726047552594855	-0.367711140678021	-1.08558313018287	19230	18	CAMK2D KPNA2 PRKAG1 CREB1 RPS6KA1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.077026352479474	0.392956057854016	-0.383883505678147	-1.36252146703712	4474	38	HDAC3 NCOR1 HIST2H2AC POLR2J POLR2E POLR2L RBBP4 CTCF H2AFV EP300 H3F3A YY1 POLR2I CREBBP HIST1H3A POLR2C POLR2H EZH2 POLR2F
"reactome_Activation of gene expression by SREBF (SREBP)"	0.29723794430609	0.69549355384907	0.364890801351845	1.12094372908634	13128	18	IDI1 HMGCS1 MVD NCOA1 SREBF2 NCOA2 HMGCR CHD9 FDPS
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.999656980447886	1	0.122476584434035	0.494237769568794	40799	54	EIF3J PABPC1 RPS12 EIF4EBP1 EIF4G1 RPS5 RPS6 RPS23 RPS4X RPS14 RPS29 RPS27 RPS27A EIF3M RPS3A RPS15A RPS28 RPS13 RPS8 RPS24 RPS16 RPS20 RPS18
"reactome_Adaptive Immune System"	0.264082289552865	0.67157599479252	-0.214227173317746	-1.07362569119896	18869	351	ITGB1 ANAPC5 CD81 HLA-DQB1 UNKL CARD11 RAP1GAP2 CD3E KLHL20 PRKCB MIB2 DYNC1H1 CLTA KIF3B ANAPC10 HLA-DMA DCTN2 KLRG1 KIFAP3 PSMF1 FBXW2 AP2S1 LCK SIPA1 UBE2E3 ITK PSMB4 KIF22 ITGA4 PSME3 RASGRP2 PTPN6 KLHL11 HLA-DRB5 PPP2R5A UBA3 ICAM3 CDC16 HLA-DRA DCTN1 CD99 PSMD12 KLRC1 GLMN FBXW7 EVL PSMB6 CD8A FKBP1A ANAPC11 ITGB2 PTPRC UBE2G1 FCGR3A ORAI1 FBXW5 PPP2R1A
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.684820069627893	0.885792028944404	-0.257617457647266	-0.857916102465115	39144	29	DYNC1H1 TAOK1 PPP2R5A XPO1 PPP2R1A CLIP1 NUP107 PPP2R5C NUP133 PPP1CC
"reactome_Amplification of signal from the kinetochores"	0.684820069627893	0.885792028944404	-0.257617457647266	-0.857916102465115	39144	29	DYNC1H1 TAOK1 PPP2R5A XPO1 PPP2R1A CLIP1 NUP107 PPP2R5C NUP133 PPP1CC
"reactome_Amyloid fiber formation"	0.77879474560068	0.923375093360629	-0.248370370392419	-0.789682053223159	43990	24	GGA3 GGA2 HIST2H2AC
"reactome_Anchoring of the basal body to the plasma membrane"	0.104037507084099	0.454469893045308	-0.363149228856269	-1.30995391703479	6057	41	TMEM216 ODF2 DYNC1H1 DCTN2 SCLT1 AHI1 DCTN1 TUBB PPP2R1A OFD1 CSNK1D RAB11A CEP78 TUBB4B
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.00115790668634351	0.0368068083610183	0.619022981908778	1.93063686652767	50	19	SEC23A HLA-C HLA-B HLA-F HLA-A PDIA3 TAPBP CALR HLA-E TAP1 SEC13 HSPA5
"reactome_Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	0.889113406743104	0.970121517135253	0.224286843075864	0.699515947831453	39160	19	ITPR1 SH3KBP1 VAV1 PIK3AP1 LYN
"reactome_Antigen processing-Cross presentation"	0.0129935283198716	0.171500602286477	0.362569039013798	1.52376238119021	517	66	HLA-C HLA-B HLA-F PSMC1 HLA-A IKBKG PSMB9 PSMD11 PDIA3 TAPBP CALR PSMB10 HLA-E UBB CTSS PSMD6 PSMC2 TAP1 PSMB2 PSMC3 PSMA3 NCF1 SEC61G PSMA1 PSMB7 UBC PSMD3 PSMD7 PSME2 RPS27A PSME1 PSMD5
"reactome_Antigen processing: Ubiquitination & Proteasome degradation"	0.700734658599827	0.891373548630779	-0.197573837437126	-0.899429165287193	45401	152	ANAPC5 UNKL KLHL20 MIB2 ANAPC10 PSMF1 FBXW2 UBE2E3 PSMB4 PSME3 KLHL11 UBA3 CDC16 PSMD12 GLMN FBXW7 PSMB6 ANAPC11 UBE2G1 FBXW5 UBR2 UBE2D1 UBE2L3 FBXO11 PSMD4 UBA5 UBE2N PSMC5 STUB1 UBE2J2 UBE2S RNF138 HUWE1 RNF6 LNPEP RNF220 TRAF7 UBE2J1
