pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.960981107771576	0.997984268928834	0.178027946929588	0.655917326179221	53714	45	PSMD3 UBC PSMD12 PSMB7 PSMD2 DERL2 PSME4 PSMA7 PSMB10 VCP
"reactome_ABC-family proteins mediated transport"	0.508849478972502	0.893726518655928	0.257784978238807	0.96796225036142	28663	49	ABCF1 PSMD3 EIF2S1 UBC PSMD12 PSMB7 PSMD2 ABCC1 DERL2 PSME4 PSMA7 PSMB10 VCP
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.518594710736245	0.893726518655928	-0.248023366601654	-0.963653455530127	22687	48	ANAPC16 CUL1 PSMB2 PSMD11 ANAPC15 ANAPC5 RPS27A PSMD8 SKP1 PSMA3 PSMC3 PSMC5 PSMB1 PSMF1
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.768275300346162	0.975205740380422	-0.217650113345179	-0.830652706190756	33956	44	ANAPC16 PSMB2 PSMD11 ANAPC15 ANAPC5 RPS27A PSMD8 PSMA3 PSMC3 PSMC5 PSMB1 PSMF1
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.845916655330341	0.982449306269509	-0.20422460986221	-0.783149877054119	37309	45	ANAPC16 PSMB2 PSMD11 ANAPC15 ANAPC5 RPS27A PSMD8 PSMA3 PSMC3 PSMC5 PSMB1 PSMF1
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.768275300346162	0.975205740380422	-0.217650113345179	-0.830652706190756	33956	44	ANAPC16 PSMB2 PSMD11 ANAPC15 ANAPC5 RPS27A PSMD8 PSMA3 PSMC3 PSMC5 PSMB1 PSMF1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.845916655330341	0.982449306269509	-0.20422460986221	-0.783149877054119	37309	45	ANAPC16 PSMB2 PSMD11 ANAPC15 ANAPC5 RPS27A PSMD8 PSMA3 PSMC3 PSMC5 PSMB1 PSMF1
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.984488478436295	0.997984268928834	0.163571368467229	0.597071031378713	54899	43	PSMD3 UBC PSMD12 PSMB7 PSMD2 PSME4 PSMA7 PSMB10
"reactome_AURKA Activation by TPX2"	0.0919930294414381	0.54081616376597	0.424657921187228	1.36749377418777	5014	25	TUBA4A PCM1 TUBA1A PPP2R1A YWHAE PAFAH1B1 HAUS3 SFI1
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.845916655330341	0.982449306269509	-0.20422460986221	-0.783149877054119	37309	45	ANAPC16 PSMB2 PSMD11 ANAPC15 ANAPC5 RPS27A PSMD8 PSMA3 PSMC3 PSMC5 PSMB1 PSMF1
