pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.144681887138764	0.8577105596298	0.320228115449041	1.23507075814077	7724	51	PSMC3 PSMF1 PSME1 ERLEC1 RNF5 UBB PSMD7 ERLIN2 UBC PSME2 PSMD6
"reactome_ABC-family proteins mediated transport"	0.153231527461449	0.864520036830341	0.309378815935678	1.22058010931951	8207	57	PSMC3 PSMF1 PSME1 ERLEC1 ABCB8 RNF5 UBB PSMD7 ERLIN2 UBC PSME2 PSMD6
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.829416819217693	0.971278538985952	0.203700491712949	0.797769368998407	44401	55	PSMC3 PSMF1 PSME1 UBB PSMD7 CUL1 UBC PSME2 PSMD6
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.791156214465017	0.971278538985952	-0.209354428166585	-0.823031002562715	36874	51	PSMC5 ANAPC5 PSME3 PSMD12 ANAPC15 CDC26 PSMA1 PSMB1 PSMD1 ANAPC16 UBE2D1
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.831959824877672	0.971278538985952	-0.202541255789363	-0.799334091877873	38765	52	PSMC5 ANAPC5 PSME3 PSMD12 ANAPC15 CDC26 PSMA1 PSMB1 PSMD1 ANAPC16 UBE2D1
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.791156214465017	0.971278538985952	-0.209354428166585	-0.823031002562715	36874	51	PSMC5 ANAPC5 PSME3 PSMD12 ANAPC15 CDC26 PSMA1 PSMB1 PSMD1 ANAPC16 UBE2D1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.831959824877672	0.971278538985952	-0.202541255789363	-0.799334091877873	38765	52	PSMC5 ANAPC5 PSME3 PSMD12 ANAPC15 CDC26 PSMA1 PSMB1 PSMD1 ANAPC16 UBE2D1
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.622101849942834	0.95732149758904	0.239439025024312	0.90738932683823	33190	47	PSMC3 PSMF1 PSME1 UBB PSMD7 UBC PSME2 PSMD6
"reactome_AURKA Activation by TPX2"	0.435804701627486	0.95732149758904	-0.275894024002608	-1.00914269557235	20484	37	SDCCAG8 PRKACA DYNC1I2 OFD1 DCTN1 CEP63 MAPRE1 DYNLL1 ODF2 CNTRL CEP135 PCNT HAUS1 SSNA1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.649126857526656	0.957775857333518	-0.278454390324717	-0.870748948917109	30926	20	POLR2I SUPT5H POLR2C POLR2L POLR2F POLR2E POLR2G
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.831959824877672	0.971278538985952	-0.202541255789363	-0.799334091877873	38765	52	PSMC5 ANAPC5 PSME3 PSMD12 ANAPC15 CDC26 PSMA1 PSMB1 PSMD1 ANAPC16 UBE2D1
"reactome_Activation of BH3-only proteins"	0.518691767221628	0.95732149758904	0.313823768641916	0.955075042326296	27166	19	MAPK8 DYNLL2 YWHAQ BID PPP3CC YWHAH BCL2L11 TFDP1 TP53BP2
"reactome_Activation of HOX genes during differentiation"	0.293167226497725	0.950006427266747	-0.30033353160909	-1.10554412530205	13789	38	MAFB POLR2I JUN CREBBP RBBP4 POLR2C KDM6A YY1 RARA HIST2H2AC POLR2L WDR5 POLR2F POLR2E KMT2D POLR2G SUZ12 HIST1H2BK
"reactome_Activation of NF-kappaB in B cells"	0.35410606399642	0.95732149758904	0.26692287514204	1.05698578522497	18989	58	IKBKG PSMC3 PSMF1 NFKBIE PSME1 UBB PSMD7 CUL1 UBC PSME2 PSMD6 IKBKB
"reactome_Activation of NMDA receptors and postsynaptic events"	0.144270734434669	0.8577105596298	-0.379693882378207	-1.27231255101033	6837	26	NRAS PRKAA1 PRKACA PPM1F PRKAG2 CAMKK2
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.293167226497725	0.950006427266747	-0.30033353160909	-1.10554412530205	13789	38	MAFB POLR2I JUN CREBBP RBBP4 POLR2C KDM6A YY1 RARA HIST2H2AC POLR2L WDR5 POLR2F POLR2E KMT2D POLR2G SUZ12 HIST1H2BK
"reactome_Activation of gene expression by SREBF (SREBP)"	0.377870881736812	0.95732149758904	0.325785020013971	1.05335373643992	19841	24	MTF1 NFYC SREBF2 SC5D MVD HELZ2 CHD9 HMGCS1 IDI1 NCOA2 MED1 SP1 RXRA
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.013035341693734	0.429901508135979	-0.38684050594731	-1.54935093494839	605	56	EIF3K EIF3E EIF2S2 RPS7 RPS26 RPS4Y1 RPS3A RPS20 RPS2 EIF3F PABPC1 EIF4H RPS18 RPS9 EIF4A2 RPS6 EIF3J RPS27A RPS3 EIF4G1 RPS4X RPS28 RPS15A EIF3H EIF4B RPS5 EIF4A1 EIF2S3 RPS23 RPS14 RPS24 RPS8 RPS16 RPS19
"reactome_Adaptive Immune System"	0.146896422038737	0.861184345610689	0.216890162454531	1.12618090342228	8592	371	NFATC2 KLHL20 RILP HLA-DMB RAF1 PPP2R5C HLA-DPA1 IKBKG ITPR1 PSMC3 PSMF1 SNAP23 KRAS NFKBIE AP1B1 HLA-A CSK FBXO6 TRIM41 ITGB7 TAP1 RICTOR PSME1 PIK3CD ANAPC13 RASGRP2 FBXO7 TPP2 UBE2K DYNC1LI2 ERAP1 RNF6 UBE2E2 UBE2L6 PAK2 VASP UBB DYNLL2 RAP1A VHL KLHL2 ICAM2 TNFRSF14 PSMD7 CUL1 HLA-DMA LONRF1 CTSA FBXW5 UBC TAB2 AP2A2 KIF5B LILRB1 PSME2 PSMD6 LAIR1 UBR1 TAPBP UBE2D3 ORAI1 ACTR1A RAP1B FBXW7 IKBKB B2M CD86 CD300E HLA-DPB1 RLIM NFATC1 BCL10 SEC24A ARF1 CD74 RNF41 SMURF2 HLA-F HLA-C ITGA4 PRKACB TLR1 DCTN6 CYBA HLA-DRA FBXO21 ATG7 UBE2J1 IFITM1 SEC61A1 CLTA CALR ARIH2 SIGLEC9 HLA-DRB5 CD300A SEC61G MAP3K7 HECTD1 SEC24B CUL3 UBA3 PSMD14 PSMB4 SAR1B PSMB7
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.548691475682626	0.95732149758904	0.269195484516702	0.941511480733251	29016	33	PPP2R5C TAOK1 DYNC1LI2 NUDC DYNLL2 PAFAH1B1
"reactome_Amplification of signal from the kinetochores"	0.548691475682626	0.95732149758904	0.269195484516702	0.941511480733251	29016	33	PPP2R5C TAOK1 DYNC1LI2 NUDC DYNLL2 PAFAH1B1
