pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.334635296292872	0.752743909298765	-0.273042317529707	-1.06886303297345	14478	50	PSME2 OS9 PSMC5 PSME1 PSMD4 DERL1 PSMB1 PSMB3 PSMB9 PSMB6 PSMB2 ERLEC1
"reactome_ABC-family proteins mediated transport"	0.639084424968533	0.941826348760529	-0.224039755070598	-0.908373366217941	27417	59	PSME2 OS9 PSMC5 PSME1 PSMD4 DERL1 PSMB1 PSMB3 ABCF1 PSMB9 PSMB6 PSMB2 ERLEC1
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.18801121486665	0.571141385649786	-0.294638808841281	-1.17756380287201	8113	55	ANAPC16 PSME2 PSMC5 PSME1 PSMD4 PSMB1 PSMB3 ANAPC5 PSMB9 ANAPC11 PSMB6
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.153611393692777	0.514799224783728	-0.309171726668917	-1.21559395077034	6643	51	ANAPC16 PSME2 PSMC5 PSME1 PSMD4 PSMB1 PSMB3 ANAPC5 PSMB9 ANAPC11 PSMB6
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.172700790678319	0.55137550104762	-0.302593060776812	-1.19484433053684	7469	52	ANAPC16 PSME2 PSMC5 PSME1 PSMD4 PSMB1 PSMB3 ANAPC5 PSMB9 ANAPC11 PSMB6
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.153611393692777	0.514799224783728	-0.309171726668917	-1.21559395077034	6643	51	ANAPC16 PSME2 PSMC5 PSME1 PSMD4 PSMB1 PSMB3 ANAPC5 PSMB9 ANAPC11 PSMB6
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.172700790678319	0.55137550104762	-0.302593060776812	-1.19484433053684	7469	52	ANAPC16 PSME2 PSMC5 PSME1 PSMD4 PSMB1 PSMB3 ANAPC5 PSMB9 ANAPC11 PSMB6
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.679915931451799	0.960675317780165	-0.227960029718256	-0.880102554203438	29438	47	PSME2 PSMC5 PSME1 PSMD4 PSMB1 PSMB3 PSMB9 PSMB6 PSMB2 HSPB1 PSMA6 PSMB10
"reactome_AURKA Activation by TPX2"	0.992908941521095	0.999948656512066	0.1566009214813	0.552220106769919	55588	36	OFD1 CDK5RAP2 PCM1 CSNK1E CSNK1D YWHAE AKAP9 MAPRE1 NDE1 DCTN3 TUBB CEP135 HAUS6
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.591539327066168	0.919232216376526	0.297709934941545	0.908134309345467	32594	20	POLR2D NELFCD POLR2A NCBP2 SUPT5H
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.172700790678319	0.55137550104762	-0.302593060776812	-1.19484433053684	7469	52	ANAPC16 PSME2 PSMC5 PSME1 PSMD4 PSMB1 PSMB3 ANAPC5 PSMB9 ANAPC11 PSMB6
"reactome_Activation of BH3-only proteins"	0.637683741648107	0.941826348760529	-0.27940472124991	-0.875452886939809	28631	20	YWHAH YWHAB PPP3R1 BCL2 PPP3CC DYNLL1 YWHAQ BID TFDP2 TP53BP2 BAD
"reactome_Activation of HOX genes during differentiation"	0.0247715591090805	0.191860550411404	0.430319005257635	1.52703458835757	1387	37	RQCD1 POLR2D HIST1H3A ZNF335 RBBP5 HDAC3 H2AFV EED KDM6A POLR2A CREBBP RBBP7
"reactome_Activation of NF-kappaB in B cells"	0.759690822153103	0.975204016258774	-0.20977350969774	-0.848129688562373	32728	58	PSME2 CARD11 PSMC5 PSME1 PSMD4 PSMB1 PSMB3 PSMB9 PSMB6
"reactome_Activation of NMDA receptors and postsynaptic events"	0.691070475173518	0.964130397328748	-0.266104852608911	-0.844827097867278	31064	21	CALM1 RPS6KA1 KPNA2 PRKAG1 MAPK1 PDPK1 PRKAG2 RAC1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.0247715591090805	0.191860550411404	0.430319005257635	1.52703458835757	1387	37	RQCD1 POLR2D HIST1H3A ZNF335 RBBP5 HDAC3 H2AFV EED KDM6A POLR2A CREBBP RBBP7
"reactome_Activation of gene expression by SREBF (SREBP)"	0.028457878329353	0.201961751904326	0.54173510482419	1.5786158666281	1560	17	IDI1 SREBF2 NFYC CREBBP MTF1 SC5D NCOA2 SQLE
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	3.51833934382971e-05	0.00124430795298104	0.525090018228969	2.02595211704393	1	55	EIF3H EIF3D RPS4X RPS12 RPS7 EIF3E EIF3L RPS20 RPSA RPS13 RPS18 RPS15A RPS24 RPS27 RPS23 RPS27A RPS8 PABPC1 RPS5 EIF4B RPS3 RPS10 RPS6 RPS21 EIF2S2 RPS15 EIF2S3 RPS28
"reactome_Adaptive Immune System"	2.83157775512516e-05	0.00108514772123335	-0.329001735775875	-1.7509433816955	0	366	KLRC1 LAT TYROBP CYBA VASP HCST ICAM2 B2M VAV1 ITGB7 CD3E PSME2 CALM1 CD8A FYB LCK EVL RNF213 HLA-DPA1 CARD11 ITGB2 FBXW5 HLA-B ITGB1 LYN PIK3CB ITGA4 DYNC1LI2 HLA-A CD3G ITGAL FCGR3A CD99 PSMC5 BTN3A2 WAS SEC24D CANX AP2S1 TRIM11 AP2M1 UBE2G2 PSME1 PTPN6 PSMD4 PJA1 BTN3A3 UBA3 STIM1 LAG3 CD300A CLEC2D YES1 TAPBP NPDC1 CTSD BTN3A1 CD226 GRB2 CSK ERAP2 PAK2 PSMB1 PSMB3 AP1S2 PPIA ANAPC5 PSMB9 NCK1 ITPR2 YWHAB CD3D ANAPC11 ACTR1B PTPRC PSMB6 PPP2R5C UBE2L3 IFITM1 UBA5 FBXL15 TNFRSF14 RBX1 CTSB DCTN2 THEM4 KIF2A STX4 PPP3R1 PDPK1 FBXO32 AP1M1 PSMB2 UBA1 MAP3K8 MGRN1 KLRG1 FKBP1A CAPZB ORAI2 RBBP6 RNF7 HLA-F DYNC1LI1 UBE2L6 FBXL5 SIPA1 RAC1 ERAP1 UBE2Q2 PSMA6 MIB2 PRKCQ PRKCB HLA-DMA VHL PSMB10 STUB1 PPP2R1B RAP1GAP2 KLRD1 HLA-E FBXO44 IKBKG
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.55289620967375	0.896896160808643	-0.260353098460736	-0.939406464567701	24301	35	DYNC1LI2 RANGAP1 NUP160 CLASP2 PPP2R5C KIF2A NUDC DYNC1LI1 PPP2R1B DYNLL1 PPP2R5A SKA2
"reactome_Amplification of signal from the kinetochores"	0.55289620967375	0.896896160808643	-0.260353098460736	-0.939406464567701	24301	35	DYNC1LI2 RANGAP1 NUP160 CLASP2 PPP2R5C KIF2A NUDC DYNC1LI1 PPP2R1B DYNLL1 PPP2R5A SKA2
"reactome_Amyloid fiber formation"	0.500870963419536	0.880176606036461	-0.291013680140333	-0.966922659071625	22427	25	PSENEN B2M CST3 H2AFX ITM2B UBE2L6 GGA1 SIAH2 HIST1H2AC
"reactome_Anchoring of the basal body to the plasma membrane"	0.910470463388751	0.999948656512066	0.195572652674985	0.721151036653275	51477	44	OFD1 TTBK2 SCLT1 SEPT2 CDK5RAP2 PCM1 CSNK1E CSNK1D YWHAE AKAP9 MAPRE1 NDE1 DCTN3 TUBB CEP135 HAUS6
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.0271845524114611	0.19742483981618	-0.500023363561855	-1.58746931129677	1221	21	HLA-B HLA-A SEC24D CANX TAPBP ERAP2 HLA-F ERAP1 HLA-E
