pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.716057865512823	0.962449320425718	-0.220214050017769	-0.859767280091222	38558	53	OS9 SEL1L PSMA3 ERLEC1 PSMC6 PSMD4 PSMF1 PSMD9 PSMD11
"reactome_ABC-family proteins mediated transport"	0.711025450085418	0.962449320425718	0.208091822660234	0.877016617274126	32463	68	ABCC1 PEX19 EIF2S2 ABCG1 PSMB4 PSMA6 PSMD5 PSMA1 DERL2 PSMD12 PSMC1 ABCB1 PSMA4 RNF5 PSME3 PSME1 PSMC4 PSMD13 PSMD3 PSMD14 PSMB5 ABCB7 PSMD10 PSMA7
"reactome_APC-Cdc20 mediated degradation of Nek2A"	0.238798042265812	0.717785183354323	-0.387511041438753	-1.1825933329739	12587	19	ANAPC15 MAD2L1 ANAPC5 ANAPC10 ANAPC16 ANAPC4
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.277460586415206	0.752557897520198	-0.2711990796238	-1.10599039389319	15064	66	PTTG1 ANAPC15 FZR1 MAD2L1 ANAPC5 PSMA3 PSMC6 PSMD4 ANAPC10 PSMF1 PSMD9 PSMD11 ANAPC16 ANAPC4
"reactome_APC/C:Cdc20 mediated degradation of Cyclin B"	0.410455427462618	0.850013380216901	-0.348757689584535	-1.03179896453061	21575	17	ANAPC15 ANAPC5 ANAPC10 ANAPC16 ANAPC4
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.525842655148226	0.907659217091588	-0.240750238243813	-0.960739348911772	28486	59	PTTG1 ANAPC15 ANAPC5 PSMA3 PSMC6 PSMD4 ANAPC10 PSMF1 PSMD9 PSMD11 ANAPC16 ANAPC4
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.380429365181917	0.830027705851456	-0.259360345781975	-1.04169913924489	20608	61	PTTG1 ANAPC15 MAD2L1 ANAPC5 PSMA3 PSMC6 PSMD4 ANAPC10 PSMF1 PSMD9 PSMD11 ANAPC16 ANAPC4
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.35211397738192	0.805837513591948	-0.264675521644815	-1.05926545030721	19054	60	PTTG1 ANAPC15 FZR1 ANAPC5 PSMA3 PSMC6 PSMD4 ANAPC10 PSMF1 PSMD9 PSMD11 ANAPC16 ANAPC4
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.574654446004878	0.921500749294681	-0.233829588593157	-0.935816062312966	31097	60	ANAPC15 MAD2L1 ANAPC5 PSMA3 PSMC6 PSMD4 ANAPC10 PSMF1 PSMD9 PSMD11 ANAPC16 ANAPC4
"reactome_ATF4 activates genes"	0.883170043017681	0.994870804906275	-0.223409959458755	-0.700730580980166	46603	21	DCP2 HERPUD1 EXOSC3 ATF6 KHSRP DDIT3 PARN EXOSC6
