pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.0424939190453421	0.224167875926705	0.369447739901003	1.42910288803839	2043	47	PSMB10 PSMA4 PSMB9 PSMD2 UBB PSME2 PSME1 PSMA6 PSMA5 SEL1L UBC PSMA3 UBA52 OS9 RNF5 PSMD8 PSMD1 RPS27A DERL2 PSMD9 PSMD11 PSMD7
"reactome_ABC-family proteins mediated transport"	0.0360796759510586	0.209864656971897	0.360181128303608	1.43428623346204	1727	54	PSMB10 PSMA4 PSMB9 PSMD2 EIF2S2 UBB PSME2 PSME1 PSMA6 PSMA5 SEL1L UBC PSMA3 ABCF1 UBA52 OS9 RNF5 PSMD8 PSMD1 RPS27A DERL2 EIF2S3 PSMD9 PSMD11 PSMD7
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0666264383362117	0.283907607968419	0.348528150984643	1.35962680678244	3201	49	PSMB10 PSMA4 PSMB9 PSMD2 UBB PSME2 PSME1 PSMA6 PSMA5 UBC
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0375549838160843	0.209864656971897	0.379109449148369	1.45258430329248	1809	45	PSMB10 PSMA4 PSMB9 PSMD2 UBB PSME2 PSME1 PSMA6 PSMA5 UBC PSMA3 UBA52 ANAPC15 PSMD8 PSMD1 RPS27A UBE2D1 PSMD9 PSMD11 PSMD7 ANAPC5
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0386061096920233	0.212190617714676	0.375304997588969	1.44479985030139	1858	46	PSMB10 PSMA4 PSMB9 PSMD2 UBB PSME2 PSME1 PSMA6 PSMA5 UBC PSMA3 UBA52 ANAPC15 PSMD8 PSMD1 RPS27A UBE2D1 PSMD9 PSMD11 PSMD7 ANAPC5
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0375549838160843	0.209864656971897	0.379109449148369	1.45258430329248	1809	45	PSMB10 PSMA4 PSMB9 PSMD2 UBB PSME2 PSME1 PSMA6 PSMA5 UBC PSMA3 UBA52 ANAPC15 PSMD8 PSMD1 RPS27A UBE2D1 PSMD9 PSMD11 PSMD7 ANAPC5
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0386061096920233	0.212190617714676	0.375304997588969	1.44479985030139	1858	46	PSMB10 PSMA4 PSMB9 PSMD2 UBB PSME2 PSME1 PSMA6 PSMA5 UBC PSMA3 UBA52 ANAPC15 PSMD8 PSMD1 RPS27A UBE2D1 PSMD9 PSMD11 PSMD7 ANAPC5
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.0127118644067797	0.126229096874698	0.420071978796018	1.59174730229011	611	43	PSMB10 PSMA4 PSMB9 PSMD2 UBB PSME2 PSME1 PSMA6 PSMA5 PABPC1 UBC
"reactome_AURKA Activation by TPX2"	0.298361669242658	0.635553182520725	0.330795807950867	1.11301112484015	14477	26	YWHAE ALMS1 PPP2R1A DYNLL1 MAPRE1 DCTN3
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.151566939834452	0.453691853555811	0.430392845152259	1.2920897762379	7360	17	SUPT4H1 POLR2L POLR2G POLR2J SUPT5H POLR2E NELFCD POLR2F
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0386061096920233	0.212190617714676	0.375304997588969	1.44479985030139	1858	46	PSMB10 PSMA4 PSMB9 PSMD2 UBB PSME2 PSME1 PSMA6 PSMA5 UBC PSMA3 UBA52 ANAPC15 PSMD8 PSMD1 RPS27A UBE2D1 PSMD9 PSMD11 PSMD7 ANAPC5
"reactome_Activation of BH3-only proteins"	0.199078170332723	0.529670987165904	0.416977714150548	1.23140494446936	9674	16	YWHAE DYNLL1 YWHAH YWHAZ PMAIP1 BAD
"reactome_Activation of HOX genes during differentiation"	0.923464645004028	0.977941151179337	0.194020144471956	0.687078075589275	44703	32	H2AFZ HDAC3 POLR2L POLR2G POLR2J POLR2E H2AFX NCOA3 JUN POLR2F H2AFV
"reactome_Activation of NF-kappaB in B cells"	0.00995635003117855	0.11250170136753	0.406206913847947	1.59829787266764	478	51	PSMB10 PSMA4 CARD11 PSMB9 PSMD2 NFKBIA UBB PSME2 PSME1 PSMA6 PSMA5 UBC
"reactome_Activation of NMDA receptors and postsynaptic events"	0.918778175034976	0.977629167126126	-0.223796858483968	-0.643111355145082	47283	15	PDPK1 PRKAR2A RPS6KA3
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.923464645004028	0.977941151179337	0.194020144471956	0.687078075589275	44703	32	H2AFZ HDAC3 POLR2L POLR2G POLR2J POLR2E H2AFX NCOA3 JUN POLR2F H2AFV
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	0.951317835409748	0.983116760270241	-0.174630232756976	-0.694178478405376	49556	56	RPS26 RPS19 RPS20 RPS27L EIF4H RPS15A RPS18 RPS21 EIF4E
"reactome_Adaptive Immune System"	0.00134417344173442	0.0468165994319434	0.283769541786403	1.46601374702294	61	275	SELL HLA-C PSMB10 LILRA4 CD4 PSMA4 CD79A CARD11 CYBB B2M ICAM1 LY96 PSMB9 HLA-A PSMD2 NFKBIA CALR SEC61A2 ERAP2 HLA-F BTBD1 UBB PPP3CA PSME2 UBE2L3 CTSC CYBA SOCS1 CD300A PLCG2 WAS CDC42 PPP2R1A PSME1 DYNLL1 RASGRP2 PSMA6 AP1M1 RAP1B LYN RNF144B FBXO7 PSMA5 TAPBP NFATC3 UBE2L6 DCTN3 RBX1 ORAI2 UBE2K LILRB4 UBC LAIR1 ICAM3 CALM1 CTSB DNM2 CAPZA2 RAP1A STUB1
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.7856809882682	0.932665844932647	-0.238841068653431	-0.78710501563779	40449	25	CLASP2 CENPC NUP133 NUP98 NDEL1
"reactome_Amplification of signal from the kinetochores"	0.7856809882682	0.932665844932647	-0.238841068653431	-0.78710501563779	40449	25	CLASP2 CENPC NUP133 NUP98 NDEL1
"reactome_Amyloid fiber formation"	0.081522633744856	0.318121126305722	0.428631194042332	1.39639049871569	3961	23	B2M UBB H2AFZ APP UBE2L6 UBC GSN
"reactome_Anchoring of the basal body to the plasma membrane"	0.443857004192396	0.761804773229056	0.285791988006142	1.00419675079637	21491	31	YWHAE ALMS1 PPP2R1A DYNLL1 MAPRE1 DCTN3 RAB11A
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.00685664868426471	0.0955732496803069	0.590468023561568	1.77265422748699	332	17	HLA-C HLA-A CALR ERAP2 HLA-F TAPBP HLA-B TAP1
"reactome_Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	0.639124348705187	0.864910289967965	-0.293037948007023	-0.872425245787653	32873	17	ITPR2 GRB2 NCK1
"reactome_Antigen processing-Cross presentation"	2.09082545789078e-05	0.00380352227350162	0.496858237899257	2.04298934191463	0	63	HLA-C PSMB10 PSMA4 CYBB LY96 PSMB9 HLA-A PSMD2 CALR SEC61A2 HLA-F UBB PSME2 CYBA PSME1 PSMA6 PSMA5 TAPBP
