pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.974946313528991	0.994837148219519	-0.168161481505589	-0.652272684070103	49031	52	PSME3 PSMC5 VCP PSMD2 PSMD8 PSMB2 PSME4 DERL1 PSMB4 PSMC6
"reactome_ABC-family proteins mediated transport"	0.922211660329531	0.994837148219519	-0.184920693538873	-0.733807058010011	46567	58	PSME3 PSMC5 EIF2S1 VCP PSMD2 PSMD8 PSMB2 ABCB9 PSME4 DERL1 PSMB4 PSMC6
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.891226056672471	0.994837148219519	-0.192426846766285	-0.760870417932385	45038	57	PSME3 CDC27 PSMC5 ANAPC15 PSMD2 PSMD8 BUB3 PSMB2 PSME4 CUL1 PSMB4 PSMC6
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.9545653297293	0.994837148219519	-0.176338384026531	-0.689389281746166	48027	54	PSME3 CDC27 PSMC5 ANAPC15 PSMD2 PSMD8 PSMB2 PSME4 PSMB4 PSMC6
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.886640880690271	0.994837148219519	-0.193944276819911	-0.761313006980282	44699	55	PSME3 CDC27 PSMC5 ANAPC15 PSMD2 PSMD8 BUB3 PSMB2 PSME4 PSMB4 PSMC6
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.9545653297293	0.994837148219519	-0.176338384026531	-0.689389281746166	48027	54	PSME3 CDC27 PSMC5 ANAPC15 PSMD2 PSMD8 PSMB2 PSME4 PSMB4 PSMC6
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.886949954287077	0.994837148219519	-0.194357597924375	-0.759834823113926	44625	54	PSME3 CDC27 PSMC5 ANAPC15 PSMD2 PSMD8 BUB3 PSMB2 PSME4 PSMB4 PSMC6
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.817225919298739	0.994837148219519	0.210026881438798	0.801190585230133	40647	47	PSMB9 PABPC1 PSMA1 PSMD10 PSMC2 PSMA3 UBA52 PSMF1 PSMB5 PSMA6 PSMB1 PSMD7 PSMB3 PSMA4
"reactome_AURKA Activation by TPX2"	0.355039930072709	0.84398268513745	-0.308450837986044	-1.06553553404334	17871	31	DCTN1 TUBA4A OFD1 HAUS1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.514438695704488	0.942284524925077	0.304858851787722	0.957070963442644	25652	21	NCBP1 POLR2K POLR2F NCBP2 POLR2C POLR2A GTF2F1 POLR2G POLR2D
