pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.512766050626259	0.861541246719033	0.241224208851217	0.965043639537503	23416	52	PSMD12 PSMB3 PSMB4 PSMA3 PSMD5 PSME4 PSMB5 PSMF1 PSME1 PSMD6 PSMB9 PSMB1 PSMD1 PSMD3 DERL1 OS9 PSMC3
"reactome_ABC-family proteins mediated transport"	0.175292817679558	0.664474793697803	0.285498441077016	1.18499382967587	7931	62	ABCC1 PSMD12 PSMB3 PSMB4 PSMA3 EIF2S1 ABCF1 PSMD5 PSME4 ABCG1 PSMB5 PSMF1 PSME1 PSMD6 PSMB9 PSMB1 PSMD1 PSMD3 DERL1 OS9 PSMC3
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.520279196758852	0.861541246719033	0.235104181040117	0.963027327575953	23628	58	PSMD12 PSMB3 PSMB4 PSMA3 UBE2E1 PSMD5 PSME4 PSMB5 ANAPC11 PSMF1 PSME1 PSMD6 PSMB9 PSMB1 PSMD1 PSMD3 SKP1 PSMC3
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.481121922291287	0.845990041136841	0.243620070051536	0.982449273508483	21904	54	PSMD12 PSMB3 PSMB4 PSMA3 UBE2E1 PSMD5 PSME4 PSMB5 ANAPC11 PSMF1 PSME1 PSMD6 PSMB9 PSMB1 PSMD1 PSMD3
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.515606479652311	0.861541246719033	0.238292977687302	0.965231129730513	23489	55	PSMD12 PSMB3 PSMB4 PSMA3 UBE2E1 PSMD5 PSME4 PSMB5 ANAPC11 PSMF1 PSME1 PSMD6 PSMB9 PSMB1 PSMD1 PSMD3
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.481121922291287	0.845990041136841	0.243620070051536	0.982449273508483	21904	54	PSMD12 PSMB3 PSMB4 PSMA3 UBE2E1 PSMD5 PSME4 PSMB5 ANAPC11 PSMF1 PSME1 PSMD6 PSMB9 PSMB1 PSMD1 PSMD3
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.406707812602956	0.815605590350698	0.253858553018277	1.02373811375213	18516	54	PSMD12 PSMB3 PSMB4 PSMA3 UBE2E1 PSMD5 PSME4 PSMB5 ANAPC11 PSMF1 PSME1 PSMD6 PSMB9 PSMB1 PSMD1 PSMD3
"reactome_ATF4 activates genes"	0.390269631630027	0.810703529609147	0.358983687298187	1.04843383285171	18497	15	ATF4 EXOSC7 HERPUD1 EXOSC9 ATF6 EXOSC8 DDIT3 KHSRP
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.570880974284838	0.893329351717031	0.236143399191082	0.935700537845627	26062	50	PSMD12 PSMB3 PSMB4 PSMA3 PSMD5 PSME4 PSMB5 PSMF1 PSME1 PSMD6 PSMB9 PSMB1 PSMD1 PSMD3 PSMC3 PABPC1
"reactome_AURKA Activation by TPX2"	0.882280317962269	0.970508349758496	0.198918234519514	0.746183086187766	40733	39	NDE1 PAFAH1B1 CKAP5 PCNT NEDD1 CSNK1D SSNA1 CEP135 CLASP1 PPP2R1A
