pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
"reactome_ABC transporter disorders"	0.00356967682162516	0.0828698806066999	0.408095545181079	1.69735843534649	130	52	RNF5 ERLEC1 PSMA5 PSMB8 PSME2 PSMD13 PSMB2 PSMB9 PSMD14 UBA52 PSMB4 UBC PSMB1 PSMC3 PSMD7 PSMB3 DERL2 PSMD3 PSMA1 PSMD12 PSMB10 PSMB7 PSMD1 PSMA3 UBB PSMD2 PSME4 SEL1L PSME1 PSMD10 PSMD5
"reactome_ABC-family proteins mediated transport"	0.0019692137012897	0.0525970627312216	0.409415834282529	1.7443069895306	70	58	RNF5 ERLEC1 PSMA5 PSMB8 PSME2 ABCC1 PSMD13 PSMB2 PSMB9 PSMD14 UBA52 PSMB4 UBC PSMB1 EIF2S2 PSMC3 PSMD7 PSMB3 DERL2 PSMD3 PSMA1 PSMD12 ABCB7 PSMB10 PSMB7 PSMD1 PSMA3 UBB PSMD2 ABCF1 PSME4 SEL1L PSME1 PSMD10 PSMD5
"reactome_APC/C-mediated degradation of cell cycle proteins"	0.0701428373318541	0.450486084635913	0.310754111880181	1.32396093162317	2528	58	PSMA5 PSMB8 PSME2 ANAPC15 PSMD13 PSMB2 PSMB9 PSMD14 UBA52 PSMB4 UBC PSMB1 PSMC3 PSMD7 PSMB3 PSMD3 PSMA1 BUB3 PSMD12 SKP1 PSMB10 PSMB7 PSMD1 CUL1 PSMA3 UBB PSMD2
"reactome_APC/C:Cdc20 mediated degradation of Securin"	0.0812270409561928	0.480120144638819	0.312346930749534	1.31013931181782	2962	54	PSMA5 PSMB8 PSME2 ANAPC15 PSMD13 PSMB2 PSMB9 PSMD14 UBA52 PSMB4 UBC PSMB1 PSMC3 PSMD7 PSMB3 PSMD3 PSMA1 PSMD12 PSMB10 PSMB7 PSMD1
"reactome_APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0608561681523055	0.425821751240357	0.320711410719154	1.35100891343471	2211	55	PSMA5 PSMB8 PSME2 ANAPC15 PSMD13 PSMB2 PSMB9 PSMD14 UBA52 PSMB4 UBC PSMB1 PSMC3 PSMD7 PSMB3 PSMD3 PSMA1 BUB3 PSMD12 PSMB10 PSMB7 PSMD1
"reactome_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"	0.0812270409561928	0.480120144638819	0.312346930749534	1.31013931181782	2962	54	PSMA5 PSMB8 PSME2 ANAPC15 PSMD13 PSMB2 PSMB9 PSMD14 UBA52 PSMB4 UBC PSMB1 PSMC3 PSMD7 PSMB3 PSMD3 PSMA1 PSMD12 PSMB10 PSMB7 PSMD1
"reactome_APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	0.0528263610943583	0.401286486111272	0.326546030145103	1.36969743926893	1926	54	PSMA5 PSMB8 PSME2 ANAPC15 PSMD13 PSMB2 PSMB9 PSMD14 UBA52 PSMB4 UBC PSMB1 PSMC3 PSMD7 PSMB3 PSMD3 PSMA1 BUB3 PSMD12 PSMB10 PSMB7 PSMD1
"reactome_AUF1 (hnRNP D0) binds and destabilizes mRNA"	0.009942452651771	0.179450463350715	0.385189011116721	1.58929343105889	367	50	PSMA5 PSMB8 PSME2 PABPC1 PSMD13 PSMB2 PSMB9 PSMD14 HNRNPD UBA52 PSMB4 UBC PSMB1 PSMC3 PSMD7 PSMB3 PSMD3 PSMA1 PSMD12 PSMB10 PSMB7 PSMD1 PSMA3 UBB PSMD2
"reactome_AURKA Activation by TPX2"	0.791843504561198	0.997206917035898	-0.221627254889103	-0.796330523682789	48695	38	CEP78 HSP90AA1 DYNLL1 DCTN2 SDCCAG8 CDK5RAP2 HAUS6 CEP192 HAUS2 PCM1 PCNT AKAP9 CSNK1E DCTN1 YWHAG TUBB OFD1
"reactome_Abortive elongation of HIV-1 transcript in the absence of Tat"	0.936538788600306	0.999822640718466	0.197117056420222	0.646452167504466	38546	20	SUPT4H1 NELFCD POLR2G GTF2F1 POLR2J POLR2C POLR2I POLR2K
"reactome_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"	0.0608561681523055	0.425821751240357	0.320711410719154	1.35100891343471	2211	55	PSMA5 PSMB8 PSME2 ANAPC15 PSMD13 PSMB2 PSMB9 PSMD14 UBA52 PSMB4 UBC PSMB1 PSMC3 PSMD7 PSMB3 PSMD3 PSMA1 BUB3 PSMD12 PSMB10 PSMB7 PSMD1
"reactome_Activation of BH3-only proteins"	0.247563884156729	0.738924459885063	-0.388564048480282	-1.17697725815164	14531	19	PMAIP1 DYNLL1 PPP3CC YWHAB YWHAH BCL2
"reactome_Activation of HOX genes during differentiation"	0.960449774137987	0.999822640718466	-0.177868186672833	-0.635675696215721	59107	37	KMT2C JUN POLR2L YY1 RBBP7 POLR2A NCOR1 EED PAGR1 SUZ12 HIST2H2AC
"reactome_Activation of NF-kappaB in B cells"	0.0678794611859464	0.444888078063037	0.31099966439716	1.33010811849015	2443	59	PSMA5 PSMB8 PSME2 RELA IKBKG PSMD13 PSMB2 PSMB9 PSMD14 UBA52 PSMB4 UBC PSMB1 PSMC3 PSMD7 PSMB3 PSMD3 PSMA1 PSMD12 SKP1 PSMB10 PSMB7 PSMD1 CUL1 PSMA3 UBB PSMD2
"reactome_Activation of NMDA receptors and postsynaptic events"	0.0646760125367477	0.435448686351322	0.441903593323063	1.44923803611751	2661	20	ARHGEF7 RPS6KA3 CAMK2D PRKAR1A PRKX CAMK2G RAC1 RPS6KA1 PRKAG1
"reactome_Activation of anterior HOX genes in hindbrain development during early embryogenesis"	0.960449774137987	0.999822640718466	-0.177868186672833	-0.635675696215721	59107	37	KMT2C JUN POLR2L YY1 RBBP7 POLR2A NCOR1 EED PAGR1 SUZ12 HIST2H2AC
"reactome_Activation of gene expression by SREBF (SREBP)"	0.740351775956284	0.982380186020506	-0.269129607798702	-0.803771832043029	43354	18	SREBF2 IDI1
"reactome_Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	5.50236601738748e-05	0.00207089048290765	0.532864481954968	2.24471172746749	1	55	EIF3H RPS28 PABPC1 RPS24 RPS25 RPS20 RPS14 RPS12 EIF3M EIF3F RPS10 RPS8 RPS4X RPS2 EIF2S2 RPS16 EIF3E RPSA FAU RPS15 RPS11 RPS23 RPS7 RPS15A RPS5 RPS19 EIF4E EIF3G EIF3D EIF3L RPS27 RPS21
"reactome_Adaptive Immune System"	0.939015886298226	0.999822640718466	-0.160527373327146	-0.815648043327628	74062	358	HLA-DQA1 PSMC6 MALT1 CAPZA2 ITK UBE2J1 PTPN6 CD79B HLA-DMA RNF19A KIF3A VASP SEC24B PPP3CA UBE2F HERC3 PSMC5 PPP2R5E RASGRP2 HLA-DRA AP2B1 ITPR2 ERAP2 FBXW5 HLA-DRB1 ITGB1 ITCH RNF115 CTLA4 PPP2R5C ANAPC5 EVL NCF1 DYNLL1 STX4 HLA-DQB1 PSMC4 HCST DCTN6 STUB1 RAB7A ITGB2 PPP2CA DCTN2 BTN3A2 ACTR1B STIM1 YWHAB REL PRKACB AP2A2 MAPKAP1 AP1G1 HLA-DPA1 MYLIP CYBA NPEPPS ITGAL NFATC1 TPP2 UBE2E3 WAS CUL3 KIF22 HERC1 UBR1 HLA-DPB1 AP2A1 TYROBP DYNC1LI1 TRAF7 SEC61A1 PJA2 ICAM3 CTSA VAV1 CTSH CDC26 MAP3K7 NCK1 UBA7 CD79A ANAPC1 PSMD6 ANAPC11
"reactome_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.467933259466858	0.90022539646304	-0.279480421906777	-0.992451133769701	28717	36	MAD1L1 NUP133 CENPT PPP2R5E PPP2R5C DYNLL1 PPP2CA
"reactome_Amplification of signal from the kinetochores"	0.467933259466858	0.90022539646304	-0.279480421906777	-0.992451133769701	28717	36	MAD1L1 NUP133 CENPT PPP2R5E PPP2R5C DYNLL1 PPP2CA
"reactome_Amyloid fiber formation"	0.251177511401301	0.740640798590834	0.325497390061532	1.14620420919211	10078	26	H2AFZ APP UBE2L6 GGA3 HIST1H2BK UBA52 UBC B2M
"reactome_Anchoring of the basal body to the plasma membrane"	0.474007538695966	0.90022539646304	-0.264900433866527	-0.988387732008254	29551	45	CEP78 HSP90AA1 IQCB1 SCLT1 DYNLL1 DCTN2 SDCCAG8 CDK5RAP2 HAUS6 CEP192 TCTN3 HAUS2 PCM1 PCNT SEPT2 AKAP9 CSNK1E
"reactome_Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	0.0875628659588425	0.498901675489723	0.424378027255819	1.39176233930738	3603	20	HLA-C TAP1 TAPBP ERAP1 SEC23A HLA-F SEC31A CALR
